Patent code,Summary of what was found,Detailed patent mapping,Source name
"P02-001","Albea has a 2021-priority family, first published in 2023, on flexible cosmetic/personal-care tubes that incorporate PCR/post-consumer resin into a multilayer tube wall while keeping a virgin polyolefin outer layer for appearance and defect control.","Publication family: EP4166316A1; US20230112847A1; US12441519B2; family ID 78134862. Assignee: Albea Services SAS. Priority year: 2021. Filing year: 2021 EP / 2022 US. Publication year: 2023 EP and US application; 2025 US grant. Jurisdiction: EP / US. Legal status: EP pending; US active/granted. Component: tube skirt / side wall. Material route: multilayer polyolefin sheet with PCR, HDPE PCR options, optional EVOH/tie layers, and thin virgin outer layer. Claimed invention: flexible tube side wall formed from cast or calendered multilayer sheet with virgin polyolefin layer and PCR/recycled layer; PCR can be at least 30 wt% of multilayer and at least 20 wt% of total container. Problem solved: use recycled content without unacceptable outer-surface defects or loss of tube functionality. Cosmetic relevance: high for skincare, suncare, haircare, toothpaste, and squeezable tubes. Premium vs mass-market fit: stronger for mass-market and dermo/personal-care than ultra-premium clear/decorative tubes. Mapped topics: S19 primary; S14 secondary. IP risk signal: Moderate patent density / monitor claims; supplier-owned route; older-priority family with post-2022 publication. White-space note: high-PCR mono-material PE recyclability, premium decoration, and cap/head simplification may remain. Caution: included because of post-2022 publication/grant activity despite older priority.","Flexible tube container containing post-consumer resin / PCR flexible tube container — Google Patents — https://patents.google.com/patent/EP4166316A1 ; https://patents.google.com/patent/US20230112847A1/en"
"P02-002","A related Albea family, granted in Europe in 2024, focuses on flexible tubes made from blown-film multilayer polymeric material and appears to act as a base platform for recyclable multilayer tube skirts and heads.","Publication family: EP4124450B1; WO2023007006A1; US20240300702A1; CN117580706A. Assignee: Albea Services SAS. Priority year: 2021. Filing year: 2021 EP; 2022 PCT/US national filings. Publication year: 2023; EP grant 2024. Jurisdiction: EP / WO / US / CN. Legal status: EP active/granted. Component: tube skirt, tube body, tube head interface. Material route: blown-film multilayer polymeric material with barrier options such as EVOH and polyolefin-based inner/outer layers. Claimed invention: flexible tube container formed from blown multilayer film to provide flexibility, barrier, processability, and recycling logic. Problem solved: recycling-compatible flexible tube bodies with barrier and mechanical performance. Cosmetic relevance: high for creams, gels, lotions, dental, and tube-packed products. Premium vs mass-market fit: more mass-market/mainstream than luxury sensory-heavy tubes. Mapped topic: S14. IP risk signal: High patent density / FTO review recommended; supplier-owned route; older-priority family with post-2022 grant. White-space note: downstream decoration-compatible recyclable tubes, lighter heads, and head/skirt integration may offer space. Caution: foundational recent-grant reference rather than purely new post-2022 invention.","Flexible tube container — Google Patents — https://patents.google.com/patent/EP4124450B1/en"
"P02-003","Albea filed a 2023-priority patent on an insert for a tube head using an HDPE-rich multilayer insert with polymeric barrier layers instead of conventional metal-containing barrier inserts.","Publication family: EP4556392A1; WO2025103862A1. Assignee: Albea Services SAS. Priority year: 2023. Filing year: 2023. Publication year: 2025. Jurisdiction: EP / WO. Legal status: pending. Component: tube head insert / neck seal area. Material route: multilayer insert with inner PE layer, outer PE layer, at least two polymeric barrier layers, and at least 50% HDPE; contrasted with conventional metal inserts. Claimed invention: colored HDPE-rich insert placed at shoulder/head, optionally sealing neck before first use, acting as barrier between product and tube head while improving detection and centering during assembly. Problem solved: barrier protection in head/neck zone without metal inserts, reducing oxidation and contamination risk. Cosmetic relevance: high for aggressive formulas, actives, peroxide, essential oils, sunscreen, oral care, and long shelf-life products. Premium vs mass-market fit: both, especially high-performance mass/premium products. Mapped topics: S18 primary; S14 secondary. IP risk signal: Recent active filings / higher caution; FTO review recommended around barrier head inserts. White-space note: co-molded barrier heads, mono-material barrier head architectures, or simplified opening systems may remain. Caution: enabling head/shoulder barrier technology more than direct sleeve lightweighting.","Insert for a tube head of a flexible tube container, associated tube head and flexible tube container — Google Patents — https://patents.google.com/patent/EP4556392A1/en"
"P02-004","Albea has a 2024-priority family on a flexible tube made from an extruded multilayer tube with PE inner/outer layers and at least two spaced barrier layers, making barrier-layer placement a key claim direction.","Publication family: EP4606726A1; US20250263204A1; family ID 90014338. Assignee: Albea Services SAS. Priority year: 2024. Filing year: 2024 EP; 2025 US. Publication year: 2025. Jurisdiction: EP / US. Legal status: pending. Component: tube skirt / extruded tube body. Material route: PE inner and outer layers, at least two barrier layers, tie layers, optional EVOH or aluminum barrier layers, barrier layers spaced by at least 40 µm, and possible fillers/nanoparticles. Claimed invention: flexible tube from extruded multilayer tube that maintains high barrier through specific layer spacing. Problem solved: barrier performance in flexible tube while using extrusion-based multilayer architecture compatible with recyclable/downgauged polyolefin routes. Cosmetic relevance: high for sunscreen, actives, fragrance-sensitive creams, and formulas challenging mono-PE structures. Premium vs mass-market fit: mass-market, dermo, personal care, and selected premium skincare. Mapped topics: S14 primary; S20 secondary. IP risk signal: Recent active filings / higher caution; moderate-to-high patent density. White-space note: lower-cost barrier systems avoiding aluminum and minimizing EVOH/tie content may remain. Caution: claim scope should be checked because barrier-layer spacing appears central.","Flexible tube container — Google Patents — https://patents.google.com/patent/EP4606726A1/en"
"P02-005","Albea has a recent publication cluster on a tube comprising a shoulder made of laminated material, indicating patent activity expanding from tube body into the shoulder/head zone.","Publication family: EP4570693A1. Assignee: Albea Services SAS. Priority year: 2023. Filing year: 2023. Publication year: 2025. Jurisdiction: EP. Legal status: application publication. Component: tube shoulder / head. Material route: laminated shoulder rather than standard all-injection head resin. Claimed invention: tube shoulder made of laminated material, likely targeting recyclability or material harmonization between skirt and shoulder. Problem solved: material mismatch between skirt and head/shoulder and potential path toward more recyclable head-body systems. Cosmetic relevance: high because shoulder/head often blocks mono-material recyclability. Premium vs mass-market fit: mass-market and premium functional skincare more than prestige heavy decorative shoulders. Mapped topics: S18 primary; S14 secondary. IP risk signal: Recent active filings / higher caution; supplier-owned route. White-space note: low-mass shoulder designs, oval heads, capless systems, and recyclable shoulder/cap interfaces with fewer components may remain. Caution: bibliographic direction was clearer than full claims; verify scope before using as blocker.","Tube comprising a shoulder made of a laminated material — Google Patents — https://patents.google.com/patent/EP4570693A1/en"
"P02-006","Albea filed a 2024-priority family on a tube skirt made from laminated material with a paper layer and a weldable polyolefin layer only in weld areas, one of the clearest recent paper-rich tube signals.","Publication family: EP4624146A1. Assignee: Albea Services SAS. Priority year: 2024. Filing year: 2024. Publication year: 2025. Jurisdiction: EP. Legal status: application publication. Component: tube skirt. Material route: laminated sheet with paper/cellulose-fiber layer; product-contact inner layer with no polyolefin; weldable polyolefin layer only in weld area. Claimed invention: paper-layer tube skirt with minimal polyolefin reserved for weldability. Problem solved: reducing plastic quantity in the tube while preserving side-seam formation and manufacturing. Cosmetic relevance: high for paper-reduced cosmetic tubes, hand cream, toothpaste, lotions, and creams. Premium vs mass-market fit: premium paper-feel and selected mass lines if barrier/filling compatibility hold. Mapped topics: S17 primary; S14 secondary. IP risk signal: Recent active filings / higher caution; high patent density / FTO review recommended for paper/plastic hybrid skirts. White-space note: all-paper-looking tubes with simpler shoulder systems, direct-contact layers for oily formulas, and reduced local weldable polyolefin may remain. Caution: likely conditional for aggressive wet, oily, alcohol-rich, or fragranced formulas without barrier validation.","Tube comprising a skirt made of a laminated material — European Publication Server PDF listing — https://data.epo.org/publication-server/rest/v1.2/publication-dates/2025-10-01/patents/EP4624146NWA1/document.pdf"
"P02-007","EPL’s granted US family on Lamitube and implementations remains relevant because it is still being cited by newer post-2022 tube patents and appears to be a structural laminate-tube platform family.","Publication family: US11872784B2; MX395324B. Assignee: EPL Limited. Priority year: 2019. Filing year: 2019. Publication/grant year: 2024 US grant and 2025 MX listing. Jurisdiction: US / MX. Legal status: granted. Component: laminate tube sleeve/body. Material route: laminate tube construction platform. Claimed invention: Lamitube and implementations thereof. Problem solved: laminate tube body performance and processability. Cosmetic relevance: moderate to high because laminate tubes are common in beauty and personal care. Premium vs mass-market fit: mass-market, toothpaste, and personal care strongest. Mapped topic: S14. IP risk signal: Older-priority family with post-2022 publication / monitor; dominant assignee concentration / partnership or licensing may be needed where EPL structures are implicated. White-space note: newer HDPE-rich, mono-material, or paper-rich sleeves may offer space. Caution: exact scope requires full record/prosecution review.","A Lamitube and implementations thereof — Google Patents — https://patents.google.com/patent/US11872784B2/en"
"P02-008","EPL has a newer 2024-priority Australian family on a lamitube sleeve using nucleated HDPE with a barrier layer and quantified density/thickness claims.","Publication family: AU2024219845B1; family ID 92895061. Assignee: EPL Limited. Priority year: 2024. Filing year: 2024. Publication/grant year: 2025. Jurisdiction: AU; priority IN202421047630. Legal status: active/granted AU listing. Component: lamitube sleeve. Material route: outer and sealant layers independently comprising nucleated HDPE; barrier layer between; barrier component may include EVOH, PVOH, polyamides, or PET; tie layers claimed. Claimed invention: laminate tube sleeve with specified mechanical and barrier properties built around HDPE-rich layers. Claim features: tensile strength at yield at least 22 MPa, density 0.941 to 0.990 g/cm3, WVTR not more than 0.750 g/m2.day, and layer thickness ranges. Problem solved: barrier and stiffness in recycling-friendlier HDPE-rich laminate sleeve. Cosmetic relevance: high for creams, lotions, skincare, oral care, and personal care. Premium vs mass-market fit: mass-market and clinical/personal-care; premium if decoration works. Mapped topics: S14 primary; S20 secondary. IP risk signal: Recent active filings / higher caution; FTO review recommended. White-space note: lower-barrier, lower-cost, PCR-enabled, or cosmetics-specific structures may remain. Caution: broader family coverage beyond AU/India should be checked.","A lamitube sleeve and implementations thereof — Google Patents — https://patents.google.com/patent/AU2024219845B1/en"
"P02-009","Kim Pack’s recent family on a casted web for flexible tube containers with a longitudinal side seam signals continuing IP around tube web construction, seam quality, and side-seam engineering.","Publication family: EP4577403A1; WO2024043840A1. Assignee: Kim Pack Co. Ltd. Priority year: 2022. Filing year: 2023. Publication year: 2024 WO and 2025 EP. Jurisdiction: WO / EP. Legal status: pending. Component: tube web / sleeve / side seam. Material route: polyolefin-based cast web with focus on adhesion and longitudinal seam. Claimed invention: casted web construction for flexible tubes using a longitudinal side seam. Problem solved: improved seam formation and tube-body performance. Cosmetic relevance: high because side seam aesthetics and integrity affect leakage and premium appearance. Premium vs mass-market fit: both, especially decorated premium tubes where seam visibility matters. Mapped topics: S14 and S20. IP risk signal: Moderate patent density / monitor claims; supplier-owned route. White-space note: invisible-seam recyclable paper-rich or mono-PE structures and e-commerce leak-resistant seam architectures may remain. Caution: public page showed bibliographic direction more than full claim detail.","Casted web for flexible tube container with longitudinal side seam — Google Patents — https://patents.google.com/patent/EP4577403A1/en"
"P02-010","Hoffmann Neopac’s recent US grant on a recyclable polypropylene container shows supplier activity around non-PE tube/container routes, potentially for alternative recycling-stream strategies.","Publication family: US12612230B2; WO2022179705A1; EP4294631A1 related. Assignee: Hoffmann Neopac AG. Priority year: 2021. Filing year: 2021 PCT / 2023 US national phase. Publication year: 2023 EP, 2024 US publication, 2026 US grant. Jurisdiction: WO / EP / US. Legal status: granted in US. Component: tube/container body. Material route: polypropylene or laminate thereof. Claimed invention: PP-based recyclable container architecture. Problem solved: recyclable packaging in a PP stream rather than only HDPE/mixed structures. Cosmetic relevance: potentially useful for opaque skincare, personal care, and premium PP packs where clarity is less critical. Premium vs mass-market fit: mass-market and clinical/personal-care stronger than luxe aesthetic tubes. Mapped topic: S14. IP risk signal: Moderate patent density / monitor claims; supplier-owned route; older-priority family with post-2022 publication/grant. White-space note: PP-based tubes with lower barrier needs or PP structures integrated with PP caps/shoulders may remain. Caution: exact claim breadth should be checked in granted US patent and EP file.","Recyclable polypropylene container — USPTO Official Gazette / Google Patents — https://patentsgazette.uspto.gov/week17/OG/html/1545-4/US12612230-20260428.html ; https://patents.google.com/patent/WO2022179705A1/en"
