Source code,Summary of what was found,Detailed description of what was found,Source name
"S13-001","Amcor positions AmPrima for home and personal care as a recycle-ready mono-material flexible-packaging platform that can run on commercial converting and filling equipment at the same speeds as non-recyclable materials and can deliver up to 90% packaging-weight reduction versus rigid refill formats.","Material/technology route covered: mono-material recycle-ready flexible pouches for home and personal care, aimed at refill use cases. Packaging format relevance: refill pouches for rigid bottles/containers. Weight/material reduction evidence: up to 90% packaging weight reduction. Cosmetic/personal care transfer relevance: directly relevant to shampoo, body wash, hand wash, and similar liquid personal-care categories where the rigid hero pack can remain and the refill does the lightweighting. Premium versus mass-market fit: strongest for mass-market/high-volume refill systems; technically possible as a consumer-facing refill but not inherently suited to replacing a premium hero pack on shelf. Performance/recyclability/filling-line limitation notes: Amcor ties the route to commercial-speed converting/filling and recycle-ready design rather than aesthetic luxury cues. Use in screening: treat mono-material refill pouches as a core shortlist for mass personal care when the product can be decanted into a reusable rigid bottle and local flexible-pack recycling pathways exist.","AmPrima Recycle-Ready Packaging for home and personal care — Amcor — https://www.amcor.com/sustainability/products/amprima/emea/homeandpersonalcare"
"S13-002","Mondi’s mono-material stand-up pouch for liquids is a PE-based duplex structure offered for liquid soap and detergent refills; the HFFS version can include aroma barrier and weight-loss avoidance, has a wide sealing window, and can be specified with glossy or matte finishing.","Material/technology route covered: PE-based mono-material refill pouch. Packaging format relevance: stand-up refill pouch, pre-made or HFFS, sized from 0.5 L to 3 L. Weight/material reduction relevance: no numeric weight-saving figure, but supports mono-PE as a lighter refill route versus traditional rigid refill bottles by showing a purpose-built flexible replacement for liquid formats. Cosmetic/personal care transfer relevance: highly relevant to shampoo, conditioner, body wash, hand wash, and similar liquid beauty/personal-care refills. Premium versus mass-market fit: primarily mass-market; glossy/matte finish option shows flexible mono-material refill packs can support elevated shelf appearance where needed. Performance/barrier/filling limitation notes: aroma barrier, weight-loss avoidance, and a wide sealing window indicate mono-material PE can be engineered for fragranced liquid products and production robustness. Use in screening: classify PE mono-material refill pouches as a high-priority route for liquid personal care, especially where fragrance retention and filling-line seal robustness are critical.","Mono-material StandUpPouch — Mondi Group — https://www.mondigroup.com/products-and-solutions/flexible-packaging/mono-material-standuppouch/"
"S13-003","Mondi and Henkel launched a recyclable mono-PE refill pouch for Pril that reduced plastic use by 70%, worked with a reusable rPET pump bottle, and was described as leak-proof and durable enough for home deliveries.","Material/technology route covered: mono-PE refill pouch used in a reuse-plus-refill system. Packaging format relevance: refill pouch feeding a durable rigid dispenser bottle. Weight/material reduction evidence: 70% plastic reduction versus the prior format/system as described by the partners. Cosmetic/personal care transfer relevance: dishwashing liquid example is transferable to liquid personal care because dispensing logic, refill behavior, leak risk, and home-delivery stress are similar to shampoo, body wash, and hand soap refills. Premium versus mass-market fit: best for mass-market and mainstream refill systems; less relevant as a standalone premium primary package. Performance/barrier/e-commerce limitation notes: the pouch is described as leak-proof and highly durable for home deliveries, valuable for e-commerce and transport screening. Use in screening: justify mono-PE refill pouches as realistic and scaled when paired with a reusable rigid dispenser and validated for transport integrity.","Mondi & Henkel partner to launch fully recyclable mono-material refill pouch for Pril — Mondi Group — https://www.mondigroup.com/news-and-insight/2022/mondi--henkel-partner-to-launch-fully-recyclable-mono-material-refill-pouch-for-pril/"
"S13-004","Mondi’s Berlingot refill format is a mono-material PE solution that reduces plastic usage by more than 75% compared with traditional rigid plastic bottles.","Material/technology route covered: ultra-light mono-PE refill pack. Packaging format relevance: compact refill/reserve pack style flexible format. Weight/material reduction evidence: over 75% plastic reduction versus rigid bottles. Cosmetic/personal care transfer relevance: relevant to concentrated liquid top-ups, reserve refills, travel refills, or applications where extreme material reduction matters more than shelf rigidity. Premium versus mass-market fit: much stronger for mass-market and cost-sensitive refill systems than premium/luxe hero packs. Performance/consumer-handling limitation notes: strong on material reduction, but does not claim suitability for highly sensitive formulas or prestige presentation. Use in screening: treat very-light refill sachet/pouch formats as a high-impact route for products that do not require high-rigidity packaging at point of use.","Sustainable Berlingot packaging — Mondi Group — https://www.mondigroup.com/products-and-solutions/flexible-packaging/sustainable-berlingot-packaging/"
"S13-005","L’Oréal states that Elvive refillable pouches reduce plastic use by 60% across several haircare lines, while the same page shows luxury refills are being scaled in fragrance and skincare rather than only mass-market haircare.","Material/technology route covered: refill systems in beauty, including flexible pouches in consumer haircare and refill systems in luxury fragrance/skincare. Packaging format relevance: refill pouches for haircare and refill solutions across fragrance, skincare, hygiene, and makeup. Weight/material reduction evidence: Elvive refillable pouches reduce plastic by 60%; Prada Paradoxe refilling saves 44% glass, 67% plastic, 100% metals, and 61% cardboard versus repurchase of the full pack. Cosmetic/personal care transfer relevance: direct beauty-sector evidence from a major global player. Premium versus mass-market fit: supports two-track logic: flexible refill pouches are strong in mass-market, while premium/luxe can retain the premium outer shell and move material reduction into the refill system. Performance/brand limitation notes: source frames refills as compatible with desirability and performance, but does not imply that a standalone flexible pouch replaces the premium shelf pack. Use in screening: support separate mass-market and premium refill tracks, strongest where the consumer keeps a durable outer pack.","Pioneering the refill revolution — L’Oréal Groupe — https://www.loreal.com/en/articles/commitments/pioneering-the-refill-revolution/"
"S13-006","Kenvue reports that Le Petit Marseillais shower-product doypack refills cut plastic by at least 50%, removed more than 80 metric tons of virgin plastic annually, and sold more than 1.5 million units in Europe since 2025.","Material/technology route covered: flexible doypack refill pouches for personal care. Packaging format relevance: shower-gel refill pouches, later expanded into larger hand-wash refill formats. Weight/material reduction evidence: at least 50% less plastic than a standard bottle; more than 80 metric tons of virgin plastic removed annually. Cosmetic/personal care transfer relevance: direct current evidence from a personal-care brand showing commercial-scale adoption rather than a pilot concept. Premium versus mass-market fit: strong mass-market route, particularly for rinse-off liquid categories. Performance/consumer limitation notes: strong on scale and material reduction but does not provide high-barrier or premium-perception claims; use as evidence for operationally practical mainstream refills. Use in screening: place doypack refill pouches in the mass-market shortlist for shower, hair, and hand-care categories where consumer reuse of the original bottle is feasible.","How Le Petit Marseillais reduced plastic packaging by 50% with doypack refills — Kenvue — https://www.kenvue.com/our-commitments/how-le-petit-marseillais-reduced-plastic-packaging-by-50-with-doypack-refills"
"S13-007","Glenroy says personal-care flexible packaging must be selected around formulation aggressiveness and fragrance retention: active ingredients, acids, and other compounds can require chemically resistant, high-barrier structures, and product, shelf-life, distribution, and equipment conditions all influence film choice.","Material/technology route covered: flexible films and laminations for personal care/cosmetics. Packaging format relevance: pouches, flow wraps, sachets, and other flexible formats for personal-care products. Weight/material reduction relevance: no weight number; explains why not every light flexible structure is acceptable for cosmetics because barrier and chemical resistance can dominate film selection. Cosmetic/personal care transfer relevance: directly relevant to shampoos, sunscreen, blemish treatments, anti-aging creams, toothpaste, and flavored gels. Premium versus mass-market fit: applies to both; premium/luxe may need stronger sensory, fragrance, and appearance retention, while mass-market needs scalable robust films. Performance/barrier/compatibility limitation notes: flags aggressive formulations and fragrance/flavor retention as reasons common films may fail; also points to product/package compatibility testing and barrier optimization. Use in screening: filter out lightweight pouch routes that cannot handle actives, acids, fragrance retention, or required shelf life.","Personal Care Flexible Packaging — Glenroy — https://www.glenroy.com/markets/personal-care-packaging/"
"S13-008","Glenroy’s pouch and sachet page shows flexible sachets and related laminations are used for shampoo, conditioner, sunscreen, lotion, serums, and cosmetic samples, and successful structures depend on barrier, puncture resistance, seal compatibility, and compatibility testing.","Material/technology route covered: pouch, sachet, and related film laminations, including recyclable and PCR options. Packaging format relevance: sachets, pouches, sample packs, and stick-pack-adjacent formats for personal care and cosmetics. Weight/material reduction evidence: sachets use less packaging per unit than rigid containers and can lower material cost while improving portability and sampling efficiency. Cosmetic/personal care transfer relevance: directly relevant for samples, travel sizes, low-price sachets, and small dose packs. Premium versus mass-market fit: strongest for mass-market, travel, and sample distribution; weak as a premium hero-pack replacement. Performance/barrier/filling-line limitation notes: oxygen/moisture/light barriers, chemical resistance, puncture and tear resistance, heat-seal compatibility, and formulation compatibility testing are highlighted. Use in screening: shortlist sachets and small pouches for samples/trials/low-cost dose delivery, but treat cautiously where high-barrier multilayers or aggressive formulations are required.","Pouch & Sachet Film Laminations — Glenroy — https://www.glenroy.com/flexible-packaging/flexible-packaging-films/pouch-film-laminations/"
"S13-009","APR’s PE flexible-packaging guide sets practical design-for-recycling rules: EVOH can be used in PE structures within defined limits, PE closures are preferred, rigid or non-PE attachments need testing, metal can make the pack non-recyclable, and inks/adhesives must be minimized or tested.","Material/technology route covered: mono-PE and PE-rich flexible packaging design rules for recycling. Packaging format relevance: bags, pouches, sachets, wraps, and flexible PE packaging with closures, spouts, labels, inks, and adhesives. Weight/material reduction relevance: not a weight-saving source; shows constraints required so lightweight PE films remain viable in future recycling systems. Cosmetic/personal care transfer relevance: directly relevant to mono-PE refill pouches and reserve packs for liquid personal care and cosmetics. Premium versus mass-market fit: highly relevant to mass-market scaling because decoration-heavy packs, rigid attachments, and metalized elements can undermine recyclability; also relevant to premium packs that often over-decorate. Performance/recyclability limitation notes: APR prefers EVOH within defined limits and PE closures; rigid/non-PE attachments need testing; metal is non-recyclable in this stream; inks/adhesives can cause gels and specks. Use in screening: apply as a hard filter for mono-PE pouch design, especially for barrier content, fitments, inks, adhesives, and decorative elements.","PE Flexible — Association of Plastic Recyclers — https://plasticsrecycling.org/apr-design-hub/apr-design-guide/pe-flexible/"
"S13-010","APR’s PP flexible guidance shows mono-PP routes are possible but sensitive to barrier levels and decoration: EVOH within defined limits is acceptable, while metalized layers, paper labels, nitrocellulose/untested inks, heavy adhesives, and certain coatings can impair recyclability or require testing.","Material/technology route covered: mono-PP and PP-rich flexible packaging recycling design criteria. Packaging format relevance: PP flexible films and pouches, including labels, inks, adhesives, closures, and metalized decoration. Weight/material reduction relevance: not a quantitative weight source; explains what a commercially realistic recyclable mono-PP route can and cannot include. Cosmetic/personal care transfer relevance: important for wet wipes, some flow-wraps, and certain pouch formats where PP is the chosen single-polymer route. Premium versus mass-market fit: strong for mass-market wet-wipe and hygiene-style formats; caution for premium packs relying on metalized decoration, paper labels, or heavy wet-chemistry coatings. Performance/recyclability limitation notes: EVOH ≤6 wt% with PP-g-MAH tie layers is acceptable; metalized content and paper labels can be detrimental; printing, adhesives, and curable coatings can create gels/specks and degrade recyclate quality. Use in screening: apply as the main design-for-recycling screen for mono-PP beauty/wipe packs, especially when PCR or PPWR-readiness is considered.","PP Flexible — Association of Plastic Recyclers — https://plasticsrecycling.org/apr-design-hub/apr-design-guide/pp-flexible-guidance/"
