Patent code,Summary of what was found,Detailed patent mapping,Source name
"P06-001","Plastipak has a long-running active continuation chain around lightweight plastic container/preform architecture, with post-2022 grants and 2025-2026 applications, making basic rigid-bottle lightweighting a crowded route rather than open white space.","Publication family: US11939104B2, US12391424B2, US20250368378A1, family ID 40122407. Assignee: Plastipak Packaging Inc. Priority year: 2006/2007 older priority. Filing year: continuations through 2024 and 2025. Publication year: 2023, 2024, 2025. Grant year: 2024 and 2025 for recent US grants. Jurisdiction: US. Legal status: active/pending; Google Patents flags litigation around the family. Component: lightweight bottle / preform. Material route: rigid plastic container/preform, primarily PET-like bottle architecture. Claimed invention: reduced-weight container and preform designs preserving performance while reducing resin. Problem solved: pack-weight reduction without losing functional bottle performance. Cosmetic relevance: strong transfer relevance for mass personal-care bottles where bottle body resin dominates grams. Premium vs mass-market fit: stronger mass-market; premium only where tactile heft is not essential. Mapped topics: S11, S20. IP risk signal: High patent density / FTO review recommended; older-priority family with post-2022 publication. White-space note: less room around generic lightweight bottle/preform architecture; better space in cosmetics-specific compatibility, decoration, PCR-processing, or closure integration. Caution: old priority but active after 2022 through continuations and grants.","Lightweight plastic container and preform — Google Patents — https://patents.google.com/patent/US8857637B2/en"
"P06-002","SAEME/Evian has a thin-wall rPET container family targeting low-color mechanically recycled PET in very thin bottle walls, directly relevant to lightweight bottles using high recycled content.","Publication family: WO2020208243A1. Assignee: Société Anonyme des Eaux Minérales d’Evian / SAEME. Priority year: 2019/2020-era family; post-2022 activity indicated in related records. Filing year: pre-2023. Publication year: 2020 initial publication; later post-2022 family activity. Jurisdiction: WO with later national phase activity. Legal status: not fully verified from snippet. Component: thin-wall PET container. Material route: high-rPET bottle wall. Claimed invention: thin-wall container with at least 50 wt% mechanically recycled PET and thin portions around 50-150 µm while managing coloration/transparency. Problem solved: significant rPET in lightweight transparent containers without unacceptable visual quality. Cosmetic relevance: clear or lightly tinted personal-care bottles needing downgauging and PCR content. Premium vs mass-market fit: mass-market and masstige; premium clarity-sensitive packs need aesthetic review. Mapped topics: S11, S19, S20. IP risk signal: Moderate patent density / monitor claims; supplier/brand-owned route. White-space note: opaque, pearlescent, or tinted cosmetic bottles may have room where color constraints are looser. Caution: older priority but important for current rPET thin-wall routes.","Thin wall container made with a recycled material — Google Patents — https://patents.google.com/patent/WO2020208243A1/en"
"P06-003","PepsiCo has a post-2022 publication on a lightweight hot-fill container, showing continued patenting around lightweight PET structures that must survive elevated-temperature filling.","Publication family: CN116096645A; related WO2021222760A1. Assignee: PepsiCo Inc. Priority year: 2020. Filing year: 2021. Publication year: 2023 CN; later CN116096645A8 in 2025. Jurisdiction: CN / PCT-related family. Legal status: pending/current in snippet. Component: lightweight hot-fill bottle/container. Material route: lightweight heat-resistant rigid plastic container, likely PET-oriented. Claimed invention: lighter hot-fill container and manufacturing method capable of withstanding vacuum/thermal forces after filling. Problem solved: reducing container weight while maintaining hot-fill survivability. Cosmetic relevance: elevated-temperature-filled personal-care products and formulas/processes imposing top-load/vacuum resistance. Premium vs mass-market fit: mainly mass-market. Mapped topics: S11, S20. IP risk signal: Moderate patent density / monitor claims. White-space note: cosmetics-specific room where hot-fill is unnecessary and ambient-fill performance allows simpler downgauging. Caution: independent claims not fully extracted; use for landscape direction only.","Lightweight hot-fill container and method of making same — Google Patents — https://patents.google.com/patent/CN116096645A/zh"
"P06-004","The Coca-Cola Company secured a 2024 US grant on barrier-enhanced PET multilayer containers, showing thin-wall/lightweight rigid packaging is still defended when barrier performance is improved through multilayer/furan-based materials.","Publication family: US11905363B2; related WO2016130748A1. Assignee: The Coca-Cola Company. Priority year: 2015 older priority. Filing year: 2016. Publication/grant year: 2024 US grant. Jurisdiction: US / WO / EP-family activity. Legal status: active to 2036 on Google Patents. Component: rigid PET multilayer container. Material route: multilayer PET with furanate-based barrier enhancement. Claimed invention: multilayer polyester container with improved gas barrier over monolayer PET. Problem solved: better barrier without reverting to glass or heavier packs. Cosmetic relevance: fragrance retention, oxygen sensitivity, or volatile actives where thin-wall monolayer PET is insufficient. Premium vs mass-market fit: conditional for mass and premium but likely higher-cost than straight downgauging. Mapped topics: S11, S19, S20. IP risk signal: High patent density / FTO review recommended in barrier-enhanced lightweight PET. White-space note: cosmetics-specific barrier/lightweight combinations avoiding classic beverage shelf-life architecture may exist. Caution: older priority included because US grant is after 2022.","Barrier enhanced PET multilayer container — Google Patents — https://patents.google.com/patent/US11905363B2/en"
"P06-005","ALPLA has a 2023 publication on PET starting material for extrusion blow molding and resulting hollow articles, relevant to downgauged blow-molded cosmetic bottles and jars.","Publication family: US20230182365A1. Assignee: ALPLA Werke Alwin Lehner GmbH & Co. KG. Priority year: 2020. Filing year: 2020. Publication year: 2023. Jurisdiction: US. Legal status: application publication; prosecution not fully checked. Component: hollow article made by extrusion blow molding. Material route: PET starting material adapted for extrusion blow molding. Claimed invention: PET feedstock/process route suitable for extrusion blow molding to produce hollow plastic articles. Problem solved: PET processability in extrusion blow-molding contexts. Cosmetic relevance: bottles where EBM productivity or design freedom is valued. Premium vs mass-market fit: mass-market if it lowers cost/performance barriers to PET bottle conversion. Mapped topics: S11, S20. IP risk signal: Moderate patent density / monitor claims; supplier-owned route. White-space note: combining EBM PET with PCR, decoration, or formula-compatibility requirements. Caution: retrieved snippet lacks full independent-claim text.","Method for producing a PET starting material suitable for use in an extrusion blow molding method, and hollow article produced in the extrusion blow molding method — Google Patents — https://patents.google.com/patent/US20230182365A1/en"
"P06-006","ALPLA has a 2023 US grant on a recycled PET barrier bottle, showing active patenting where PCR content, bottle barrier, and reuse/refill durability intersect.","Publication family: US11642814B2; related WO2018224652A1. Assignee: ALPLA Werke Alwin Lehner GmbH & Co. KG. Priority year: 2017. Filing year: 2018 path. Publication/grant year: 2023 US grant. Jurisdiction: US / WO-family. Legal status: granted. Component: PET barrier bottle / preform. Material route: recycled PET plus aliphatic furanoate in barrier bottle. Claimed invention: preform and bottle system using recycled PET with aliphatic furanoate to improve oxygen/CO2 barrier while keeping acceptable color values. Problem solved: combining low weight, PCR content, barrier performance, and appearance. Cosmetic relevance: refillable/reusable personal-care bottles where lighter plastic could displace glass while preserving formula protection. Premium vs mass-market fit: premium refill and masstige; perhaps too complex for commodity SKUs. Mapped topics: S11, S19, S20. IP risk signal: Moderate-to-high patent density / monitor claims, especially for furan-based barrier/PCR blends. White-space note: cosmetics where oxygen barrier matters less than fragrance/oil/solvent compatibility may allow simpler lighter constructions. Caution: material complexity may create recyclability/compatibility questions.","Recycled PET barrier bottle — Google Patents — https://patents.google.com/patent/US11642814B2/en"
"P06-007","ALPLA’s thin-wall rPET injection-molding family is one of the clearest recent routes for lightweight rigid packaging using recycled PET, covering cups, bowls, trays, and multi-compartment packs.","Publication family: CN116867628A; US20240100742A1; family ID 82740681. Assignee: ALPLA Werke Alwin Lehner GmbH & Co. KG. Priority year: 2021. Filing year: 2022. Publication year: 2023 CN and 2024 US application; 2025 US grant referenced in related records. Grant year: 2025 for US12343910B2 per related records. Jurisdiction: CN / US / CH / PCT-related family. Legal status: pending/active in multiple jurisdictions. Component: thin-wall injection-molded hollow bodies and tubs/trays. Material route: rPET adapted for thin-wall injection molding. Claimed invention: method for producing rPET plastic material for thin-wall injection molding and resulting containers. Problem solved: direct use of rPET in demanding thin-wall injection processes. Cosmetic relevance: jars, tubs, refill pods, thermoformed-style inserts, and rigid refill cartridges. Premium vs mass-market fit: strongest mass-market tubs/inserts; premium depends on appearance quality. Mapped topics: S11, S19, S20. IP risk signal: Recent active filings / higher caution; supplier-owned route. White-space note: transfer to cosmetics may have room around clarity, surface quality, and decoration rather than core process. Caution: more food-style proof than high-gloss prestige beauty jars.","Method for producing an rPET plastic material for use in a thin wall injection molding process and hollow body produced in the thin wall injection molding process — Google Patents — https://patents.google.com/patent/US20240100742A1/en"
"P06-008","ALPLA has a thin-wall small-part family with post-2022 publications/grants in some countries, covering closures, tube shoulders, cups, and blister-like packs made from single-layer PEF, pointing to bio-based thin-wall packaging as an emerging route.","Publication family: CH710702A1; later CN114290599B and MX387664B. Assignee: ALPLA Werke Alwin Lehner GmbH & Co. KG. Priority year: 2015 older priority. Filing year: 2015/2016. Publication year: original 2016; post-2022 grants in CN 2024 and MX 2025. Jurisdiction: CH / CN / US / JP / EP and others. Legal status: active in several countries; post-2022 grant shown for CN. Component: thin-walled plastic small parts including closures, tube shoulders, cups, capsule-like containers, and blister packs. Material route: single-layer PEF, optionally bio-based and recyclable. Claimed invention: thin-wall injection-molded plastic parts using PEF with specified viscosity/water-content windows. Problem solved: very thin parts with barrier and recyclability using mono-material bio-based polyester. Cosmetic relevance: tube shoulders, caps, trays, pods, and premium-format small rigid parts. Premium vs mass-market fit: more pilot/premium than broad mass today. Mapped topics: S11, S19, S20. IP risk signal: Recent active filings / higher caution for PEF thin-wall packaging; older-priority family with post-2022 publication. White-space note: cosmetics-specific uses where PEF barrier/mono-material logic is beneficial but beverage volumes are absent. Caution: cost, commercial scale, recycling fit, and formula compatibility remain major issues.","Process for producing thin-walled plastic small parts and thin-walled plastic small parts — Google Patents — https://patents.google.com/patent/CH710702A1/en"
"P06-009","ALPLA has a 2023 patent for producing foamed granulate, an enabling route for foamed-polyester rigid packaging relevant to future foam-core or microcellular lightweighting.","Publication family: US11708473B2; older PCT/CH roots in related records. Assignee: ALPLA Werke Alwin Lehner GmbH & Co. KG. Priority year: 2017. Filing year: 2018 path. Publication/grant year: 2023 US grant. Jurisdiction: US plus earlier WO/CH-family activity. Legal status: granted. Component: foamed granulate used to make lighter parts. Material route: foamed polyester granulate / blowing-agent route. Claimed invention: making polyester melt, foaming with blowing agent, forming foamed granulate, then restoring intrinsic viscosity through SSP. Problem solved: manufacturable polyester foam feedstock with managed IV loss. Cosmetic relevance: indirect for future foam-core bottles, jars, trays, or cap components. Premium vs mass-market fit: hidden/secondary components first; visible prestige parts need surface-quality solutions. Mapped topics: S12, S19, S20. IP risk signal: Supplier-owned route; moderate patent density / monitor claims. White-space note: packaging-specific applications such as cosmetic overcaps, trays, inserts, and refill shells may remain around conversion/finishing. Caution: enabling-material patent, not direct beauty finished-pack claim.","Method for producing a foamed granulate and use thereof — TREA / Google Patents-related records — https://trea.com/organization/alpla-werke-alwin-lehner-gmbh--co-kg/c023a4d5-6377-455d-8ba5-f4848044eb85"
"P06-010","Bockatech’s 2023 hollow plastic article family strongly indicates that skin-foam-skin or hollow-wall rigid packaging remains a supplier-controlled lightweighting route, especially for thicker rigid items.","Publication family: US11673734B2; related method-of-forming family records. Assignee: Bockatech Ltd. Priority year: 2017. Filing year: 2017/2018 path. Publication/grant year: 2023 US grant; related EP3843968B1 in 2024. Jurisdiction: US / EP-family. Legal status: granted. Component: hollow plastic article. Material route: aesthetically acceptable foam-core / hollow-wall rigid plastic construction analogous to EcoCore. Claimed invention: hollow/foamed rigid plastic article formed to reduce material while retaining insulation/strength. Problem solved: reducing resin mass while keeping stiffness and usability in rigid molded packaging. Cosmetic relevance: jars, refill cases, overcaps, and thick-walled heavy-feel parts where brands want lower mass without losing perceived substance. Premium vs mass-market fit: both; mass for cost/material savings and premium for fake-heft shells. Mapped topics: S12, S11, S20. IP risk signal: Dominant assignee concentration / partnership or licensing may be needed. White-space note: opportunities likely in cosmetics-specific surfaces, decoration, and mono-material simplification rather than core hollow/foam-shell concept. Caution: broader packaging family, visible-surface quality remains transfer screen.","Hollow plastic article — Google Patents — https://patents.google.com/patent/US11673734B2/en"
