Patent code,Summary of what was found,Detailed patent mapping,Source name
"P04-001","Amcor has a recent supplier-controlled paper-flex family for high-paper-content packaging film with thin polymer film, barrier material, and patterned sealant intended to keep hermetic seals while minimizing non-fiber content and thickness.","Publication family: EP4284635B1. Assignee: Amcor Flexibles North America Inc. Priority year: 2021. Filing year: 2022. Publication year: 2023 application publication and 2024 grant. Jurisdiction: EP. Legal status: active per Google Patents. Component: paper-based flexible film for hermetic packs. Material route: paper component plus 2-10 µm polymeric film plus barrier layer plus patterned sealable material. Claimed invention: paper packaging film engineered for high barrier and seal integrity, including triple-point seals, with minimal non-paper thickness. Problem solved: hermetic sealing and seal robustness in paper-rich flexible packs without fully plastic film. Cosmetic relevance: transfer potential for sachets, sheet-mask pouches, wipes overwraps, refill-pouch outer webs, and small-format personal-care packs; weaker for aggressive oily/alcoholic formulas without validation. Premium vs mass-market fit: strongest mass-market and masstige sample/refill formats; limited premium except hidden refill packs. Mapped topics: S13, S17, S20. IP risk signal: High patent density / FTO review recommended; supplier-owned route. White-space note: lower-barrier cosmetic sample packs, dry-product sachets, and secondary overwraps likely have more space than high-barrier direct-contact liquid flex. Caution: older priority included because EP grant was post-2022; Google legal status is informational only.","Paper packaging with thin film barrier — Google Patents — https://patents.google.com/patent/EP4284635B1/en"
"P04-002","Nestlé has a recent paper-rich flexible family using paper, aluminum, nanoclay barrier coating, and sealing layer while omitting PE/PP layers, showing active claiming around paper-rich foil-lite or polyolefin-avoiding flexible laminates.","Publication family: US20240270465A1. Assignee: Société des Produits Nestlé S.A. Priority year: 2021. Filing year: 2022. Publication year: 2024. Jurisdiction: US. Legal status: pending per Google Patents. Component: multi-layer flexible packaging web. Material route: paper layer plus aluminum layer plus nanoclay barrier coating plus sealing layer; no PE/PP layer emphasized in disclosed embodiments. Claimed invention: flexible paper-based laminate combining paper with aluminum and nanoclay chemistry for high oxygen/moisture barrier while directionally recyclable in paper/carton streams. Problem solved: strong O2/WVTR performance in paper-rich flex structures without conventional PE/PP-rich multilayer. Cosmetic relevance: relevant to fragranced sachets, actives samples, and selected refill/reserve packs where paper feel is acceptable. Premium vs mass-market fit: better premium/masstige and specialty sample-pack fit than high-volume mass personal care due to complexity and cost. Mapped topics: S13, S17, S20. IP risk signal: Moderate patent density / monitor claims; brand-owned route / competitor-specific caution. White-space note: non-metallized or lower-barrier paper-rich cosmetic laminates and secondary/non-contact paper flex may remain. Caution: older priority included due to post-2022 publication; structure remains multilayer, not simple paper route.","A multi-layer flexible packaging material — Google Patents — https://patents.google.com/patent/US20240270465A1/en"
"P04-003","Nestlé has a paper-based family claiming marine-biodegradable, recyclable, moisture- and oxygen-barrier paper packaging, indicating active patent direction around biodegradable high-barrier paper laminates.","Publication family: WO2023222625A1. Assignee: Société des Produits Nestlé S.A. / Nestlé S.A. Priority year: 2022. Filing year: 2023. Publication year: 2023. Jurisdiction: WO/PCT. Legal status: ceased per Google Patents. Component: paper-based barrier packaging material. Material route: multilayer metallized paper-based structure with organic and inorganic layers selected for marine biodegradability and recyclability. Claimed invention: paper-based packaging material with high moisture and oxygen barrier while targeting marine biodegradability and paper-stream recyclability. Problem solved: combining paper feel and paper-stream recovery with higher-barrier protection than plain paper. Cosmetic relevance: potential for dry sachets, wipes packs, or low-to-moderate barrier personal-care formats; less credible for oily, highly fragranced, or alcohol-rich formulas without validation. Premium vs mass-market fit: conditional premium/innovation route rather than mainstream mass first move. Mapped topics: S13, S17, S19. IP risk signal: Moderate patent density / monitor claims; brand-owned route / competitor-specific caution. White-space note: lower-cost paper-barrier routes may have more space than biodegradable plus high-barrier claim sets. Caution: Google ceased status is not legal conclusion; performance and recyclability still need screening.","Marine biodegradable and recyclable paper-based packaging material with high moisture and oxygen barrier properties — Google Patents — https://patents.google.com/patent/WO2023222625A1/fr"
"P04-004","Nestlé has a recyclable paper-based laminate and beverage-carton family with post-2022 publication and 2026 grant activity, showing ongoing claim interest in paper-based laminates for paper recycling streams with barrier performance.","Publication family: US20240165936A1; US12539695B2. Assignee: Société des Produits Nestlé S.A. Priority year: 2021. Filing year: 2022. Publication year: 2024 application publication and 2026 grant. Jurisdiction: US. Legal status: active at grant stage per Google Patents. Component: recyclable paper-based laminate / carton. Material route: paper-based laminate engineered for paper-stream recyclability with barrier functionality. Claimed invention: laminate and beverage carton designed to retain barrier performance while being recyclable in paper stream. Problem solved: reducing dependence on conventional extrusion-laminate and foil-heavy carton structures. Cosmetic relevance: more relevant to secondary or refill-cartridge cartons than direct-contact cosmetics. Premium vs mass-market fit: strongest for mass-market and refill-system outer packs; not an obvious luxe primary route. Mapped topics: S15, S17, S20. IP risk signal: Moderate patent density / monitor claims; brand-owned route / competitor-specific caution. White-space note: cosmetic secondary cartons with lower barrier needs likely retain more room than beverage-grade paper laminates. Caution: older priority included due to post-2022 publication/grant.","A recyclable paper-based laminate and a beverage carton made therefrom — Google Patents — https://patents.google.com/patent/US20240165936A1/en"
"P04-005","WestRock has a 2024 PCT family on high-barrier cellulosic structures using aqueous polymer-dispersion layers and explicitly frames target sectors including personal care, pharma, and e-commerce packaging.","Publication family: WO2024006591A1. Assignee: WestRock MWV LLC. Priority year: 2022. Filing year: 2023. Publication year: 2024. Jurisdiction: WO/PCT. Legal status: ceased per Google Patents. Component: coated cellulosic substrate and containers. Material route: cellulosic substrate plus single polyolefin aqueous polymer dispersion barrier layer plus at least one non-polyolefin aqueous dispersion barrier layer beneath it. Claimed invention: repulpable high-barrier cellulosic structure that bridges performance gap between aqueous-coated paper and extrusion-coated/foil-laminated paper. Problem solved: higher-barrier paperboard without heavy non-recyclable lamination. Cosmetic relevance: high-performance folding cartons, sleeves, sample cards, paper-based overwraps, coated inserts, selected non-contact beauty packs, and some dry direct-contact uses. Premium vs mass-market fit: useful for both where paper feel plus barrier/scuff protection is needed. Mapped topics: S15, S17, S20. IP risk signal: Moderate patent density / monitor claims; supplier-owned route accessible via partnership. White-space note: lower-coat-weight cosmetic cartons and non-contact inserts likely retain space; premium coated barrier board for moisture/aroma-sensitive goods is tighter. Caution: older priority included due to 2024 publication; Google ceased label is not legal opinion.","Cellulosic structures for high barrier applications — Google Patents — https://patents.google.com/patent/WO2024006591A1/en"
"P04-006","WestRock has a granted aqueous-barrier paperboard-container family showing active protection around molded or formed paperboard containers using aqueous barrier coatings rather than plastic-rich barriers.","Publication family: US11767639B2. Assignee: WestRock MWV LLC. Priority year: older than 2023. Filing year: older than 2023. Publication year: 2023 grant. Jurisdiction: US. Legal status: granted per Google Patents. Component: paperboard containers with aqueous barrier coating. Material route: paperboard plus aqueous barrier coating for resistance/containment performance. Claimed invention: paperboard container structures using water-based or aqueous barrier coatings to reduce dependence on conventional laminated barriers. Problem solved: moisture and product resistance in fiber containers while keeping recyclable fiber-pack logic. Cosmetic relevance: solid-cosmetic trays, dry-product cartons, accessory trays, paperboard sample dishes, and secondary trays rather than wet/oily direct-contact packs. Premium vs mass-market fit: mainly mass-market or hidden utility components; premium depends on finish. Mapped topics: S15, S16, S17. IP risk signal: Moderate patent density / supplier-owned route. White-space note: cosmetic secondary components likely have more room than direct-contact formed-fiber containers. Caution: older-priority family included due to 2023 grant; independent claims need deeper review.","Coated paperboard containers having an aqueous barrier coating — Google Patents — https://patents.google.com/patent/US11767639B2/en"
"P04-007","Billerud has a recent coated-paperboard family with talc and polyolefin-based binder barrier coating on paperboard substrate, directly relevant to lightweight coated cartons and premium secondary paperboard.","Publication family: EP4202118B1; WO2023118472A1. Assignee: Billerud AB. Priority year: 2021. Filing year: 2021. Publication year: 2023 application and 2025 grant. Jurisdiction: EP. Legal status: active per Google Patents. Component: coated paperboard product. Material route: paperboard substrate plus barrier coating with talc and polyolefin-based binder; optional pre-coat and optional PE reverse layer; substrate 120-300 g/m2. Claimed invention: mineral-filled barrier coating system for paperboard to provide water resistance/barrier without thick conventional laminates. Problem solved: improved cartonboard barrier while maintaining paperboard functionality and reducing heavy multi-material structures. Cosmetic relevance: cosmetic folding cartons, kit dividers, sleeves, premium secondary cartons, and coated trays. Premium vs mass-market fit: both; strongest in premium secondary packs needing surface quality plus barrier and mass cartons needing water resistance. Mapped topics: S15, S17, S20. IP risk signal: Moderate patent density / monitor claims; supplier-owned route. White-space note: lighter-gauge beauty cartons with simpler decorative systems likely retain space. Caution: older priority included due to post-2022 publication/grant; polyolefin binder needs recyclability evaluation.","Coated paperboard — Google Patents — https://patents.google.com/patent/EP4202118B1/en"
"P04-008","Billerud has a paper-product-for-flow-wrapping family that is highly transferable to cosmetics, using MG kraft paper with precoat and barrier coating to replace plastic films in flow wrapping.","Publication family: US20230303890A1. Assignee: Billerud AB / BillerudKorsnäs AB. Priority year: 2020. Filing year: 2021. Publication year: 2023. Jurisdiction: US. Legal status: pending per Google Patents. Component: paper for flow wrapping. Material route: machine-glazed kraft paper plus precoating layer plus barrier coating layer; coated-paper grammage about 56-76 g/m2 and thickness about 55-70 µm. Claimed invention: paper-based wrapping material strong enough for flow-wrap converting with printability, moisture/grease barrier, and sealant adhesion. Problem solved: replacing plastic flow-wrap films with paper that can run on high-speed equipment. Cosmetic relevance: soap wraps, wipes overwrap, kit overwrap, sheet-mask wrappers, personal-care bar wraps, and sample packs; less suited to liquid/oily direct contact without further chemistry. Premium vs mass-market fit: mass-market secondary wrap and premium natural-paper look where desired. Mapped topics: S13, S17, S20. IP risk signal: Moderate patent density / supplier-owned route. White-space note: cosmetic-only barrier specifications and less demanding aroma/moisture conditions may provide space. Caution: older priority included due to 2023 publication; not a direct solution for high-fragrance or solvent-heavy packs.","Paper Product for Flow Wrapping — Google Patents — https://patents.google.com/patent/US20230303890A1/en"
"P04-009","Billerud has a heat-sealable-paper family claiming a plastic-free recyclable sealing mechanism based on oxidized starch and dextrin coatings, relevant to paper sachets, paper sticks, and simple sealed paper formats.","Publication family: WO2023099625A1. Assignee: Billerud AB. Priority year: older than 2023. Filing year: older than 2023. Publication year: 2023. Jurisdiction: WO/PCT. Legal status: publication record. Component: heat-sealable paper, packages, and paper sticks. Material route: paper substrate coated with oxidized starch plus dextrin/maltodextrin; coat weights about 0.5-10 g/m2, with MG examples around 1-1.5 g/m2. Claimed invention: wetted heat-sealable paper-based material that can replace plastic in certain sealed packaging. Problem solved: fiber-based sealability without conventional plastic layers. Cosmetic relevance: low-barrier paper sample packs, applicator wraps, dry wipes, cotton/beauty accessory sticks, and secondary single-use formats; weak for fragranced creams, alcohol formulas, or wet/oily products. Premium vs mass-market fit: low-cost mass accessories or dry single-use packs more than luxe beauty. Mapped topics: S13, S17. IP risk signal: Moderate patent density / monitor claims. White-space note: hybrid cosmetic formats with modest direct-contact barrier demands may remain. Caution: water-assisted seal mechanism may constrain line integration and wet-strength robustness.","Heat-sealable paper — Google Patents — https://patents.google.com/patent/WO2023099625A1/en"
"P04-010","Tetra Laval has a granted high-barrier cellulose-platform family for barrier-coated cellulose substrate with dispersion coating plus vapor-deposited barrier, signaling dense IP around non-foil paper/paperboard laminates.","Publication family: EP4180574B1. Assignee: Tetra Laval Holdings & Finance S.A. Priority year: 2021. Filing year: 2022. Publication year: 2023 application and 2024 grant. Jurisdiction: EP. Legal status: active per Google Patents. Component: barrier-coated cellulose-based substrate for laminate. Material route: cellulose substrate plus ductile base pre-coat, barrier dispersion/solution coat, and vapor-deposited barrier layer. Claimed invention: non-foil cellulose-based barrier sheet for laminated packaging material. Problem solved: cost-efficient non-foil oxygen/gas barrier in paper/paperboard laminates. Cosmetic relevance: barrier-coated cosmetic cartons, premium sample cards, non-direct-contact laminates, and future paper-rich sachet carriers. Premium vs mass-market fit: advanced premium/high-performance route more than near-term low-cost mass. Mapped topics: S15, S17, S20. IP risk signal: High patent density / FTO review recommended; dominant assignee concentration in high-barrier cellulose-laminate niche. White-space note: limited in high-barrier vapor-deposited paper laminates; more room in lower-barrier cosmetic secondary board. Caution: older priority included due to post-2022 grant.","Barrier-coated cellulose-based substrate for laminated packaging material — Google Patents — https://patents.google.com/patent/EP4180574B1/en"
