Source code,Summary of what was found,Detailed description of what was found,Source name
"S12-001","Trexel defines MuCell as microcellular foam injection molding using supercritical N2 or CO2 and reports part-weight reductions of 5%–40%, faster cycle times up to 40%, lower clamp force of 25%–50%, and energy savings of 5%–30%.","Material/technology route covered: physical microcellular foaming for thermoplastics. Packaging/component relevance: injection-molded cosmetic parts such as caps, overcaps, compact shells, refill cases, trays, and opaque rigid components because the source describes lower density, reduced sink/warp, and a solid skin layer around the foamed core. Weight/material reduction evidence: explicit ranges for weight, cycle-time, clamp-force, and energy reduction. Cosmetic/personal care transfer relevance: strong baseline for evaluating whether the same external part concept can be produced with less resin. Premium versus mass-market fit: stronger for mass-market or hidden/semivisible parts; premium use conditional because surface quality depends on application. Limitations/caution: process-level technology-provider evidence rather than a cosmetic brand case study.","MuCell Technology — Trexel Inc. — https://trexel.com/mucell/"
"S12-002","Trexel says its consumer-packaging blow-molding solution can foam 2+ layer bottles and reduce bottle weight by up to 25% while maintaining similar top-load, impact, and ESCR performance; it also lists cosmetics as an application and can help offset higher PCR cost.","Material/technology route covered: foamed blow molding for multilayer PE/polyolefin bottles. Packaging/component relevance: cosmetic bottles and household/personal-care containers because the source explicitly lists cosmetics among typical applications. Weight/material reduction evidence: up to 25% bottle-weight reduction at similar thickness/performance; example where a bottle foamed 15% and containing 35% PCR could be produced at the same cost as a virgin solid bottle. Cosmetic/personal care transfer relevance: strongest for opaque or pigmented bottles where reduced density and PCR economics matter more than glass-like clarity. Premium versus mass-market fit: mainly mass-market; weaker for clear premium bottles because opacity is noted as a benefit. Limitations/caution: requires a multilayer machine and turnkey blow-molding setup with W. Müller; not plug-and-play for every bottle platform.","Trexel Brings Its MuCell Technology Beyond Automotive Applications — Trexel Inc. — https://trexel.com/trexel-brings-its-mucell-technology-beyond-automotive-applications/"
"S12-003","PlasticsToday reports Borealis and Trexel developed a lightweight, fully recyclable bottle made with MuCell foaming; the foamed bottle keeps performance at virgin-like levels, lowers production energy demand, and can retain a premium look and feel.","Material/technology route covered: physical foaming in blow-molded polyolefin bottles. Packaging/component relevance: cosmetic bottles, refill outer shells, or premium-looking opaque rigid packs because the article highlights design freedom, color flexibility, and premium appearance. Weight/material reduction relevance: foaming reduces density and lowers energy consumption in production. Premium versus mass-market fit: important for premium/luxe screening because it suggests foamed polyolefin does not automatically force a low-grade appearance. Use in screening: keep certain foamed bottle or shell concepts in the premium-conditional shortlist rather than rejecting them outright. Limitations/caution: trade-publication article summarizing company statements; use as directional evidence rather than independent third-party validation.","Borealis, Trexel Develop Reusable, Fully Recyclable Lightweight Plastic Bottle — PlasticsToday — https://www.plasticstoday.com/packaging/borealis-trexel-develop-reusable-fully-recyclable-lightweight-plastic-bottle"
"S12-004","StackTeck says microcellular molding for packaging offers 5%–20% part-weight savings, reduced clamp tonnage, better thin-to-thick flow, and reduced sink marks/warpage; it is being applied in rigid packaging, medical, and personal care.","Material/technology route covered: MuCell-type microcellular foaming in injection molding. Packaging/component relevance: personal-care closures, lids, tubs, jars, and thin-wall packaging because StackTeck is a packaging/personal-care mold supplier. Weight/material reduction evidence: explicit 5%–20% part-weight savings. Cosmetic/personal care transfer relevance: strong evidence for near-term commercialization of foamed closures, lids, refill pods, and certain cosmetic jars/tubs without changing pack size. Premium versus mass-market fit: strongest for mass-market or standard personal-care packs; premium applications need appearance validation. Limitations/caution: supplier/process evidence showing feasibility and tooling logic, not a brand-side finished-pack case.","Microcellular Molding Technology — StackTeck — https://stackteck.com/sustainability/microcellular-molding/"
"S12-005","SABIC’s packaging page says polymeric foams can meet packaging weight-reduction needs while maintaining required properties, and lists foamable packaging applications including bottles, cups, corks, pouches, cap seals, food containers and packs across LDPE and PP foam families.","Material/technology route covered: foamable PP and PE packaging resin platforms. Packaging/component relevance: cosmetic bottles, cap seals, closures, pouches, and rigid secondary parts where PP/PE remain preferred commodity materials. Weight/material reduction relevance: frames polymeric foams as a packaging route for reducing weight while preserving functional properties. Premium versus mass-market fit: primarily mass-market because it centers on PP and PE packaging materials. Use in screening: evidence that foamable PP/PE resin grades are commercially available from a major material supplier, supporting scalability and supplier discussions. Limitations/caution: not a finished cosmetic case study or direct performance dataset for a specific beauty pack.","Foam & Lightweight Solutions — SABIC — https://www.sabic.com/en/industries/packaging/food-beverage/foam-packaging"
"S12-006","LyondellBasell says Polybatch chemical-foaming masterbatches can reduce plastic consumption by up to 20% on existing injection-molding or extrusion equipment, with packaging uses including caps and closures, containers, and thermoformed sheet and trays.","Material/technology route covered: chemical foaming for packaging. Packaging/component relevance: cosmetic caps, closures, rigid trays, inserts, and secondary plastic components because the source lists these application families. Weight/material reduction evidence: up to 20% plastic-use reduction, plus reduced sink marks, reduced warpage, and reduced cycle time. Cosmetic/personal care transfer relevance: strong for mass-market programs needing low-capex retrofits and high-speed packaging conversion. Premium versus mass-market fit: better for mass and hidden components than high-gloss premium display parts. Limitations/caution: additive-based route; users must determine suitability and legality, so cosmetic-pack proposals need recyclability, migration, and regulatory confirmation.","Polybatch Chemical Foaming Masterbatches for Packaging Applications — LyondellBasell — https://www.lyondellbasell.com/globalassets/sites/lyb-documents/masterbatch/polybatch-chemical-foaming-masterbatches-for-packaging-applications.pdf"
"S12-007","A LyondellBasell technical presentation says foamed parts can reduce weight by 5%–30% depending on technology, process, blowing-agent level, and article design; chemical blowing agents are often preferred to avoid expensive machine modifications, and food-packaging approval under EU legislation is referenced.","Material/technology route covered: chemical and physical foaming, including low-pressure and core-back routes. Packaging/component relevance: useful for choosing between simpler downgauge-style foaming and higher-savings foamed-core structures in rigid packaging parts. Weight/material reduction evidence: low-pressure process gives roughly 5%–10% reduction with wall stock maintained, while higher-savings/core-back routes can reach up to 30%. Cosmetic/personal care transfer relevance: supports practical screening logic: start with lower-complexity chemical/masterbatch routes for caps, trays, inserts, and tubs; reserve more complex foamed-core routes for parts that justify extra process development. Limitations/caution: conference deck rather than peer-reviewed paper; food-approval context cannot be assumed to equal cosmetic compatibility.","How to make plastics lighter? Light weighting using Polybatch blowing agents — LyondellBasell — https://www.lyondellbasell.com/globalassets/sites/2023/mme-2023/session-3/how-to-make-plastics-lighter.pdf"
"S12-008","ENGEL says thermoplastic foam injection molding creates a foamed core with a compact outer layer, allowing weight/material reduction while maintaining mechanical properties; it warns that escaping gases can create surface streaks and visible parts may need foilmelt, variomelt, or gas counter pressure for higher-quality surfaces.","Material/technology route covered: physical or chemical foam injection molding with surface-upgrading options. Packaging/component relevance: cosmetic overcaps, compact cases, refill shells, trays, collars, and non-contact rigid parts. Weight/material reduction evidence: foaming lowers weight and energy use, reduces machine loads, and can reduce rejects; a 30% material-savings example is shown on PCR building blocks. Premium versus mass-market fit: crucial screening source because visible Class-A surfaces are possible but may require extra surface technologies, changing cost and complexity. Use in screening: use foaming first on hidden or semivisible parts; treat glossy premium exteriors as conditional. Limitations/caution: process-provider evidence with many examples outside beauty.","Foaming of plastics in injection moulding — ENGEL — https://www.engelglobal.com/en/products/injection-moulding-processes/plastic-foaming"
"S12-009","Huarong describes physical microcellular foaming as a clean alternative to chemical foaming and states typical weight reduction is 15%–20%, with 10%–20% often realistic; it also says Class-A/high-gloss surfaces generally favor solid molding or skin-core-skin approaches, and lists usable materials including PP, ABS, PC/ABS, PS, PBT, and some PA grades.","Material/technology route covered: microcellular physical foaming and comparison with chemical foaming. Packaging/component relevance: cosmetic compact cases, overcaps, rigid shells, trays, and engineering-plastic parts where aesthetics matter. Weight/material reduction evidence: stated 15%–20% reduction without compromising structural strength, plus lower clamping force and cycle-time reduction. Premium versus mass-market fit: important caution source for premium/luxe because it explicitly flags high-gloss visible parts as difficult. Use in screening: textured, matte, satin, or decorated premium parts may be feasible; crystal-clear or mirror-polished premium parts should be treated cautiously. Limitations/caution: machine-supplier technical guide, practical but not cosmetic-brand-specific.","Microcellular Foam Injection Molding: A Complete Guide to Lightweight and Energy-Efficient Production — Huarong Group — https://www.huarong.com.tw/page/news/en/company_news/detail/114/"
"S12-010","Matsui’s MuCell page says physical foam molding can achieve 20%+ material/weight reduction, leaves no chemical residues in the polymer, maintains regrind properties closer to virgin material, and is compatible with injection, extrusion, and blow molding; it also shows a 36 g to 29 g part example.","Material/technology route covered: physical foaming with supercritical N2/CO2. Packaging/component relevance: rigid cosmetic packaging and packaging materials because the source explicitly mentions packaging materials and blow-molded containers among case studies. Weight/material reduction evidence: 20%+ reduction headline; explicit 36 g to 29 g example; up to ~30% reduction through foaming/material reduction in practice. Cosmetic/personal care transfer relevance: strong for caps, trays, rigid cases, and some bottles where recyclability and internal regrind reuse matter. Premium versus mass-market fit: mostly mass-market, but applicable to semivisible premium shells if finish targets are modest. Limitations/caution: examples include automotive/industrial parts; cosmetic direct-contact suitability must be validated separately.","Physical foam molding MuCell — Matsui Mfg. Co., Ltd. — https://matsui.net/en/lineup/mucell/"
