Source code,Summary of what was found,Detailed description of what was found,Source name
"S17-001","Mondi’s FunctionalBarrier Paper range includes medium-, high-, and very-high-barrier paper solutions. Mondi positions the medium-barrier grade for personal care and e-commerce uses and describes the range as reducing plastic and remaining recyclable in paper streams in Europe.","Material/technology route covered: paper-based barrier papers with tailored barrier levels. Packaging relevance: flexible wraps, pouches, and secondary/protective paper formats; the medium-barrier grade is explicitly relevant to personal care and e-commerce packaging. Reduction evidence: reduces plastic use and can substitute plastic laminates and multi-material aluminium-based packs. Cosmetic relevance: supports mass-market personal care refills, overwraps, and sachet-like structures where medium moisture barrier and sealability are sufficient; high-barrier and very-high-barrier grades are more suitable for formulas or sample/refill formats needing added oxygen/moisture protection. Fit: mass-market strongest for medium-barrier refills and secondary packs; premium/luxe possible for curated paper-led refill concepts. Limitations/caution: barrier level must be matched to product sensitivity; very-high-barrier routes are technically more complex and should be screened separately from low-/medium-barrier secondary packaging.","Mondi expands range of FunctionalBarrier Papers with high barrier packaging solution — Mondi Group — https://www.mondigroup.com/news-and-insight/2023/mondi-expands-range-of-functionalbarrier-papers-with-high-barrier-packaging-solution/"
"S17-002","UPM and Royal Vaassen describe a fibre-based, recyclable alternative to plastic and aluminium laminates that provides barrier protection against moisture, oxygen, and light and is compatible with several packaging formats, including canisters.","Material/technology route covered: fibre-based high-barrier paper replacing plastic/aluminium laminate structures. Packaging relevance: flexible packs and canister liners/inner wraps; compatible with various packaging formats, so transferable to sachets, refill packs, and dry-product liners. Reduction evidence: explicitly framed as an alternative to plastic and aluminium laminates. Cosmetic relevance: mainly relevant for dry, powdered, or low-water-activity beauty/personal-care items, sample packs, dry masks, bath additives, and secondary barrier wraps; less directly proven for oily creams or alcohol-rich liquids. Fit: strongest for mass-market dry formats and refill components; premium/luxe possible where paper appearance is desired. Limitations/caution: published use cases are demanding dry goods, not cosmetic emulsions or fragranced liquids, so wet/oily direct contact requires separate compatibility and seal validation.","UPM x Royal Vaassen: a fibre-based, recyclable alternative to plastic and aluminum laminates — UPM Specialty Materials — https://www.upmspecialtymaterials.com/articles/specialty-papers/25/upm-specialty-papers-x-royal-vaassen/"
"S17-003","Amcor’s AmFiber Performance Paper is presented as a high-barrier laminated paper recyclable in most paper recycling streams, prequalified by How2Recycle, and intended to deliver barrier, shelf-life, and machine performance while giving paper-based packaging a natural shelf look.","Material/technology route covered: high-barrier paper-based flexible packaging. Packaging relevance: pouches, sachets, and refill packs where line performance matters. Reduction evidence: paper-based alternative intended for curbside repulpability and better end-of-life than conventional coated papers or less-recyclable flexible formats. Cosmetic relevance: benchmark for beauty sample packs, reserve packs, and refill sachets where machine speed and stable sealing matter; natural look and feel supports premiumized paper-led branding. Fit: good for mass-market and selected premium routes where paper appearance helps brand communication. Limitations/caution: examples are food/healthcare-oriented, so cosmetic transfer still requires formula-specific barrier and compatibility screening; supports commercial practicality, not universal formulation compatibility.","High-Barrier Performance Paper Packaging Launches in North America — Amcor — https://www.amcor.com/media/news/paper-packaging-launch-north-america"
"S17-004","Walki Opti Seal is a high-fibre paper structure with optimized PE coating, up to 95% fibre content, suitability for home and personal care refills, and compatibility with VFFS/HFFS, four-side sachets, and overwraps while keeping polymer use to the minimum required for function.","Material/technology route covered: paper/polymer hybrid flexible packaging with downgauged PE coating. Packaging relevance: refill pouches, flow packs, sachets, and overwraps. Reduction evidence: polymer content is minimized, fibre content reaches up to 95%, and the structure can replace paper/film laminates and high-polymer coatings. Cosmetic relevance: directly relevant to home and personal care refills, including shampoo/body wash/soap refill routes or low-to-medium barrier beauty sachets. Fit: strongest for mass-market refills and high-volume personal care; premium/luxe possible where matte paper finish is acceptable. Limitations/caution: hybrid paper/PE structure, not plastic-free paper; barrier is tuned for water vapour and grease, so fragranced, oily, solvent-rich, or alcohol-heavy cosmetics need extra screening. Use as near-term commercial route, not universal high-barrier replacement.","Walki Opti Seal – Recyclable Fibre Packaging with Optimised Polymer Coating — Walki Group — https://www.walki.com/products/walki-opti-seal-recyclable-fibre-packaging/"
"S17-005","Walki Fibre Pro uses sealable varnish only at the seams, keeps fibre content above 95%, and is positioned for secondary packaging, home and personal care items, and VFFS/HFFS pouches or four-side sachets, with strong runnability and recyclability benefits.","Material/technology route covered: seal-frame paper with localized seal coating rather than full-surface polymer coverage. Packaging relevance: secondary wraps, overwraps, low-barrier sachets, and bundled home/personal-care packs. Reduction evidence: sealing medium is applied only where needed, reducing non-fibre content to the minimum and improving fibre yield during recycling. Cosmetic relevance: relevant for secondary sleeves, display overwraps, refill-kit wraps, and dry or low-barrier beauty sachets; useful as a model for replacing plastic-heavy overwraps. Fit: mass-market clearest due to machinability, recyclability, and material efficiency; premium/luxe possible for matte printed wraps, but not high-gloss protective flexibles. Limitations/caution: application set is low-barrier and mainly secondary/dry/low-barrier; treat as outer-pack or low-risk-contact option, not for wet/oily/fragranced cosmetics.","Walki Fibre Pro – Highly Recyclable Sealable Paper for Flow Packs — Walki Group — https://www.walki.com/products/walki-fibre-pro-frame-sealing/"
"S17-006","Huhtamaki’s recyclable laminate tube structures for oral care and cosmetics use polyethylene laminates with EVOH barrier content below 4% of total tube weight and are designed to remain compatible with the HDPE recycling stream while retaining printability and shelf appeal.","Material/technology route covered: polymer-based recyclable laminate tube barrier design used as a comparator to paper/fiber routes. Packaging relevance: cosmetic and oral-care tubes. Reduction evidence: not a paper substitution claim, but shows barrier-heavy tube performance can sometimes be achieved with low-percentage non-PE barrier material rather than full aluminum barrier laminate. Cosmetic relevance: important comparator for barrier-coated paper tube concepts because it sets a commercial benchmark for barrier, printability, and recyclability in cosmetics. Fit: mass-market and premium both viable. Limitations/caution: not a paper/fiber solution; use as a benchmark and control showing some barrier needs may be better met by optimized recyclable laminate than by paper-rich tubes.","Independent authority RecyClass certifies Huhtamaki blueloop laminate Tubes — Huhtamaki — https://www.huhtamaki.com/en/media/media/press-release/2021/independent-authority-recyclass-certifies-huhtamaki-blueloop-laminate-tubes/"
"S17-007","L’Oréal and Albéa announced a cosmetic tube integrating certified paper-based material to gradually replace the majority of plastic in cosmetic tubes, with intended use for face and body care products.","Material/technology route covered: paper-based cosmetic tube. Packaging relevance: direct-contact cosmetic tubes for creams and body/face care. Reduction evidence: replaces the majority of plastic usually used in tubes with certified paper-based material. Cosmetic relevance: clear beauty-specific proof that paper-rich tube routes are being pursued in mainstream cosmetics. Fit: stronger for premium/luxe skincare and conscious-beauty storytelling, but transferable to mass skin/body care if cost and line performance work. Limitations/caution: strategic/launch-oriented and does not publish barrier metrics, seal performance, or recyclability outcomes; supports feasibility and market direction, not standalone approval for wet, fragranced, or aggressive formulas.","L’Oréal and Albéa launch the first cosmetic tube integrating certified paper-based material — L’Oréal — https://www.loreal.com/en/news/commitments/loreal-and-albea-launch-the-first-paper-based-cosmetic-tube/"
"S17-008","Stora Enso’s cosmetics paperboard tube uses barrier-coated, grease-resistant paperboard for skin cream packaging and reportedly reduces plastic use by 70% versus a plastic tube, with converting tests run on Aisa tube machinery.","Material/technology route covered: barrier-coated paperboard tube for direct cosmetic use. Packaging relevance: skin-cream tubes and potentially other semi-solid personal-care products. Reduction evidence: 70% plastic-use reduction versus a plastic tube. Cosmetic relevance: major beauty-specific proof point for paperboard tubes, especially where product is cream-based and a premium renewable look is desirable. Fit: premium/luxe and dermocosmetic routes plausible due to innovation and sustainability positioning; mass-market transfer depends on conversion economics and closure/shoulder material simplification. Limitations/caution: barrier is grease-resistant and suitable for skin cream, but not broadly validated for sunscreen actives, alcohol-containing gels, or highly fragranced/oily formulas. Caps and shoulders remain separate materials, constraining total-pack circularity.","Stora Enso introduces a renewable paperboard tube for cosmetics packaging to replace plastic — Stora Enso — https://www.storaenso.com/en/newsroom/news/2019/10/stora-enso-introduces-a-paperboard-tube-for-cosmetics"
"S17-009","Stora Enso’s Aqua barrier boards use dispersion technology to create liquid- and grease-resistant paperboard instead of traditional plastic layers and offer higher fibre recovery in recycling, with technical recyclability comparable to folding boxboard and clay-coated graphical boards.","Material/technology route covered: water-based dispersion-coated paperboard for barrier cartons/boards. Packaging relevance: cartons, sleeves, trays, and secondary packs needing moisture or grease resistance. Reduction evidence: framed as replacing traditional plastic layers. Cosmetic relevance: strong for secondary packaging in beauty where plastic-laminated cartons, coated sleeves, or grease-resistant presentation boards are currently used. Fit: mass-market clearest because of recyclability and substitution of plastic layers; premium/luxe possible if print and tactile targets are met. Limitations/caution: board-focused rather than liquid cosmetic primary packaging; use should skew toward secondary packs, inserts, sleeves, and non-direct-contact structures unless compatibility data exist.","New barrier solutions to replace plastic in packaging — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/barrier-boards/new-barrier-solutions"
"S17-010","Metsä Board’s Prime FBB EB is a lightweight dispersion-barrier paperboard with medium grease and moisture barrier, described as recyclable and compostable with excellent printability, making it a candidate for coated cartons rather than heavy multi-material boards.","Material/technology route covered: lightweight dispersion-coated folding boxboard. Packaging relevance: cartons, sleeves, trays, and secondary packs. Reduction evidence: lightweight board helps reduce plastic through a dispersion barrier rather than PE extrusion or heavier plastic-rich structures. Cosmetic relevance: relevant to beauty cartons, sample cartons, insert cards, and premium-but-lightweight secondary packaging. Fit: strong for mass-market cartons and premium/luxe paperboard where bright print surfaces matter more than deep luxury haptics. Limitations/caution: barrier level is medium against grease/moisture, so better for secondary packaging or low-risk-contact applications than aggressive direct-contact formulas.","Barrier boards — Metsä Board / Metsä Group — https://www.metsagroup.com/metsaboard/products-and-services/products/barrier-boards/"
