Source code,Summary of what was found,Detailed description of what was found,Source name
"S15-001","PPC’s grade overview gives a useful baseline for beauty cartons: SBS is premium white board for cosmetics and high-end retail packs; CUK/kraft is strength-led; CRB is recycled and value-oriented; chipboard is used for rigid/setup luxury goods boxes including cosmetics.","Material or technology route covered: SBS, CUK, CRB, and chipboard/setup box board. Carton/secondary-pack format relevance: folding cartons and rigid boxes. Weight/material reduction evidence: no quantified reduction, but it identifies rigid/setup boxes made from thick chipboard as a heavier format risk area and frames folding-carton grades as alternatives. Cosmetic/personal care relevance: SBS is identified for cosmetics; rigid boxes are identified for small luxury goods including cosmetics. Premium versus mass-market fit: premium/luxe aligns with SBS and rigid chipboard boxes; mainstream aligns with CRB and CUK depending on strength and appearance. Limitation/caution: classification source rather than quantified downgauging case; use as baseline taxonomy.","4 Types of Paperboard — Paperboard Packaging Council — https://paperbox.org/4-types-of-paperboard/"
"S15-002","Graphic Packaging separates Consumer Beauty from Luxury Beauty: mass-market beauty focuses on shelf impact, while luxury beauty emphasizes premium finishes, structural design, anti-counterfeit embellishments, gift boxes, inserts, windows, and special effects.","Material or technology route covered: beauty folding cartons and gift-box systems using paperboard plus finishing layers. Carton/secondary-pack format relevance: standard folding cartons, gift boxes, inserts, windows, metallic/tactile finishes. Weight/material reduction evidence: not a grammage source, but explains why premium cartons often accumulate extra material through structure and finishes, while consumer beauty uses scalable carton formats. Cosmetic/personal care relevance: beauty, fragrances, skincare, cosmetics, and hair color are directly covered. Premium versus mass-market fit: strong evidence for splitting luxury and consumer tracks. Limitation/caution: solutions page, not technical board-spec page; pair with grade and recyclability sources.","Beauty Packaging — Graphic Packaging International — https://www.graphicpkg.com/markets/beauty/"
"S15-003","Graphic Packaging confirms SBS/bleached paperboard as a bright-white, high-print-performance board for high-end beauty and personal care cartons, with strong converting performance for die-cutting, foil stamping, embossing, folding, and gluing.","Material or technology route covered: solid bleached sulfate/bleached paperboard. Carton/secondary-pack format relevance: high-end folding cartons and branded outer packs. Weight/material reduction evidence: not a downgauging case; establishes why SBS remains common in premium beauty due to white shade, graphics, advanced finishing, and converting performance. Cosmetic/personal care relevance: beauty and personal care are explicit applications. Premium versus mass-market fit: premium/luxe incumbent board baseline against which lighter FBB alternatives should be tested. Limitation/caution: supports appearance/finish need, not automatic lightweighting suitability.","Bleached Paperboard — Graphic Packaging International — https://www.graphicpkg.com/packaging-materials/paperboard/bleached-paperboard/"
"S15-004","Holmen’s Invercote G shows how premium SBB/SBS boards are engineered for prestige cartons: ultra-smooth, triple-coated, high whiteness, and suitable for foil, film lamination, embossing, and aroma-sensitive products.","Material or technology route covered: premium SBB/SBS cartonboard. Carton/secondary-pack format relevance: prestige folding cartons for luxury cosmetics, fragrance, and high-end packs. Weight/material reduction evidence: used as heavier-feature baseline rather than lightweight route; shows why premium beauty often remains with coated SBB/SBS because the substrate supports sophisticated imagery, foil/film lamination, and sensory quality. Cosmetic/personal care relevance: prestige packaging and aroma-sensitive products are explicit. Premium versus mass-market fit: premium/luxe. Limitation/caution: film lamination and luxury finishes can raise material intensity and recyclability complexity if overused.","Invercote G Technical Data Sheet — Holmen Board & Paper — https://www.holmen.com/en/board-and-paper/products/paperboard/invercote/invercote-g/"
"S15-005","Stora Enso’s luxury-carton page reinforces that premium beauty and perfume cartons often prioritize tactile feel and demanding finishes, including velvet-like uncoated SBS, coated SBS, embossing, foil stamping, metallized foils, and high-end converting.","Material or technology route covered: luxury SBS boards, coated and uncoated. Carton/secondary-pack format relevance: premium folding cartons for beauty and fragrances. Weight/material reduction evidence: not a downgauging source; explains why lightweighting luxury cartons can be difficult because premium value is often built through white boards, coatings, velvet-touch surfaces, embossing, foils, and two-sided coatings. Cosmetic/personal care relevance: beauty, personal care, and perfumes are explicit. Premium versus mass-market fit: premium/luxe. Limitation/caution: use as filter for routes that may compromise premium haptics or decoration quality if downgauged aggressively.","Coated and uncoated carton boards for luxury packaging — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/folding-cartons/carton-boards-for-luxury-packaging"
"S15-006","Metsä Board explains FBB lightweighting through a three-layer structure: chemical pulp outer layers plus a BCTMP/high-yield middle layer that delivers high caliper, bulk, and stiffness at lower weight; beautycare is listed as a core end use.","Material or technology route covered: lightweight fresh-fibre folding boxboard. Carton/secondary-pack format relevance: cosmetic folding cartons. Weight/material reduction evidence: source states lightweight folding boxboards consume less raw material, reduce transport weight, and produce less waste; lower weight is tied to three-layer structure and high-yield pulp middle layer. Cosmetic/personal care relevance: beautycare is named. Premium versus mass-market fit: strong for both, especially where brands want premium printability without defaulting to heavier SBS. Limitation/caution: barrier-coated grades should only be used where barrier performance is actually required.","Folding boxboard — Metsä Board — https://www.metsagroup.com/metsaboard/explore-paperboard/paperboard-as-packaging-material/folding-boxboard/"
"S15-007","Holmen’s Incada Exel describes a fresh-fibre FBB with lightweight construction, high stiffness, low density, high-quality printing, varnishing, and high-speed conversion, making it a candidate premium-but-lighter alternative to heavier bleached boards.","Material or technology route covered: lightweight FBB. Carton/secondary-pack format relevance: quality folding cartons for cosmetics and high-end applications. Weight/material reduction evidence: low density plus high stiffness; described as lightweight and optimized for visual impact and conversion. Cosmetic/personal care relevance: Holmen’s Incada family is positioned for cosmetics, and Exel is its premium FBB member. Premium versus mass-market fit: strong where premium appearance is needed but full SBS/SBB may be over-specified. Limitation/caution: still a premium-grade board; check whiteness, finishing depth, and fragrance-carton expectations before substitution.","Incada Exel Technical Data Sheet — Holmen Board & Paper — https://www.holmen.com/en/board-and-paper/products/paperboard/incada/incada-exel/"
"S15-008","Stora Enso’s Performa family is positioned for premium folding cartons in beauty and personal care, with lightweight GC1/GC2 options; Performa Light is its lightest-weight GC2 grade, while Performa White and Nova offer high stiffness and reduced weight for fragrances, cosmetics, and personal care.","Material or technology route covered: high-bulk/high-stiffness lightweight FBB for premium cartons. Carton/secondary-pack format relevance: premium beauty, fragrance, and personal-care folding cartons. Weight/material reduction evidence: multilevel board structures provide higher strength and stiffness at lower weight; Performa Nova is described as engineered to carry more with less. Cosmetic/personal care relevance: beauty, personal care, fragrances, and cosmetics are named uses. Premium versus mass-market fit: premium route for preserving print and surface quality while reducing reliance on heavier SBS specifications. Limitation/caution: selection must be linked to actual decoration needs; heavy lamination or deep foil/embossing may limit one-for-one interchangeability.","Premium folding carton boards for packaging / Performa by Stora Enso — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/folding-cartons ; https://www.storaenso.com/en/products/paperboard-materials/folding-cartons/performa"
"S15-009","Stora Enso’s Tambrite is described as a packaging workhorse for everyday necessities, with high stiffness, material efficiency, and an ideal stiffness-to-weight ratio; a customer example reports a 33% basis-weight reduction when switching from recycled board to Tambrite.","Material or technology route covered: GC2 folding boxboard optimized for efficiency and runnability. Carton/secondary-pack format relevance: scalable cartons where cost, line performance, and adequate appearance matter more than prestige extremes. Weight/material reduction evidence: 33% lower basis weight versus a recycled-board baseline while improving visual characteristics and packing-line efficiency. Cosmetic/personal care relevance: direct beauty references are limited, but it is a strong analog for personal-care and mass-market secondary cartons. Premium versus mass-market fit: mass-market/consumer beauty and personal care. Limitation/caution: transfer to cosmetics should still check whiteness, tactile expectations, and premium visual standards.","Tambrite - Folding Cartons — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/folding-cartons/tambrite"
"S15-010","Graphic Packaging’s recycled paperboard page positions CRB as a lightweight sheet for most consumer-product folding cartons, with 100% recycled fiber, double-clay-coated print surfaces, and grades whose brightness/whiteness can compete with bleached paperboard.","Material or technology route covered: CRB/WLC recycled paperboard. Carton/secondary-pack format relevance: mass-market folding cartons and substitution where premium boards are over-specified. Weight/material reduction evidence: PaceSetter and Conquest CRB grades are described as lightweight sheets with print/performance benefits. Cosmetic/personal care relevance: wide consumer folding-carton use is relevant to personal care and accessible beauty. Premium versus mass-market fit: best for mass-market; selected grades may be useful where recycled content is desired without losing too much brightness/whiteness. Limitation/caution: check fragrance-carton purity, premium whiteness, embossing, and foil requirements before substituting premium board.","Recycled Paperboard — Graphic Packaging International — https://www.graphicpkg.com/packaging-materials/paperboard/recycled-paperboard/"
