Source code,Summary of what was found,Detailed description of what was found,Source name
"S06-001","EU cosmetics law requires cosmetic products to be safe under normal and reasonably foreseeable use; the Cosmetic Product Safety Report must include packaging-material purity and stability.","Compatibility or regulatory issue covered: overarching legal safety baseline for cosmetic packaging in the EU. Material/packaging relevance: any primary pack in direct contact with formula and container/packaging labeling. Product/formulation relevance: the CPSR must account for exposure scenarios, including foreseeable routes such as oral exposure for lip products and inhalation for sprays. Testing/compliance implication: lightweight materials cannot be recommended unless their purity, stability, and interaction profile can support CPSR sign-off. Use in screening: make CPSR-ready evidence on packaging purity/stability and foreseeable exposure a gate before material down-selection. Limitation: the regulation states obligations and information requirements but does not prescribe one universal compatibility test protocol.","Consolidated text: Regulation (EC) No 1223/2009 on cosmetic products — EUR-Lex — https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A02009R1223-20250901"
"S06-002","European Commission Annex I guidance states that formulation-packaging suitability studies should assess migration, storage-condition dependence, and sensitivity to light or air.","Compatibility or regulatory issue covered: migration from packaging to product, packaging suitability, and environmental sensitivity. Material/packaging relevance: all primary packaging in direct contact with cosmetics, especially materials with low-molecular-weight species, coatings, additives, recycled content, inks, adhesives, or barrier systems. Product/formulation relevance: formulas sensitive to light, oxygen, or air exposure need packaging that maintains safety and efficacy. Testing/compliance implication: compatibility programs should include migration-minded studies under relevant conditions. Use in screening: lightweight routes with coatings, recycled content, multilayers, inks, adhesives, or barriers should receive enhanced migration/suitability review. Limitation: guidance says there are no standard cosmetic-specific procedures, so product-specific judgment remains necessary.","Commission Implementing Decision 2013/674/EU on Guidelines on Annex I to Regulation (EC) No 1223/2009 — European Commission / EUR-Lex — https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?qid=1782650439082&uri=CELEX%3A32013D0674"
"S06-003","EU PPWR adds packaging-design constraints relevant to lightweighting: packaging must be minimized, recyclable at scale, meet recycled-content rules for plastic parts, and reduce empty space including in e-commerce packs.","Compatibility or regulatory issue covered: recyclability, minimization, recycled content, and empty-space rules. Material/packaging relevance: all packaging, especially plastic parts, e-commerce packs, transport packs, fillers, and non-recyclable composites. Product/formulation relevance: materials chosen for protection must still support product integrity while meeting recyclability and minimum-weight/volume rules. Testing/compliance implication: screening cannot consider only chemistry and performance; it must also assess recyclability at scale and whether fillers/secondary structures are necessary. Use in screening: add filters for minimum necessary weight/volume, design for recycling, recycled-content feasibility, and avoiding unnecessary empty space/fillers. Limitation: implementation details are being operationalized through methodologies and delegated/implementing acts, so company-specific compliance interpretation is still needed.","Regulation (EU) 2025/40 on packaging and packaging waste — EUR-Lex — https://eur-lex.europa.eu/eli/reg/2025/40/oj/eng"
"S06-004","FDA states cosmetics are adulterated if their container is made of a poisonous or deleterious substance that may render the contents injurious; packaging can also misbrand a cosmetic if misleading.","Compatibility or regulatory issue covered: packaging-related adulteration and misleading packaging under U.S. law. Material/packaging relevance: all cosmetic containers and closures sold in the U.S. Product/formulation relevance: any material that can leach harmful substances, contaminate product, or misrepresent contents creates regulatory exposure. Testing/compliance implication: U.S. screening should include toxicological review of packaging-contact materials and package integrity/fitness for purpose. Use in screening: treat any new lightweight resin, recycled-content route, decoration chemistry, or barrier system as a potential adulteration risk until safety is substantiated. Limitation: FDA sets legal responsibility on the company but does not prescribe one fixed premarket package-testing battery for cosmetics.","FDA Authority Over Cosmetics: How Cosmetics Are Not FDA-Approved, but Are FDA-Regulated — U.S. Food and Drug Administration — https://www.fda.gov/cosmetics/cosmetics-laws-regulations/fda-authority-over-cosmetics-how-cosmetics-are-not-fda-approved-are-fda-regulated"
"S06-005","FDA’s GMP inspection checklist covers facilities, equipment, finished and unfinished materials, containers, and labeling, framing GMP as a practical way to reduce adulteration and misbranding risk.","Compatibility or regulatory issue covered: manufacturing-control expectations affecting packaging cleanliness and contamination risk. Material/packaging relevance: packaging components, contact surfaces, containers, and labeling handled in manufacture/storage. Product/formulation relevance: contamination-sensitive products, microbiologically vulnerable products, and packaging exposed to unsuitable storage are higher risk. Testing/compliance implication: packaging screens should include supplier GMP maturity, cleanliness controls, storage conditions, and component handling, not only material properties. Use in screening: disqualify lightweight routes relying on immature conversion or handling likely to increase contamination, variability, or label/closure failure risk. Limitation: GMP guidance is an operations-control filter, not a chemistry filter.","Good Manufacturing Practice Guidelines/Inspection Checklist for Cosmetics — U.S. Food and Drug Administration — https://www.fda.gov/cosmetics/cosmetics-guidance-documents/good-manufacturing-practice-gmp-guidelinesinspection-checklist-cosmetics"
"S06-006","MoCRA requires FDA to establish cosmetic GMP regulations and requires responsible persons to maintain safety-substantiation records based on scientifically robust methods; FDA draft GMP guidance notes alignment work with ISO 22716.","Compatibility or regulatory issue covered: U.S. movement toward stronger GMP and documented safety substantiation. Material/packaging relevance: all packaging materials and dispensing systems used in U.S. cosmetics, especially where safety claims depend on packaging compatibility. Product/formulation relevance: eye-area products, long-wear systems, products with actives, solvents, or fragrances need stronger substantiation. Testing/compliance implication: companies should keep documentary evidence for compatibility, migration risk assessment, and pack performance as part of defensible safety substantiation. Use in screening: make documentable scientific substantiation mandatory before lightweight recommendations. Limitation: GMP rulemaking is evolving, so operational expectations may continue to develop.","Modernization of Cosmetics Regulation Act of 2022 / Draft Guidance for Industry: Cosmetic Good Manufacturing Practices — U.S. Food and Drug Administration — https://www.fda.gov/cosmetics/cosmetics-laws-regulations/modernization-cosmetics-regulation-act-2022-mocra ; https://www.fda.gov/regulatory-information/search-fda-guidance-documents/draft-guidance-industry-cosmetic-good-manufacturing-practices"
"S06-007","Cosmetics Europe’s stability guideline says stability testing should assure physical integrity, chemical stability, microbiological stability, and compatibility between contents and container.","Compatibility or regulatory issue covered: cosmetic stability and package-compatibility testing design. Material/packaging relevance: all primary packaging, including plastics, glass, aluminum tubes, labels, and closures. Product/formulation relevance: fragrance variants, volatile systems, emulsions, powders, and products exposed to temperature cycling or light. Testing/compliance implication: compatibility work should cover product appearance, odor, pH, viscosity, changes in the container, weight change, microbial performance, orientation testing, climatic/transport stress, barrier properties, label loss, cracking, and corrosion of internal lacquers in aluminum tubes. Use in screening: turn this into the minimum baseline test matrix for proposed lightweight materials. Limitation: guideline is principle-based and flexible; it does not give one mandatory schedule for all products.","Guidelines on Stability Testing of Cosmetic Products — Cosmetics Europe / CTFA — https://cosmeticseurope.eu/wp-content/uploads/2024/10/Guidelines_on_Stability_Testing_of_Cosmetics_CE-CTFA_-_2004.pdf"
"S06-008","CTPA states GMP is a legal requirement under UK/EU cosmetic rules, ISO 22716 provides a presumption of compliance, and changing to a different container can create compatibility and preservative-performance risk.","Compatibility or regulatory issue covered: GMP expectation, ISO 22716 role, and refill/container-change safety risks. Material/packaging relevance: all packaging systems, with special relevance to refills, alternate containers, and reuse models. Product/formulation relevance: products dependent on preservative efficacy and controlled headspace/contact conditions. Testing/compliance implication: if a lightweight route changes container, closure, headspace, or consumer refill behavior, compatibility and preservative performance should be revalidated rather than assumed transferable. Use in screening: include a same-formula-new-container-equals-new-compatibility-assessment rule, especially for refill and reuse concepts. Limitation: CTPA guidance does not replace full product-specific safety assessment.","Frequently Asked Questions — Cosmetic, Toiletry and Perfumery Association — https://www.ctpa.org.uk/faqs"
"S06-009","Intertek states cosmetic packaging testing is essential because harmful chemicals can be released from packaging into product; it highlights migration testing and substances such as phthalates, PAAs, PAHs, bisphenols, heavy metals, and NIAS.","Compatibility or regulatory issue covered: migration/extractables-style risks and chemical screening of packaging. Material/packaging relevance: plastics, recycled plastics, printed/decorated packs, laminated structures, and packs with additives or contaminants. Product/formulation relevance: solvent-rich, long-shelf-life, or leave-on formulations are especially sensitive to migration risk. Testing/compliance implication: lightweight candidates using PCR, novel additives, inks, adhesives, or multilayer structures should undergo targeted chemical-risk studies, not just visual stability. Use in screening: apply enhanced chemical package safety review for recycled-content plastics and complex converting stacks. Limitation: Intertek describes available testing approaches; exact protocols need tailoring to formula, contact conditions, and region.","Cosmetics Packaging Testing — Intertek — https://www.intertek.com/beauty-personal-care/cosmetics-packaging-testing/"
"S06-010","Intertek’s cosmetic stability-testing guidance says compatibility studies should use final packaging and may assess degradation, discoloration, leakage, loss of efficacy, microbiological integrity, package functionality, pump priming, dose delivery, locking resistance, opening force, adhesive strength, and drop tests.","Compatibility or regulatory issue covered: practical stability, leakage, dispensing, and pack-function testing for cosmetics. Material/packaging relevance: bottles, jars, pumps, airless packs, lipstick mechanisms, caps, and decorated/assembled packs. Product/formulation relevance: emulsions, alcohol-containing products, active formulas, pumps, airless systems, and transport-exposed packs. Testing/compliance implication: screening must include mechanical and user-function tests, not only chemistry; closures, pumps, and mechanisms can fail even when resin compatibility looks acceptable. Use in screening: define a separate performance gate for leakage, dispense accuracy, opening/actuation force, drop resistance, and distribution stress. Limitation: source describes a toolkit rather than pass/fail thresholds; brand-specific specs are required.","Cosmetic Stability Testing — Intertek — https://www.intertek.com/beauty-personal-care/cosmetic-stability-testing/"
"S06-011","Intertek links EU cosmetic-packaging assessment to Regulation 1223/2009 and stresses toxicological consideration of migration from packaging, including recycled materials and NIAS.","Compatibility or regulatory issue covered: toxicological review of packaging migration in EU cosmetics, including recycled-content packaging. Material/packaging relevance: recycled plastics, conventional plastics, and packaging with unknown or non-intentionally added substances. Product/formulation relevance: leave-on products, products with longer residence time in pack, and formulas likely to extract migrants. Testing/compliance implication: any PCR/rPCR route should be screened for origin, decontamination, NIAS, and migration, not just recycled-content percentage. Use in screening: create a special caution flag for recycled-content plastics intended for direct formula contact, especially for prestige skincare, sunscreens, and sensitive formulations. Limitation: service-oriented source; supports the need for testing but does not provide universal migration limits for cosmetics.","Regulatory & Safety Assessment of Cosmetic Packaging in Europe, Including Recycled Materials — Intertek — https://www.intertek.com/assuris/cosmetics/safety/regulatory-and-safety-assessment-of-cosmetic-packaging-eu/"
"S06-012","Berlin Packaging provides practical compatibility guidance for PET, HDPE, LDPE, and PP, while emphasizing that compatibility testing is the final determinant.","Compatibility or regulatory issue covered: base-level material selection for PET, HDPE, LDPE, and PP. Material/packaging relevance: rigid bottles, jars, tubes, and squeezable formats. Product/formulation relevance: shampoos, conditioners, lotions, acid/caustic systems, dried products, and products where solvent exposure matters. Testing/compliance implication: PET, PE, and PP are good lightweight candidates, but HDPE/LDPE should be screened against solvents, PP against cold-impact conditions, and PET against relevant handling caveats. Use in screening: treat commodity polyolefins and PET as baseline lightweight candidates, then eliminate based on solvent, temperature, and barrier needs. Limitation: Berlin gives relative guidance only and says compatibility testing remains decisive.","Plastic Resin & Quality Facts / About Plastic Resins for Packaging — Berlin Packaging — https://www.berlinpackaging.com/insights/plastic-resin-quality-facts/ ; https://www.berlinpackaging.com/about-plastic-resins/"
"S06-013","APC Packaging describes cosmetics-relevant materials and explains where PET, PETG/copolyesters, PMMA, SAN/AS, ABS, glass, and aluminum are typically used.","Compatibility or regulatory issue covered: beauty-packaging material-selection differences across premium and standard resin systems. Material/packaging relevance: PET, PETG/copolyesters, PMMA, SAN/AS, ABS, glass, and aluminum. Product/formulation relevance: clear packs, outer cosmetic shells, rigid luxury components, and applications where gloss/clarity or premium appearance matters. Testing/compliance implication: lightweight recommendations should distinguish between material in contact with formula and outer aesthetic shell, because PMMA and decorative premium materials may be external while another resin provides formula compatibility. Use in screening: separate structural/inner-contact material choice from premium outer-shell/aesthetic material choice. Limitation: high-level supplier guidance still needing formula-specific validation.","Packaging Materials for Cosmetic Containers — APC Packaging — https://apcpackaging.com/custom-services/materials/"
"S06-014","APC technical notes caution that PMMA is susceptible to strong acids, alcohols, and ethers despite its clarity and UV/weather resistance; ABS can discolor under UV unless protected.","Compatibility or regulatory issue covered: material-specific limitations that can undermine attractive lightweight premium plastics. Material/packaging relevance: PMMA/acrylic and ABS used in luxe caps, jars, overpacks, and cosmetic components. Product/formulation relevance: alcohol-containing formulas, acidic systems, outdoor/light-sensitive use cases, and packs with UV exposure. Testing/compliance implication: PMMA should be treated cautiously for alcohol-rich or chemically aggressive formulations, while ABS needs UV/color protection and should not be assumed inert in decorative applications. Use in screening: flag PMMA and ABS as premium-use-with-targeted-compatibility/aging-review rather than general drop-in lightweight substitutes. Limitation: guidance notes rather than statutory standards.","Types of Plastic to Use in Packaging Products / Polymethyl Methacrylate — APC Packaging Tech Center — https://techcenter.apcpackaging.com/lets-talk-plastic ; https://techcenter.apcpackaging.com/lets-talk-pmma"
"S06-015","Aptar shows dispensing systems need their own compatibility review: the GSA pump uses a metal-free pathway for compatibility across water-based and high-viscosity formulas and can be qualified for e-commerce/ISTA-6 with specific clips.","Compatibility or regulatory issue covered: pump-pathway chemistry, dispensing performance, and transport robustness. Material/packaging relevance: pumps, closures, mixed-material dispensers, PCR PP components, and e-commerce configurations. Product/formulation relevance: lotions, soaps, skincare, color cosmetics, and water-based or viscous formulas where metal contact can be problematic. Testing/compliance implication: lightweighting the bottle alone is insufficient; closure/pump pathway must be compatible, leak-resistant, and transit-capable. Use in screening: require separate assessment for dispensers, springs, seals, and contact-pathway materials, especially when switching to mono-material or PCR-heavy designs. Limitation: performance varies by container shape, size, and formula, which Aptar notes.","GSA Dispensing Pump with Metal-Free Pathway — Aptar Beauty — https://aptar.com/en-us/products/gsa-dispensing-pump-with-metal-free-pathway"
"S06-016","Quadpack’s Derma Airless example shows special formulas may require specific inner-contact materials: the refillable system uses a PP inner layer for optimal compatibility and medium- to high-viscosity formulations.","Compatibility or regulatory issue covered: inner-layer material selection in airless/refillable systems. Material/packaging relevance: airless packs, refill systems, and multi-component packs with distinct inner and outer layers. Product/formulation relevance: higher-viscosity skincare and dermocosmetic-style formulas requiring protected dispensing. Testing/compliance implication: compatibility must be assessed at the internal contact layer, not inferred from the outer pack material. Use in screening: in luxe and refillable concepts, document which layer contacts formula and screen that layer first; outer materials are secondary. Limitation: product-specific example rather than universal rule, but strong evidence that contact layer and show layer may differ materially.","Derma Airless — Quadpack — https://catalogue.quadpack.com/product/14174916/derma-airless"
"S06-017","Mondi’s functional barrier paper range shows paper solutions can be engineered for moisture, water-vapor, grease, and oxygen-barrier needs, but those functions depend on coatings and tailored structures rather than plain paper.","Compatibility or regulatory issue covered: barrier dependence of paper-based flexible packaging. Material/packaging relevance: barrier-coated paper, sealed papers, and paper structures proposed as substitutes for multilayer plastics or aluminum-based structures. Product/formulation relevance: non-food and personal-care applications needing moisture, grease, oxygen, or vapor protection. Testing/compliance implication: paper-based lightweight routes should not be recommended for wet, oily, aromatic, or oxygen-sensitive formulas unless barrier chemistry, sealability, and line performance are validated. Use in screening: classify plain paper/fiber as non-contact or dry-product friendly by default and only advance coated/barrier-engineered paper for demanding formulations. Limitation: supplier product-family information; suitability depends on specific barrier grade and construction.","Functional Barrier Papers — Mondi Group — https://www.mondigroup.com/products-and-solutions/flexible-packaging/functional-barrier-papers/"
"S06-018","Stora Enso reinforces that fiber-based packs need barrier technologies for demanding contents, including humidity control, sealing, airtightness, light protection, oxygen/aroma barrier, heat resistance, and grease proofing.","Compatibility or regulatory issue covered: dependence of paperboard on barrier coatings for demanding product protection. Material/packaging relevance: barrier-coated paperboards, paper-based trays, tubs, and fiber formats considered for cosmetics or personal care. Product/formulation relevance: products vulnerable to moisture, oxygen, aroma loss, grease penetration, or leakage. Testing/compliance implication: barrier-coated paperboard must be screened for protection performance and coating/recycling implications; switching from plastic to fiber is not chemistry-neutral. Use in screening: fiber-based lightweight routes require an explicit barrier map covering moisture, oxygen, grease, light, seal, and recyclability trade-offs. Limitation: source is oriented to pack performance rather than cosmetic toxicology, so chemical compatibility with specific formulations needs separate review.","Barrier Boards — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/barrier-boards"
"S06-019","Huhtamaki shows both opportunity and caution for molded fiber: it offers rigidity, cushioning, shock absorbency, and recyclability, but molded fiber is moisture absorbent and higher-performance smooth molded fiber may need stronger barriers.","Compatibility or regulatory issue covered: performance envelope and limitation of molded fiber. Material/packaging relevance: molded pulp/fiber inserts, trays, protectors, and potentially smooth molded fiber components. Product/formulation relevance: secondary/tertiary packaging, fragile packs, and transit protection; not inherently suited for direct contact with wet/oily formulas without barrier design. Testing/compliance implication: molded fiber is a strong replacement for plastic inserts and protective components, but direct-contact or wet-use proposals need barrier validation and contamination/odor review. Use in screening: treat molded fiber as preferred for non-contact inserts and protective parts but caution for direct-contact, humid, or oil-exposed use. Limitation: supplier examples are strongest for transport/protective use.","Why choose molded fiber? / Huhtamaki Fiber Solutions – The Future Redesigned — Huhtamaki — https://www.huhtamaki.com/en-za/fiber-packaging/sustainability/why-choose-molded-fiber/ ; https://www.huhtamaki.com/en/highlights/sustainability/the-future-is-fiber/"
