Source code,Summary of what was found,Detailed description of what was found,Source name
"S07-001","FedEx states parcel charges are based on the greater of dimensional weight or actual weight, so material weight reduction alone does not always reduce parcel cost.","Logistics issue covered: actual weight versus dimensional weight in parcel shipping. Packaging/material relevance: any beauty shipper, mailer, carton, or e-commerce outer pack. Actual versus dimensional relevance: FedEx defines dimensional weight as the space a package occupies relative to actual weight and says billing is based on whichever is greater. Cost/emissions/damage implication: a lighter package may not reduce parcel spend if the pack still bills on dimensional weight. Use in lightweighting evaluation: apply this as a screening rule before claiming freight savings from lighter materials; determine whether each SKU is actual-weight-billed or dimensional-weight-billed. Limitation: carrier-specific parcel logic, not a universal all-mode freight rule.","What is Dimensional Weight? — FedEx — https://www.fedex.com/en-us/shipping/packaging/what-is-dimensional-weight.html"
"S07-002","DHL eCommerce says parcel chargeable weight is based on the greater of total actual weight and total dimensional weight.","Logistics issue covered: parcel/e-commerce chargeable weight. Packaging/material relevance: cosmetics and personal care mailers, cartons, and tertiary packaging used in D2C shipping. Actual versus dimensional relevance: DHL instructs shippers to calculate dimensional weight from package dimensions and compare it to actual weight; invoice charges are based on the greater value. Cost/emissions/damage implication: lighter materials can reduce shipping cost only when actual weight remains the billing driver or when material changes affect pack density enough to change chargeable weight. Use in lightweighting evaluation: treat parcel SKUs as separate from pallet freight and avoid assuming every gram saved converts into carrier savings. Limitation: formula and divisor are carrier-program-specific.","Chargeable Shipping Weight and Cost — DHL eCommerce — https://www.dhl.com/us-en/home/ecommerce/business-help-center/chargeable-weight.html"
"S07-003","DHL Global Forwarding shows chargeable weight differs by mode: air uses volumetric conversion, ocean LCL uses volume, rail uses another density ratio, and road varies by carrier/location.","Logistics issue covered: multimodal freight charging logic. Packaging/material relevance: international cosmetics supply chains moving components, finished goods, and e-commerce replenishment by air, ocean, rail, or road. Actual versus dimensional relevance: DHL lists volumetric-weight formulas for air, ocean LCL, and rail, and notes road can vary case by case. Cost/emissions/damage implication: material-based lightweighting has the clearest shipping-cost benefit where freight is weight-constrained; where freight is cube/volume-priced, logistics benefits may depend more on density/loading efficiency than grams alone. Use in lightweighting evaluation: test each packaging route against its real transport mode and billing basis before monetizing savings. Limitation: formulas are directional education guidance, not negotiated customer tariffs.","Calculating Chargeable Weight by Air, Ocean, Road and Rail — DHL Global Forwarding — https://www.dhl.com/in-en/home/global-forwarding/freight-forwarding-education-center/calculating-chargeable-weights.html"
"S07-004","ISTA guidance says sustainable packaging should aim for optimum protection with minimum packaging and describes a reduce-to-damage approach.","Logistics issue covered: trade-off between reducing packaging and preserving distribution performance. Packaging/material relevance: primary, secondary, and tertiary packs for fragile beauty items such as glass bottles, droppers, and premium sets. Actual versus dimensional relevance: not a billing source, but essential for interpreting whether weight reduction is economically safe. Cost/emissions/damage implication: reducing packaging without validating protection can raise damage, returns, and replacement freight. Use in lightweighting evaluation: use this as a methodological principle for material-downgauge or material-substitution recommendations. Limitation: testing philosophy source, not product-category-specific pass/fail thresholds for cosmetics.","Guidelines for Selecting and Using ISTA Test Procedures — International Safe Transit Association — https://ista.org/docs/ISTA_2017_Guidelines.pdf"
"S07-005","ISTA says 3-Series and retailer/carrier-specific 6-Series tests simulate transport hazards across parcel, LTL, truckload, retail, and e-commerce systems.","Logistics issue covered: protective-packaging performance under real distribution hazards. Packaging/material relevance: lighter corrugated shippers, inserts, trays, paper void fill, air pillows, and alternative protective formats for beauty products. Actual versus dimensional relevance: indirect; testing determines whether lighter material solutions remain viable through parcel and retail distribution even if they reduce weight. Cost/emissions/damage implication: logistics economics must include hazard exposure and damage probability, not only freight weight. Use in lightweighting evaluation: require transport-test evidence for fragile or premium cosmetic packs, especially those moving through parcel or e-commerce channels. Limitation: ISTA describes test families and use cases, but detailed protocols may require separate access.","Test Procedures — International Safe Transit Association — https://ista.org/test_procedures.php"
"S07-006","Amazon’s Ships in Product Packaging program can reduce added packaging and fulfillment fees but requires product testing; fragile, liquid, or sharp items may need ISTA 6 lab testing.","Logistics issue covered: e-commerce fulfillment cost, packaging minimization, and protection validation. Packaging/material relevance: beauty e-commerce products including liquids, breakables, and premium presentation packs. Actual versus dimensional relevance: not a carrier-rate page, but links packaging design to fulfillment cost and truck reduction. Cost/emissions/damage implication: eliminating added packaging can reduce fulfillment costs and carbon footprint, but testing is mandatory for higher-risk products. Use in lightweighting evaluation: e-commerce-ready packs must pass channel-specific performance tests before logistics savings are counted. Limitation: Amazon fulfillment program, not a universal retail standard.","Ships in Product Packaging — Amazon — https://sell.amazon.com/programs/custom-packaging"
"S07-007","Pregis states damaged products can cost retailers millions, and a single return can incur hundreds of dollars when all functions are counted.","Logistics issue covered: hidden cost of damage and returns. Packaging/material relevance: fragile cosmetics, glass bottles, gift sets, and e-commerce parcel shipments where under-protection can negate material savings. Actual versus dimensional relevance: indirect; freight savings cannot be evaluated separately from damage economics. Cost/emissions/damage implication: if lighter materials reduce protective performance, replacement shipments, reverse logistics, labor, and lost sales can overwhelm packaging-weight savings. Use in lightweighting evaluation: assess lightweighting options on total delivered-cost risk, not only pack material cost or freight cost. Limitation: supplier-published directional figures rather than category-specific cosmetics benchmarks.","How Damaged Product Impacts Your Profitability — Pregis — https://www.pregis.com/globalassets/white-papers-and-case-studies/2019---updated/white-paper-6-part-analysis-damaged-product-impact-2019.pdf"
"S07-008","NRF and Appriss reported $743 billion of merchandise returned in 2023, providing context for the scale of returns as a retail cost burden.","Logistics issue covered: retail returns as a cost burden. Packaging/material relevance: beauty e-commerce because packaging-related damage contributes to the broader returns cost environment. Actual versus dimensional relevance: none directly; contextual evidence only. Cost/emissions/damage implication: returns create additional handling, processing, transport, and loss costs. Use in lightweighting evaluation: background evidence for why avoiding avoidable damage-related returns matters; pair with damage-specific sources rather than using alone. Limitation: not all returns are packaging damage and the article focuses partly on return fraud.","NRF and Appriss Retail Report: $743 Billion in Merchandise Returned in 2023 — National Retail Federation — https://nrf.com/media-center/press-releases/nrf-and-appriss-retail-report-743-billion-merchandise-returned-2023"
"S07-009","DHL says lightweight materials can lower shipping costs and sustainable packaging can reduce product damage, warehouse clutter, shipping weights, and long-term logistics costs.","Logistics issue covered: business case linking packaging choices to shipping cost, space use, and damage. Packaging/material relevance: paper, recycled-content, reusable, and minimalist tertiary/e-commerce formats. Actual versus dimensional relevance: DHL notes lighter materials reduce shipping costs while also linking savings to shipping volume and operational efficiency, reinforcing that weight is only one part of transport economics. Cost/emissions/damage implication: lighter materials can reduce fees and emissions, but protection and scalability still need validation. Use in lightweighting evaluation: general logistics-sector support that packaging-weight reductions can matter commercially. Limitation: high-level guidance rather than SKU-level cost modeling.","Sustainable Packaging: 8 Examples & Solutions for You — DHL — https://www.dhl.com/discover/en-global/logistics-advice/sustainability-and-green-logistics/sustainable-packaging-in-logistics"
"S07-010","Mondi states lighter, well-protected e-commerce packaging using recycled and fresh paper can reduce waste and last-mile carbon emissions.","Logistics issue covered: last-mile transport efficiency and emissions. Packaging/material relevance: beauty e-commerce shippers, paper mailers, corrugated packs, and fresh-fibre/recycled-fibre paper solutions. Actual versus dimensional relevance: the source mixes lighter and more compact packs; for this report only the material-weight portion should be carried forward. Cost/emissions/damage implication: lighter paper-based transport packaging can reduce emissions, but Mondi ties this to adequate strength and protection rather than weight reduction alone. Use in lightweighting evaluation: use for paper-based tertiary packaging routes while separating valid material-downgauge options from out-of-scope size redesign. Limitation: statement mixes weight and compactness.","The last mile in eCommerce — Mondi — https://www.mondigroup.com/news-and-insight/2024/the-last-mile-unpacked-driving-ecommerce-with-sustainable-packaging/"
