Source code,Summary of what was found,Detailed description of what was found,Source name
"S20-001","Pregis frames packaging decisions around total cost of ownership rather than material purchase price alone.","Decision factor covered: cost/commercial scoring logic. Packaging route relevance: applies across all lightweighting routes because a packaging TCO approach should optimize costs across materials, labor, operations, and supply chain using data-driven analysis. Cost implication: supports a cost per functional pack lens instead of raw resin or board price/kg. Cosmetic relevance: beauty lightweighting concepts should include material grams, labor, conversion, warehousing, and freight effects. How to use in the matrix: make raw material cost only one sub-factor inside a broader commercial score. Limitation: supplier-authored TCO framing, so use as decision logic rather than a quantified cross-market benchmark.","Maximize Efficiency with Total Cost of Ownership Insights — Pregis — https://www.pregis.com/knowledge-hub/total-cost-of-ownership-unlocking-hidden-savings-with-packaging/"
"S20-002","Pregis shows that under-protective packaging creates hidden costs through freight, replacement product, customer-service labor, and warehouse rework.","Decision factor covered: damage/return-risk gate. Packaging route relevance: especially relevant when evaluating downgauging, lighter refills, thinner tubes, lighter shippers, or lower-mass inserts. Cost implication: even when a lightweight route saves pack grams, damage can erase savings because cost buckets include return freight, replacement product, customer-service labor, and warehouse labor. Cosmetic relevance: fragile beauty packs, pumps, and leak-prone liquids should not advance without protection assurance. How to use in the matrix: include a hard or heavily weighted penalty for routes that increase breakage, leakage, scuffing, or reship risk. Limitation: qualitative rather than quantified by format.","Impact of Damaged Goods on Profitability & Brand Image — Pregis — https://www.pregis.com/knowledge-hub/putting-a-dent-in-profitability-the-real-impact-of-ineffective-packaging-and-damaged-products/"
"S20-003","ISTA’s 3-Series protocols simulate the damage-producing motions, forces, and conditions of transport environments.","Decision factor covered: performance-risk and validation gate. Packaging route relevance: necessary for lighter primary packs, lighter secondary cartons, molded-fiber inserts, pouches, and e-commerce tertiary packs. Cost implication: routes should not be scored as implementation-ready unless they can pass appropriate transport simulation. Cosmetic relevance: useful for evaluating whether reduced-weight packs remain robust during parcel/distribution handling. How to use in the matrix: add a validation requirement that any route affecting pack robustness must pass relevant ISTA-based transit testing before move-forward-now status. Limitation: protocol source explains testing framework, not beauty-specific pass/fail data.","Test Procedures — International Safe Transit Association — https://ista.org/test_procedures.php"
"S20-004","The European Commission states that PPWR entered into force on 11 February 2025 and will generally apply from 12 August 2026.","Decision factor covered: regulatory/compliance hard gate. Packaging route relevance: all packaging routes sold into the EU. Cost implication: routes that are hard to recycle, overly complex, or poorly aligned with future packaging-waste rules carry compliance risk that should be treated as cost/risk, not optional sustainability benefit. Cosmetic relevance: beauty packs often use mixed materials, decorative elements, and complex dispensers that may face higher compliance scrutiny. How to use in the matrix: create a PPWR-readiness gate before commercial scoring for EU-facing portfolios. Limitation: regulatory overview page; route-specific interpretation still needs material-by-material design checks.","Packaging waste — European Commission — https://environment.ec.europa.eu/topics/waste-and-recycling/packaging-waste_en"
"S20-005","The EU Cosmetics Regulation states cosmetic products must be safe under normal or reasonably foreseeable conditions of use.","Decision factor covered: primary-pack safety and compatibility hard gate. Packaging route relevance: all primary-pack lightweighting routes including thin-wall plastics, PCR plastics, mono-material pouches, tubes, pumps, and barrier-paper concepts. Cost implication: any route requiring deeper toxicology, migration, or compatibility work should carry higher implementation cost and longer qualification timing. Cosmetic relevance: safety is non-negotiable for formulas containing oils, fragrances, alcohols, actives, and other challenging ingredients. How to use in the matrix: no primary-pack route should move into scoring unless it can plausibly meet product safety obligations. Limitation: regulation sets the legal principle; detailed testing methods must be sourced separately.","Regulation (EC) No 1223/2009 of the European Parliament and of the Council of 30 November 2009 on cosmetic products — European Union — https://health.ec.europa.eu/system/files/2016-11/cosmetic_1223_2009_regulation_en_0.pdf"
"S20-006","Intertek says cosmetic packaging testing is vital because packaging can release harmful substances into product.","Decision factor covered: compatibility/testing cost gate. Packaging route relevance: especially important for PCR plastics, new coatings, barrier papers, adhesives, inks, recycled inputs, and novel mono-material structures. Cost implication: routes that introduce packaging-interaction risk should carry extra test cost and longer qualification in the matrix. Cosmetic relevance: directly relevant to migration, leachables, and safety substantiation for primary packaging. How to use in the matrix: create a compatibility-risk multiplier or qualification-cost uplift for any route with higher extractables/leachables uncertainty. Limitation: service-provider source; explains why testing is needed but does not provide route-specific cost data.","Cosmetics Packaging Testing — Intertek — https://www.intertek.com/beauty-personal-care/cosmetics-packaging-testing/"
"S20-007","Intertek explains that stability and compatibility studies should use final marketed packaging where possible and may include compatibility, leak, pump, drop, and transport-related tests.","Decision factor covered: performance-risk scoring and approval-workload estimate. Packaging route relevance: primary packs, pumps, caps, tubes, pouches, and e-commerce-capable formats. Cost implication: testing workload can materially change route economics because compatibility studies, migration screening, climatic cycling, active-ingredient checks, leak testing, pump priming, dose delivery, cap opening force, thread integrity, and drop tests may be required. Cosmetic relevance: strongly relevant to formula-pack interaction and consumer-use performance. How to use in the matrix: score routes on expected qualification burden: low for near-drop-in substitutions, high for new materials or high-risk direct-contact systems. Limitation: testing menu is broad and indicative; actual program depends on formula and format.","Cosmetic Stability Testing — Intertek — https://www.intertek.com/beauty-personal-care/cosmetic-stability-testing/"
"S20-008","4evergreen’s 2026 design guideline says paper-based packs should still be tested for actual recyclability because behavior depends on constituents, integrated components, and final composition.","Decision factor covered: design-for-recycling hard gate for fiber-based routes. Packaging route relevance: paperboard cartons, barrier-coated paper, composite paper packs, molded-fiber solutions, and paper-based hybrids. Cost implication: decorative layers, coatings, laminates, windows, and multi-material elements can create compliance or qualification risk and should be inside the matrix. Cosmetic relevance: beauty secondary packs often use coatings, foils, tactile finishes, and inserts that complicate paper-stream recyclability. How to use in the matrix: require evidence of recyclability compatibility for final converted pack construction, not just base substrate. Limitation: 4evergreen notes parts of the guidance remain based on expert opinion and ongoing test development.","Circularity by Design Guideline for Paper-Based Packaging — 4evergreen — https://4evergreenforum.eu/wp-content/uploads/2026/02/4evergreen-Circularity-by-Design-Version-4-February-2026.pdf"
"S20-009","The 2026 APR–RecyClass cooperation report confirms foamed olefinic parts are compatible with HDPE and PP recycling, and EVA in closures is considered fully compatible with HDPE and PP recycling.","Decision factor covered: recyclability gate for lightweight plastics and closures. Packaging route relevance: foamed PP/PE components, lightweight closures, liners, and rigid polyolefin packs. Cost implication: supports some lightweighting routes that might otherwise be filtered out as non-recyclable, improving their score when the base pack is HDPE or PP. Cosmetic relevance: useful for lighter overcaps, trays, inserts, or closure subcomponents in polyolefin systems. How to use in the matrix: do not reject foamed olefinic routes automatically; classify them as conditional on stream and format compatibility. Limitation: compatibility is recycling-stream specific and does not remove product/function testing.","APR-RecyClass Cooperation Report — RecyClass / Association of Plastic Recyclers — https://recyclass.eu/wp-content/uploads/2026/05/APR-RecyClass-Cooperation-Report-May-2026_Final-version.pdf"
"S20-010","SABIC links thin-wall polypropylene packaging to shorter cycle times, higher productivity, top-load performance, and downgauging possibilities.","Decision factor covered: cost/commercial scoring for thin-wall plastics. Packaging route relevance: thin-wall PP packs, caps, closures, tubs, jars, and similar rigid plastic parts. Cost implication: good flow and fast crystallization are linked to shorter cycle times and higher productivity, while top-load performance supports stacking and can lower transport/storage costs. Cosmetic relevance: makes thin-wall PP a strong candidate for high-volume mass-market packs where small resin reductions scale materially. How to use in the matrix: give thin-wall polyolefin routes a high near-term economic score when technically compatible with formula and pack architecture. Limitation: supplier solution page, not pack-specific cosmetic case study.","Thin Wall Packaging & Pails — SABIC — https://www.sabic.com/en/industries/packaging/industrial/thin-wall-packaging-and-pails"
