Patent code,Summary of what was found,Detailed patent mapping,Source name
P05-001,Apple filed a recent family on variably compressed dry-molded fiber packaging with density-zoned regions in a unitary plant-fiber packaging component relevant to one-piece cosmetic inserts that combine localized stiffness with lower-density material-saving areas,Publication family: US20240359896A1. Assignee: Apple Inc. Priority year: 2023. Filing year: 2023. Publication year: 2024. Jurisdiction: US. Legal status: pending. Component: fiber packaging component / cushion / tray-like protective part. Material route: dry-molded plant-based cellulose fiber. Claimed invention: unitary body with high-compressed and low-compressed regions. Claim summary: abstract states high-compressed region and low-compressed region with the high-compressed region at least 2x the density of the low-compressed region. Problem solved: balances protection presentation recyclability and lower material burden versus polymer foams or overbuilt molded fiber. Cosmetic relevance: fragrance bottle nests skincare bottle cradles gift-set fitments and e-commerce inserts. Premium vs mass-market fit: both; premium one-piece engineered inserts and mass-market if tooling amortizes. Mapped topics: S16 S20 S03. IP risk: High patent density / FTO review recommended for engineered density zoning; brand-owned route / competitor caution. White space: beauty-specific surface finish color low-dust and fragrance-bottle retention geometries. Caution: electronics-led not beauty-led so transfer is by material logic,Variably compressed fiber packaging and dry molding fiber process — Google Patents — https://patents.google.com/patent/US20240359896A1/en
P05-002,Apple has a second family on cellulose-fiber foam compositions for packaging and cushioning with filled-volume foam-like fiber parts low density resiliency and re-pulpability sitting between molded pulp and petroleum foam,Publication family: EP4323583A1. Assignee: Apple Inc. Priority year: 2021. Filing year: 2022. Publication year: 2024. Jurisdiction: EP. Legal status: pending. Component: cushioning block tray and volumetric packaging component. Material route: cellulose-fiber foam using mechanical fiber plus chemical fiber plus bonding agent. Claimed invention: low-density energy-absorbing resilient cellulose-fiber foam packaging with disclosed densities below 40 / 35 / 25 kg per m3. Claim summary: foamed slurry cured into foamed fiber cellular structure that can be re-pulpable and replace petroleum foam parts. Problem solved: improves bulk cushioning and shock management beyond standard molded fiber. Cosmetic relevance: premium gift boxes fragrance inserts skincare device inserts and e-commerce cushions. Premium vs mass-market fit: strongest premium/luxe and fragile goods; potential mass if economics improve. Mapped topics: S16 S17 S19 S20. IP risk: High patent density / FTO review recommended for cellulose-fiber foam cushioning; brand-owned route / competitor caution. White space: beauty-specific cavity design anti-scuff surface treatment and carton-integrated hybrids. Caution: older priority included because publication is after 2022,Cellulose fiber foam compositions — Google Patents — https://patents.google.com/patent/EP4323583A1/en
P05-003,Pulpac has a recent family on high-density dry-molded fiber products with section-specific density control relevant to beauty inserts needing local reinforcement around necks corners pump areas or retention points without making the whole insert heavy,Publication family: SE547618C2 with PCT counterpart WO2025132688A1. Assignee: Pulpac AB. Priority year: 2023. Filing year: 2023. Publication year: 2025. Grant year: 2025 in Sweden. Jurisdiction: SE / WO. Legal status: Swedish publication shown and PCT pending in family data. Component: 3D dry-molded cellulose product with different density sections. Material route: dry-molded cellulose fiber. Claimed invention: product with first section below 1.20 g per cm3 average density and second section above 1.20 g per cm3 average density. Problem solved: adds strength retention or wear resistance only where needed instead of uniformly increasing basis weight. Cosmetic relevance: insert feet bottle collars edge protectors jar seats and snap-retention points. Premium vs mass-market fit: mass-market scale and premium inserts needing discrete hard points. Mapped topics: S16 S20 S03. IP risk: High patent density / FTO review recommended around local density engineering; supplier-owned route. White space: beauty retention geometries surface decoration and coated premium finishes. Caution: process/material-led not beauty-brand-led,Method for producing a cellulose high density dry moulded fibre product and a cellulose high density dry moulded fibre product — Google Patents — https://patents.google.com/patent/SE547618C2/en
P05-004,Pulpac has a recent family covering air-forming loose cellulose fibers directly onto a three-dimensional shaping element followed by pressing and heating into a compressed structure for complex 3D insert shapes without wet pulp drying,Publication family: WO2024199989A1 with SE547615C2 / EP4688371A1 family. Assignee: Pulpac AB. Priority year: 2023. Filing year: 2024. Publication year: 2024. Jurisdiction: WO / SE / EP. Legal status: PCT page shows ceased and national family status needs review. Component: 3D cellulose product / product forming unit. Material route: air-formed dry cellulose fiber then pressed and heated. Claimed invention: airflow arranges loose fibers on a 3D shaping element followed by pressing in mold at 1-600 MPa and 60-300 C. Problem solved: enables complex dry-molded 3D forms and potentially higher throughput than wet-molded pulp. Cosmetic relevance: precision inserts tray contours bottle and pump cradles. Premium vs mass-market fit: scalable secondary packaging and premium plastic-tray replacement. Mapped topics: S16 S20 S03. IP risk: Dominant assignee concentration / partnership or licensing may be needed; supplier-owned route. White space: post-form coating low-lint surfaces and premium presentation detailing. Caution: national phase analysis matters before relying on PCT status,Method for dry-forming cellulose products from cellulose fibres in a product forming unit and a product forming unit — Google Patents — https://patents.google.com/patent/WO2024199989A1/en
P05-005,Pulpac has a related process family focused on the product forming unit itself using a three-dimensional shaping structure that is pressed and heated with the fiber body to improve geometry and repeatability,Publication family: WO2024227560A1 with EP4705074A1. Assignee: Pulpac AB. Priority year: 2023. Filing year: 2024. Publication year: 2024 WO and 2026 EP. Jurisdiction: WO / EP. Legal status: PCT page ceased and EP pending. Component: 3D dry-molded cellulose product and forming unit. Material route: dry-formed cellulose fiber on shaping structure. Claimed invention: fiber transporting unit feeds loose fibers by air to a 3D shaping structure corresponding to pressing surface then presses/heats in mold. Problem solved: better manufacturability of complex 3D geometries and repeatability for molded-fiber protective parts. Cosmetic relevance: precision trays kit inserts fragile-bottle nests and refill-system support trays. Premium vs mass-market fit: mostly mass-market manufacturing enablement while supporting future premium inserts. Mapped topics: S16 S20. IP risk: Moderate to high patent density / monitor claims; supplier-owned route. White space: surface finish low-dust conversion and combined coating/printing operations. Caution: process-centric so risk depends on internal manufacture versus supplier buying,Method for dry-forming a cellulose product from cellulose fibres in a product forming unit and a product forming unit — Google Patents — https://patents.google.com/patent/WO2024227560A1/en
P05-006,Pulpac filed a recent family for a multi-layer cellulose product made from dry-formed cellulose fibers tissue layers and a plastic layer aimed at shaped cellulose products needing added barrier or smoother surface,Publication family: WO2024227672A1 with EP4705095A1. Assignee: Pulpac AB. Priority year: 2023. Filing year: 2024. Publication year: 2024 WO and 2026 EP. Jurisdiction: WO / EP. Legal status: PCT page ceased and EP pending. Component: multi-layer shaped cellulose product. Material route: dry-formed cellulose fiber layer plus tissue plus plastic layer plus second tissue layer. Claimed invention: heated pressing of multi-layer cellulose blank into 3D product. Claim summary: tissue layers and plastic layer arranged around dry-formed cellulose fibers create shaped product with improved liquid handling and surface performance. Problem solved: adds surface quality and liquid-handling to cellulose formed parts. Cosmetic relevance: coated/semi-barrier trays presentation trays outer-shell inserts and secondary packaging tolerating contamination/scuffing. Premium vs mass-market fit: premium trays where feel/finish matter; mass depends on cost and waste rules. Mapped topics: S16 S17 S20. IP risk: Moderate patent density / monitor claims; supplier-owned route. White space: plastic-minimized water-based coated variants and non-contact luxury insert applications. Caution: plastic layer complicates pure-fiber recycling narrative,A method for producing a cellulose product and a cellulose product — Google Patents — https://patents.google.com/patent/WO2024227672A1/en
P05-007,Blue Ocean Closures has a recent family on press molding a fiber product with integrated reinforcement formed from an excess blank portion relevant to thin-wall fiber parts needing local reinforcement,Publication family: SE547078C2 with PCT counterpart WO2024218093A1. Assignee: Blue Ocean Closures AB. Priority year: 2023. Filing year: 2023. Publication year: 2025. Grant year: 2025 in Sweden. Jurisdiction: SE / WO. Legal status: Swedish C2 publication shown. Component: press-molded fiber product with integrated reinforcing region. Material route: sheet-like natural fiber blank and high-pressure/high-temperature press molding. Claimed invention: excess portion of blank pushed into neighboring portion and integrated as reinforcing portion in final fiber product. Problem solved: higher stiffness retention and edge strength without uniformly thick sections. Cosmetic relevance: molded-fiber inserts clamshell-like trays hinged/lidded secondary components and gift-set fitments. Premium vs mass-market fit: mass-market first and premium if surface quality suffices. Mapped topics: S16 S20. IP risk: Moderate patent density / monitor claims; supplier-owned route. White space: beauty-specific socket design decorative embossing and carton-fiber hybrid assemblies. Caution: closure packaging is not identical to cosmetic inserts so relevance transfers by manufacturing logic,Press molding method of a fiber product and a fiber product — Google Patents — https://patents.google.com/patent/SE547078C2/en
P05-008,Intercontinental Great Brands filed a recent family on a barrier-forming system for dry-molded cellulose fiber structures explicitly listing beauty and cosmetic products as target uses,Publication family: WO2025226649A2. Assignee: Intercontinental Great Brands LLC. Priority year: 2024. Filing year: 2025. Publication year: 2025. Jurisdiction: WO. Legal status: pending. Component: dry-molded cellulose container/structure with barrier layer. Material route: dry-molded cellulose fiber plus thermoplastic sheet/film barrier conformed by heat vacuum and pressure. Claimed invention: support structure barrier material and force-generating mechanism bring heated thermoplastic barrier into conformity with dry-molded cellulose structure. Claim summary: barrier film can be heated pressure-formed vacuum-assisted adhered and thinned while conforming to the fiber structure. Problem solved: adds moisture/oxygen barrier and liquid compatibility to dry-molded fiber. Cosmetic relevance: direct because description lists beauty and cosmetic products and mentions tubs lids blister packs and trays. Premium vs mass-market fit: mass-market trays/tubs with barrier need and premium molded-fiber formats. Mapped topics: S16 S17 S20. IP risk: High patent density / FTO review recommended for barrier-on-dry-molded-fiber routes; brand/supplier competitor caution. White space: low-plastic coatings removable barriers and beauty-specific non-contact tray liners. Caution: improves function but may complicate mono-material recycling,Barrier forming system and method for dry molded structures — Google Patents — https://patents.google.com/patent/WO2025226649A2/en
P05-009,Stora Enso has a recent family on hot pressing solid cellulose foam into three-dimensional regions so foam planks/webs can become shaped cushioning parts competing with foam or bulky molded pulp inserts,Publication family: WO2024171125A1. Assignee: Stora Enso Oyj. Priority year: 2023. Filing year: 2024. Publication year: 2024. Jurisdiction: WO. Legal status: PCT page shows ceased. Component: solid cellulose foam packaging material with hot-pressed 3D regions. Material route: solid cellulose foam. Claimed invention: providing solid cellulose foam heating foam and/or tool and pressing a 3D region into the foam. Problem solved: low-weight cellulose foam gains custom geometry needed for protective inserts and bottle-holding contours. Cosmetic relevance: e-commerce protection gift-set inserts and fragile bottle protection where current solutions are EPS/EPE or large trays. Premium vs mass-market fit: protective secondary/tertiary in both segments; premium depends on surface finish. Mapped topics: S16 S20 S03. IP risk: Moderate patent density / monitor claims; supplier-owned route. White space: surface finishing anti-scuff coating and carton integration. Caution: national-phase follow-up important,Method of hot pressing a solid cellulose foam and a solid cellulose foam produced from said method — Google Patents — https://patents.google.com/patent/WO2024171125A1/en
P05-010,Stora Enso has a recent family on producing solid cellulose foam with cavities created by heat-transferring spikes during drying so the cavities tune cushioning airflow and weight,Publication family: SE2330291A1. Assignee: Stora Enso Oyj. Priority year: 2023. Filing year: 2023. Publication year: 2024. Jurisdiction: SE. Legal status: not clearly stated in retrieved lines. Component: solid cellulose foam with cavities. Material route: wet cellulose foam dried into solid cellulose foam. Claimed invention: heat-transferring spikes extend through wet foam to create partially dried support sections and final cavities. Problem solved: improves drying and creates low-weight structured foam instead of uniformly massive block. Cosmetic relevance: weight-controlled inserts shock-absorbing pads and lightweight protective pads for glass bottles or jars. Premium vs mass-market fit: mass-market logistics protection and premium e-commerce non-visible layers. Mapped topics: S16 S20. IP risk: Moderate patent density / monitor claims. White space: beauty-specific cavity patterns bottle-neck supports and printable top layers. Caution: not beauty-specific and surface feel may trail premium expectations,Method for producing a solid cellulose foam — Google Patents — https://patents.google.com/patent/SE2330291A1/en
