Source code,Summary of what was found,Detailed description of what was found,Source name
S01-001,"L’Oréal formally organizes its portfolio into Consumer Products, Luxe, Dermatological Beauty, and Professional Products, supporting premium/luxe and mass/consumer as distinct packaging-evaluation tracks.","The 2025 annual report lists Consumer Products and Luxe as separate divisions alongside Dermatological Beauty and Professional Products. This supports the report’s structure because one of the world’s largest beauty companies already uses organizational and financial segmentation that mirrors the proposed packaging framework. It supports making Premium/Luxe and Mass-Market/Consumer the primary material-evaluation tracks, while treating dermocosmetics and professional/salon as narrower secondary categories.",L’Oréal Annual Report 2025 — L’Oréal Finance — https://www.loreal-finance.com/en/annual-report-2025/
S01-002,"L’Oréal Luxe defines itself around luxury beauty, elevated services, emotions, and desirability, supporting the view that premium packaging materials serve symbolic and sensory value beyond protection.","The Luxe Division describes itself as a leader in luxury beauty and emphasizes unique luxury experiences, elevated services, emotions, desirability, and refill as part of redefined beauty rituals. This supports the report’s argument that premium/luxe packs are evaluated partly on emotional, tactile, and experiential performance; therefore, lightweighting in this tier must protect premium cues rather than optimize only for grams or cost.",L’Oréal Groupe: Luxe Division — L’Oréal Groupe — https://www.loreal.com/en/luxe-division/
S01-003,"L’Oréal Consumer Products emphasizes value for money, broad reach, operational scale, and sustainable mass beauty, supporting a distinct mass-market material-selection logic.","The Consumer Products Division states that it creates beauty for everyone, everywhere, every day, reaches more than one billion consumers, and remains committed to delivering best value for money. It also highlights refill formats such as L’Oréal Paris Elvive refill packs with plastic-saving claims. This supports the mass-market track because it ties the segment to scale, affordability, execution, and material reduction—priorities that typically favor lighter, lower-cost, recyclable, and easier-to-manufacture packaging systems.",Consumer Products Division — L’Oréal Groupe — https://www.loreal.com/en/consumer-products-division/
S01-004,"Coty separates Prestige and Consumer Beauty and explicitly contrasts prestige, mass fragrance, and mass cosmetics across a wide price range.","Coty’s press release discusses integrating Prestige Beauty and Mass Fragrance while separately reviewing Consumer Beauty, which includes mass cosmetics, mass skin, and personal care. Its financial reporting also separates Prestige and Consumer Beauty revenue pools and notes different pressures, including supply-chain cost issues particularly in Consumer Beauty. This supports the report because it shows that a major beauty player operates with explicit prestige-versus-consumer economics, channel logic, and portfolio expectations that should translate into different lightweight material criteria.",Coty Announces Plans to Bolster Its Leading Position in Fragrance and Launches a Strategic Review of Its Consumer Beauty Business; Coty Announces Third Quarter Fiscal Year 2026 Results — Coty — https://www.coty.com/news/coty-announces-plans-to-bolster-its-leading-position-in-fragrance-and-launches-a-strategic-review-of-its-consumer-beauty-business ; https://www.coty.com/news/coty-announces-third-quarter-fiscal-year-2026-results
S01-005,"Circana tracks prestige and mass beauty as separate retail markets with different scale and pricing profiles, validating brand tier as an industry-standard segmentation.","Circana reports U.S. prestige beauty and mass beauty as separate retail markets with different sales scale and average-selling-price dynamics. This validates the use of prestige/mass segmentation for packaging-material analysis. It also implies different pack economics: prestige can absorb more material cost and sensory investment, while mass-market operates at larger scale where small unit-level packaging changes can create larger cost and logistics consequences.",US Prestige & Mass Beauty Retail Performance 2025 — Circana — https://www.circana.com/post/us-prestige-and-mass-beauty-retail-deliver-a-positive-performance-in-2025-circana-reports
S01-006,"Circana describes mass beauty as driven by accessible price points and efficacy, while prestige is driven by innovation, elevated formats, and experiential appeal; it also identifies masstige as a bridge segment.","Circana’s analysis says mass beauty gains momentum as consumers seek high-performing products at accessible price points, while prestige is defined by innovation, elevated formats, and experiential appeal. It also states that masstige skincare brands offer premium benefits at mass prices. This source is useful because it directly frames the consumer logic behind packaging divergence: mass packs need to signal value and performance efficiently, whereas prestige packs rely more on format elevation and experience. It also supports mentioning masstige as a secondary category without displacing the premium-versus-mass core structure.",U.S. Beauty Market Trends: Consumers Seeking Affordable Alternatives — Circana — https://www.circana.com/post/us-beauty-consumers-are-driven-by-value-based-purchase-behavior
S01-007,"McKinsey provides a beauty price-tier ladder including mass, masstige, entry prestige, prestige, and luxury, supporting a two-track report with middle tiers acknowledged.","McKinsey states that mass beauty is the largest price tier and identifies masstige, entry prestige, prestige, and luxury as higher-price tiers. This is strong evidence for the segmentation logic because it provides an external, recognized tier framework. It supports keeping the report broad enough to mention masstige and entry prestige, but focused enough to consolidate the analysis into two main packaging-material tracks: Premium/Luxe and Mass-Market/Consumer.",The Beauty Industry Boom: Can Growth Be Maintained? — McKinsey & Company — https://www.mckinsey.com/industries/consumer-packaged-goods/our-insights/the-beauty-boom-and-beyond-can-the-industry-maintain-its-growth
S01-008,"McKinsey illustrates how premium packaging can become over-engineered through high-end boxes and nonrecyclable inserts before the consumer reaches the primary pack.","McKinsey’s packaging article uses a premium-packaging example involving a high-end box and disposable materials such as cellophane or foam before the consumer reaches the bottle. This supports the report’s argument that premium beauty often carries extra secondary-packaging and presentation layers, which can add weight and material complexity for experiential reasons. It explains why premium/luxe lightweighting must preserve unboxing and symbolic cues while reducing unnecessary material burden.",Packaging: A Key Performance and Value Driver — McKinsey & Company — https://www.mckinsey.com/capabilities/operations/our-insights/packaging-the-underrated-performance-and-value-driver
S01-009,"Shiseido distinguishes Prestige from Premium and also lists Inner Beauty and Life Quality Beauty, supporting secondary category overlays around the premium-versus-mass split.","Shiseido defines Prestige as high-end, high-added-value cosmetics and fragrances sold mainly through department stores and specialized cosmetic stores, while Premium is defined as mid-priced cosmetics sold mainly in drugstores and general merchandise stores. It also lists Inner Beauty and Life Quality Beauty. This provides a clean source-backed taxonomy for the middle ground between prestige and mass and for adjacent categories that may need to be acknowledged in the report. It supports using prestige/luxe and consumer/mass as the primary tracks while treating premium/masstige-like and special-needs categories as secondary variants.",BRANDS — Shiseido Company — https://corp.shiseido.com/en/brands/
S01-010,"L’Oréal Dermatological Beauty provides a source-backed example of dermocosmetics as a distinct but secondary category focused on skin health, efficacy, and professional trust.","L’Oréal says Dermatological Beauty sits at the crossroads of beauty and health, is a dermocosmetic market leader, and serves needs ranging from skin pathologies to aesthetics. It also mentions accessible refill solutions. This supports the report because dermocosmetics can have different formulation-protection and trust cues than mainstream beauty, but they do not need to displace the two main tracks. They can be treated as an overlay focused on efficacy, safety, and clinical credibility.",Dermatological Beauty Division — L’Oréal Groupe — https://www.loreal.com/en/dermatological-beauty-division/
