Source code,Summary of what was found,Detailed description of what was found,Source name
"S16-001","GPA Global explains core molded-pulp process routes for beauty packaging: dry press, semi-wet press, and wet-press/thermoformed fiber. Wet-pressed fiber is the main premium/luxe route because it can achieve a smoother, more plastic-like finish and can be used for interior cushioning, liner trays, and exterior secondary packs.","Material/technology route covered: molded pulp process families for cosmetic packaging. Packaging relevance: interior cushioning, liner trays, and exterior/secondary packaging for cosmetics are listed. Weight/material/plastic-reduction relevance: molded pulp is positioned as a replacement for heavier multi-material plastic-led inserts, with trimmed waste recycled back into the pulp stream. Premium versus mass-market fit: wet press/thermoforming is positioned for premium/luxe due to smoother finish; 100% OCC/corrugated-cardboard fiber is suitable for less refined, recycled appearance in mass-market or transport-led packs. Protection, surface, coating, recyclability limitation notes: soft-touch coatings, film laminates, flocking, embossing, and hot foil can improve appearance but may affect recyclability. Use in screening: separate premium wet-pressed fiber from lower-cost dry/semi-wet fiber and flag decoration/coating upgrades as conditional.","Our guide to moulded pulp packaging — GPA Global — https://www.gpaglobal.net/sustainability/our-guide-moulded-pulp-packaging-luxury-cosmetics/"
"S16-002","Nissha’s ecosense molding portfolio shows molded-fiber technologies are already positioned for cosmetics, with complex/precise shapes, product protection, cushioning, and light weight. It introduces routes including lightweight foamed pulp, pulp-injection, water-reduced fiber-forming, molded pulp with cosmetic appearance, and paper-pressing as a plastic blister substitute.","Material/technology route covered: Pulp Series, PaperFoam/foamed pulp, Pulp-Injection, Fiber-Forming, Pulp-Molding, and Paper-Pressing. Packaging relevance: cosmetics, pharmaceuticals, electronics, and consumer goods are named, supporting transfer to cosmetic inserts, trays, and presentation parts. Weight/material/plastic-reduction relevance: PaperFoam is described as lightweight, soft, and cushioned; Paper-Pressing is positioned as a substitute for plastic blister packaging; Fiber-Forming reduces water use in molding. Premium versus mass-market fit: Pulp-Molding and Pulp-Injection support premium/detail-sensitive beauty uses because of cosmetic appearance, precision, rigidity, and accurate engagement; foamed pulp supports lower-cost protective applications. Limitation/caution: no quantified transit-test data, so drop and compression testing remain required before recommendation.","Sustainable Molded Products — Nissha Co., Ltd. — https://www.nissha.com/english/products/allproducts/ecosense/molding.html"
"S16-003","Nissha’s Pulp-Injection route is a higher-precision formed-pulp technology for premium applications. It enables intricate geometry, thin walls, undercuts, thickness deviation, high precision, and premium surface quality, and is suited to cosmetic trays needing functionality, rigidity, and premium finish.","Material/technology route covered: injection-molded paper/pulp, or Pulp-Injection. Packaging relevance: cosmetics packaging trays are explicitly named; relevant where a cosmetic insert or tray needs tighter tolerances than conventional molded pulp. Weight/material/plastic-reduction relevance: thin walls and higher geometric precision can support material-efficient fiber inserts versus thicker molded pulp or plastic trays. Premium versus mass-market fit: primarily premium/luxe trays, gift-set fitments, and precise retention parts rather than low-cost mass e-commerce dunnage. Direct-contact limitation notes: mainly pulp and starch and recyclable/biodegradable, but no moisture/barrier evidence for oily or wet cosmetic direct contact. Use in screening: keep as secondary/tertiary non-contact premium tray route unless contact suitability is separately proven.","Pulp-Injection – Biodegradable, Recyclable Injection Molded Paper / Pulp — Nissha ecosense molding — https://connect.nissha.com/ecosense/molding/en/pi-biodegradable/"
"S16-004","PulPac argues Dry Molded Fiber is relevant to beauty because it can support premium finishes, textures, embossing, and debossing while offering high-speed, low-cost production with close to zero material waste. It explicitly mentions inserts, gift boxing, refill systems, and lightweighting-related uses for beauty packaging.","Material/technology route covered: Dry Molded Fiber for beauty packaging. Packaging relevance: inserts, gift boxing, refill systems, and high-end consumer packaging. Weight/material/plastic-reduction relevance: plastic-replacement route for paper-based solutions with close to zero material waste. Premium versus mass-market fit: useful for premium/luxe because premium finishes and textures are discussed; also commercially relevant for scale because high-speed and low-cost production are emphasized. Barrier and direct-contact caution: replacing plastic in beauty is difficult because product chemistries require different functional barriers and aesthetics/scalability are demanding. Use in screening: prioritize non-contact inserts and protective/presentation parts unless barrier needs are specifically solved.","Sustainability doesn’t have to compromise beauty — PulPac — https://www.pulpac.com/story/sustainability-should-be-beautiful/"
"S16-005","PulPac’s product platform provides scalability evidence for Dry Molded Fiber: large-volume, cost-efficient packaging, example output/cycle-time data, 99% material usage, and the ability to integrate labels, undercuts, hinges, and patterns without additional production steps.","Material/technology route covered: scalable Dry Molded Fiber production. Packaging relevance: trays are listed as standard applications, with bespoke premium products and large-volume standardized applications both discussed. Weight/material/plastic-reduction evidence: 99% material usage and up to 80% CO2-emission reduction depending on the current solution; supports molded fiber as a credible candidate where plastic trays or inserts are used. Premium versus mass-market fit: covers both bespoke premium and validated large-volume runs. Limitation/caution: PulPac notes there are limits to what products the technology can currently be used for. Use in screening: assess component by component rather than assuming universal applicability across all cosmetic packs.","Products in Dry Molded Fiber — PulPac — https://www.pulpac.com/products/"
"S16-006","PulPac’s coffee-lid barrier article shows why direct-contact molded fiber needs caution. Water- and oil-sensitive applications need a barrier, and the example uses a thin barrier sheet laminated into fiber during forming; traditional plastic films can be hard to recycle, creating a trade-off between performance and fiber-stream compatibility.","Material/technology route covered: dry molded fiber with water/oil barrier layer. Packaging relevance: foodservice example, but directly transferable to cosmetics where oils, waxes, balms, serums, or wet products could contact fiber. Weight/material/plastic-reduction relevance: supports molded fiber as a plastic-replacement route while showing barrier additions can add material and affect recyclability. Premium versus mass-market fit: mainly a technical screen for both segments. Direct-contact and barrier limitation notes: water/oil resistance requires a barrier substrate, so barrier-treated fiber should be conditional rather than default. Use in screening: molded fiber is easier for non-contact inserts/tertiary protection than wet or oily direct-contact cosmetic parts.","Fiber-based alternative to plastic coffee lids — PulPac — https://www.pulpac.com/news/pulpac-and-hsmg-presents-fiber-based-alternative-that-makes-plastic-coffee-lids-obsolete/"
"S16-007","James Cropper’s COLOURFORM shows thermoformed molded fiber positioned as a plastic-free, mono-material luxury-packaging platform rather than rough transport material. It is described as bespoke, high-quality molded-fiber packaging for luxury applications.","Material/technology route covered: thermoformed molded fiber for luxury packaging. Packaging relevance: cosmetic wraps, inserts, tops, bases, and outer packaging where packaging must communicate brand value. Weight/material/plastic-reduction relevance: supports replacing multi-material luxury presentation elements with mono-material molded fiber. Premium versus mass-market fit: clearly premium/luxe, useful for prestige fragrance, skincare, and gift packaging. Limitation/caution: bespoke and luxury-led; do not assume it is the lowest-cost route for mass-market SKUs. Use in screening: keep as premium molded-fiber route where presentation quality matters.","Colourform — James Cropper Paper & Packaging — https://paperandpackaging.jamescropper.com/paper-types/colourform/"
"S16-008","James Cropper’s Lancôme case provides direct beauty evidence: a luxury fragrance wrap made from mono-material molded pulp and stated to be recyclable with paper. It proves molded fiber can be applied in prestige beauty packaging, not only transport packs.","Material/technology route covered: mono-material molded-fiber fragrance wrap. Packaging relevance: premium fragrance, perfume presentation, and secondary packaging. Weight/material/plastic-reduction relevance: supports replacing conventional premium presentation materials with fiber while keeping a sculpted package form. Premium versus mass-market fit: premium/luxe benchmark for fragrance and gifting; shows molded fiber can move beyond hidden inserts into visible brand-facing packaging. Limitation/caution: demonstrates aesthetic feasibility but not protective-test or cost data. Use in screening: proof of aesthetic viability for premium molded fiber, with additional protection and commercial validation still needed.","The Lancôme La Vie Est Belle, Domaine de la Rose Story — James Cropper Paper & Packaging — https://paperandpackaging.jamescropper.com/journal/lancome/"
"S16-009","PulpWorks shows molded fiber is commercially viable across personal care and can be produced as custom trays, inserts, and clamshell replacements using dry-press and thermoforming, multiple raw materials, and order quantities from 25,000 to hundreds of millions. It distinguishes bagasse as food-contact safe and smooth-looking, while PCR paper is lower cost but best for secondary packaging.","Material/technology route covered: molded-fiber trays, inserts, clamshell replacements; dry-pressing and thermoforming; bagasse, bamboo, cotton/textile fiber, and PCR paper. Packaging relevance: personal care is named, supporting cosmetic trays, inserts, and protective components. Weight/material/plastic-reduction relevance: business case is replacing traditional plastic packaging with fiber components at commercial scale. Premium versus mass-market fit: bagasse supports premium because it offers smooth, sleek appearance; PCR paper supports mass-market secondary/tertiary applications because it is lower cost. Direct-contact limitation notes: PCR paper is not food-contact safe, a proxy warning against direct-contact cosmetic applications unless separately proven. Use in screening: strongest for non-contact inserts and protective parts.","Packaging Solutions — PulpWorks — https://pulpworksinc.com/services/"
"S16-010","UFP Technologies bridges traditional molded pulp and higher-aesthetic beauty packaging. Its health-and-beauty source says after-pressed trays, clamshells, and inserts made from 100% recycled molded pulp can achieve smoother surfaces, closer tolerances, color, and embossed logos, but color beyond base gray generally makes sense only for very high volumes.","Material/technology route covered: after-pressed molded pulp for retail and health & beauty. Packaging relevance: trays, clamshells, and inserts for cosmetics/health and beauty. Weight/material/plastic-reduction relevance: substitute for plastic and foam interior packaging. Premium versus mass-market fit: smoother two-sided finish and closer tolerances support premium or shelf-visible secondary packaging; color economics favor very high-volume projects. Surface/color limitation notes: aesthetic improvement is possible, but cost and scale constraints apply for colored/decorated fiber parts. Use in screening: suitable for better-looking molded-fiber inserts, with color/decor constraints validated early.","Molded Fiber’s Green Packaging: Sustainability Merges with Packaging for the Retail and Health & Beauty Markets — UFP Technologies — https://ufpt.com/news/molded-fibers-green-packaging-sustainability-merges-with-packaging-for-the-retail-and-health-beauty-markets/"
