Source code,Summary of what was found,Detailed description of what was found,Source name
"S08-001","Sidel’s X-LITE Still shows industrialized ultra-lightweight PET in food and beverage: a 500 ml bottle weighing 6.5 g, with resin and energy savings versus a 12 g bottle.","Material/technology route covered: ultra-lightweight PET bottle design for non-pressurized beverages. Food/beverage use case: 500 ml still-water bottle. Possible cosmetic/personal care transfer: mass-market low-viscosity formats such as travel-size shampoo, body wash, micellar water, or refillable liquid-care bottles where PET is acceptable. Weight/material reduction relevance: 6.5 g versus 12 g directly evidences resin reduction potential. Premium versus mass-market fit: strongest for mass-market/value channels, not luxe. Compatibility/limitation notes: beverage-specific and does not prove suitability for oils, high alcohol, fragrances, pumps, or aggressive actives. Use in screening: keep as a top benchmark for rigid lightweight PET where cosmetic compatibility and handling requirements do not force thicker walls or complex dispensing systems.","X-LITE Packaging Solution — Sidel — https://www.sidel.com/en/services/x-lite-still/"
"S08-002","ALPLA states plastic packaging weight has been reduced by an average of 25% since 1991 in Western Europe and reports a 1.5 L PET bottle reduced by 38% to 25 g.","Material/technology route covered: lightweight PET bottles at scale. Food/beverage use case: beverage bottles including a 1.5 L PET bottle reduced to 25 g. Possible cosmetic/personal care transfer: shampoo, conditioner, body wash, and personal-care bottles where PET clarity and blow-molding infrastructure already exist. Weight/material reduction relevance: quantified large-scale bottle-weight reduction and long-term industry trend. Premium versus mass-market fit: primarily mass-market; selected premium clear bottles possible where PET aesthetics are acceptable. Compatibility/limitation notes: does not address pumps, droppers, thick formulas, alcohol, or fragrance loss. Use in screening: use as evidence that lightweight PET is mature and scalable but requires formula, top-load, and closure-system screening.","Beverage Packaging Solutions End-to-End — ALPLA — https://www.alpla.com/en/markets/beverages"
"S08-003","ALPLA reports Coca-Cola India launched a packaged drinking water bottle made from 100% recycled PET, supporting rPET as a mature route with circularity relevance.","Material/technology route covered: 100% rPET bottle. Food/beverage use case: packaged drinking water in India. Possible cosmetic/personal care transfer: clear or lightly tinted personal-care bottles where recycled content and PET’s lower mass versus glass are desirable. Weight/material reduction relevance: does not give bottle grams but confirms full-rPET food-contact bottle commercialization. Premium versus mass-market fit: strongest for mass-market, with some premium use if appearance requirements are met. Compatibility/limitation notes: evidence of recycled-content readiness, not direct cosmetics compatibility or luxury appearance; beauty use needs color, odor, clarity, and scuff-resistance checks. Use in screening: keep rPET as a serious candidate wherever virgin PET is acceptable, especially mass-market personal care.","ALPLA supports Coca-Cola in launching India’s first 100% recycled PET Bottle for packaged drinking water — ALPLA Blog — https://blog.alpla.com/en/blog/products-innovation/alpla-supports-coca-cola-launching-indias-first-100-recycled-pet-bottle"
"S08-004","Berry’s thin-wall dairy cups are injection molded in 100% PP and described as lightweight and durable, proving thin-wall PP as a food lightweighting route.","Material/technology route covered: thin-wall polypropylene containers. Food/beverage use case: dairy cups for cottage cheese, fresh mozzarella, and yogurt. Possible cosmetic/personal care transfer: cream jars, balms, mask tubs, refill pods, and lightweight tubs for mass beauty/personal care. Weight/material reduction relevance: thin-wall format reduces material through downgauging, aligned with material-based lightweighting scope. Premium versus mass-market fit: strongest for mass-market skincare and personal-care tubs; limited luxe use unless decoration or overpack elevates feel. Compatibility/limitation notes: does not prove performance with fragrant, oily, solvent-bearing, or active-rich formulas. Use in screening: keep thin-wall PP as a priority route for commodity jars/tubs and refill inserts where premium heft is not required.","Berry offers the latest in PP cups — Berry Global via Amcor Packaging Solutions — https://packagingsolutions.amcor.com/en/news/articles/berry-offers-the-latest-in-pp-cups"
"S08-005","Berry reports a tethered-cap collaboration with Coca-Cola Bottling Company United achieved a 10% closure weight reduction and made the overall pack around 20% lighter than the previous finish.","Material/technology route covered: lightweight beverage closure. Food/beverage use case: tethered cap for beverage bottles. Possible cosmetic/personal care transfer: lightweight disc-tops, flip-tops, screw caps, and non-dispensing closures for personal care. Weight/material reduction relevance: quantifies closure-level and full-pack reduction, important because closures are often overlooked in beauty lightweighting. Premium versus mass-market fit: strongest for mass-market high-volume bottles where small gram savings scale quickly. Compatibility/limitation notes: beverage closures are mechanically simpler than pumps, droppers, airless systems, or prestige actuators. Use in screening: create a standalone closure-lightweighting workstream rather than focusing only on container bodies.","Tethered Cap for Coca Cola Bottling Company United — Berry Global via Amcor Packaging Solutions — https://packagingsolutions.amcor.com/en/news/articles/14276-berry-cocacola-collaborate-to-implement-tethered-c"
"S08-006","Amcor’s AmPrima PE Plus coffee pack is a mono-material PE structure with high-barrier performance, line speeds comparable to non-recyclable materials, and up to 38% lower carbon footprint than standard packs.","Material/technology route covered: mono-material PE high-barrier flexible pouch. Food/beverage use case: coffee packaging. Possible cosmetic/personal care transfer: refill pouches, sachets, and low-profile flexible packs for shampoos, body wash, soaps, or powdered beauty products. Weight/material reduction relevance: replaces heavier rigid formats or harder-to-recycle multi-material laminates with a lighter mono-material structure. Premium versus mass-market fit: best for mass-market refills; selective premium use where soft-pack convenience is acceptable. Compatibility/limitation notes: coffee aroma/moisture barrier does not automatically prove suitability for oils, alcohols, fragrances, or active skincare. Use in screening: advance mono-PE as a leading lightweight route but segment cosmetics by formulation aggressiveness before extrapolating food-pack performance.","AmPrima Recycle Ready Packaging Solutions for coffee — Amcor — https://www.amcor.com/sustainability/products/amprima/afla/coffee"
"S08-007","Amcor’s Stonyfield pouch moved refrigerated yogurt from a multi-laminate structure to an all-PE film with a spout while removing metallized/foil layers and retaining heat resistance, barrier, hermetic seals, and premium graphics.","Material/technology route covered: all-PE spouted pouch. Food/beverage use case: refrigerated yogurt pouch. Possible cosmetic/personal care transfer: shampoo, baby care, body wash, cleanser, and liquid-soap refills or direct-use spouted packs. Weight/material reduction relevance: replacing multi-laminate structures with all-PE preserves pouch-level lightweighting and improves recyclability directionally. Premium versus mass-market fit: strongest for mass-market and family-size refills; some premium opportunity for modern refill systems. Compatibility/limitation notes: proves barrier, sealing, and production validation for yogurt, not direct compatibility with essential oils, alcohol-rich products, or aggressive surfactants. Use in screening: place all-PE spouted pouches near the top of the shortlist for refill-led beauty routes, subject to formula and fitment testing.","Amcor collaborates to launch first all-PE spouted pouch — Amcor — https://www.amcor.com/media/news/amcor-stonyfield-cpna-spouted-pouch"
"S08-008","Mondi says BarrierPack Recyclable is a fully recyclable all-PE high-barrier laminate that is lighter than PET/PE laminates of the same thickness, runs on existing lines, and is offered for food, pet food, home and personal care.","Material/technology route covered: all-PE high-barrier flexible laminate/pouch. Food/beverage use case: confectionery and food. Possible cosmetic/personal care transfer: refill pouches, stand-up pouches, shaped pouches, and flexible packs for home/personal care. Weight/material reduction relevance: source states the structure is lighter than PET/PE laminates of the same thickness. Premium versus mass-market fit: attractive for mass-market refills and scalable FMCG formats; limited premium use where soft packs are acceptable. Compatibility/limitation notes: barrier and line compatibility are supported, but beauty formulas still require chemical compatibility, odor, and stress-testing work. Use in screening: treat as one of the strongest transferable routes because the supplier explicitly spans food through home/personal care.","Mondi’s BarrierPack Recyclable helps consumer goods brands advance their circular economy goals — Mondi Group — https://www.mondigroup.com/news-and-insight/2020/mondis-barrierpack-recyclable-helps-consumer-goods-brands-advance-their-circular-economy-goals/"
"S08-009","Amcor’s home and personal care page shows the AmPrima PE Plus family already positioned for personal care, with up to 54% lower carbon footprint than standard packs plus high clarity/transparency for shelf appeal.","Material/technology route covered: mono-PE recycle-ready flexible pouch for home and personal care. Food/beverage use case: cross-over proof from food-style mono-PE flexible platforms into personal care. Possible cosmetic/personal care transfer: body wash, shampoo, soap, personal-care refills, and flexible refill formats. Weight/material reduction relevance: characterizes pouches as lightweight and easy to carry/store. Premium versus mass-market fit: clearest for mass-market; selected premium brands could use it where refill systems matter more than rigid heft. Compatibility/limitation notes: does not prove suitability for all beauty categories such as prestige skincare with high sensory expectations or solvent-sensitive formulas. Use in screening: evidence that mono-PE flexible routes have already moved from food-style technology platforms into personal care at scale.","AmPrima Recycle-Ready Packaging for home and personal care — Amcor — https://www.amcor.com/sustainability/products/amprima/afla/home-and-personal-care"
"S08-010","Tetra Pak says a paper-based barrier can replace the aluminum-foil layer in aseptic cartons while maintaining comparable food protection and shelf life; one example reached 87% renewable content and 26% package carbon-footprint reduction.","Material/technology route covered: paper-based barrier in carton packaging replacing aluminum foil. Food/beverage use case: aseptic soy-milk carton on high-speed filling equipment. Possible cosmetic/personal care transfer: niche opportunities in refill cartons, low-viscosity liquid refills, or paper-barrier workstreams. Weight/material reduction relevance: simplifies material structure directionally and cuts package footprint in the cited example. Premium versus mass-market fit: more realistic for mass-market refill concepts than premium main packs. Compatibility/limitation notes: complex barrier structure built for aseptic liquid food and specialized filling systems; not a near-term mainstream replacement for bottles, jars, or pump packs. Use in screening: keep on the longlist for refill/carton concepts, but filter out early for most mainstream cosmetic primary packaging.","Tetra Pak extends paper-based barrier packaging to high-speed lines in Asia — Tetra Pak — https://www.tetrapak.com/en-in/about-tetra-pak/news-and-events/newsarchive/tetra-pak-extends-paper-based-barrier-to-high-speed-lines"
