Patent code,Summary of what was found,Detailed patent mapping,Source name
P03-001,Toppan has a recent PCT filing on a spouted packaging bag made from mono-material laminated film and directly relevant to same-material pouch plus fitment refill strategies,Publication family: WO2024162182A1; Assignee: Toppan Holdings Inc; Priority year: 2023; Filing year: 2024; Publication year: 2024; Jurisdiction: WIPO/PCT; Legal status: Google Patents shows ceased as indicative only; Component: spouted pouch or packaging bag; Material route: mono-material laminated film around spout interface; Claimed invention: spouted packaging bag and production method using laminated film; Claim direction: bag-spout welded structure and sealant-layer construction for spouted bag from mono-material film; Problem solved: spouted pouch route without conventional mixed-material laminates; Cosmetic relevance: shampoo body wash liquid soap lotion refills and reusable rigid-container refills; Premium vs mass-market fit: strongest mass-market but can support premium refill ecosystems if appearance and fitment feel are upgraded; Mapped topics: S13 S18 S20; IP risk: High patent density and FTO review recommended plus supplier-owned route; White space: cosmetics-specific aggressive-formula and fragrance-sensitive pouch systems; Caution: legal status not definitive,Spouted packaging bag and method of producing spouted packaging bag — Google Patents — https://patents.google.com/patent/WO2024162182A1/en
P03-002,Fujimori Kogyo and Zacros have a recent PCT application on a spout and packaging container using polyethylene-focused construction showing activity around pouch-spout compatibility,Publication family: WO2024177064A1; Assignee: Fujimori Kogyo Co Ltd and Zacros Corp; Priority year: 2023; Filing year: 2024; Publication year: 2024; Jurisdiction: WIPO/PCT; Legal status: Google Patents shows ceased as indicative only; Component: spout and packaging container; Material route: polyethylene-related spout and pouch/container system; Claimed invention: spout and packaging container architecture around resin compatibility at spout-container interface; Claim direction: PE spout structure and packaging container using resin engineering at sealing/welding interface; Problem solved: better spout attachment and pouch integrity while supporting recyclable polyolefin structures; Cosmetic relevance: refill pouches for body wash shampoo hand wash or lotion; Premium vs mass-market fit: strongest mass-market refill packs; Mapped topics: S13 S18 S20; IP risk: Moderate patent density and supplier-owned route; White space: beauty-specific low-migration or fragrance-preserving spout systems; Caution: packaging-general rather than beauty-specific,Spout and packaging container — Google Patents — https://patents.google.com/patent/WO2024177064A1/en
P03-003,Hosokawa Yoko has a recent European publication on gas-barrier packaging-bag laminate and spout-equipped pouch showing activity around barrier-capable refill pouches,Publication family: EP4461534A1; Assignee: Hosokawa Yoko KK; Priority year: 2022; Filing year: 2023; Publication year: 2024; Jurisdiction: EPO; Legal status: pending; Component: packaging-bag laminate and spout bag; Material route: gas-barrier film laminate; Claimed invention: laminate and pouch structure for spout-equipped flexible packaging with barrier performance; Claim direction: gas-barrier laminate and pouch arrangement for spouted bags; Problem solved: barrier performance while enabling spouted pouch functionality; Cosmetic relevance: fragranced liquids and oxygen-sensitive personal-care products where mono-PE may be insufficient; Premium vs mass-market fit: conditional premium and technical refill packs; Mapped topics: S13 S18 S20; IP risk: Moderate patent density and recent filing caution; White space: low-odor fragrance-retention and aggressive-formula refill variants; Caution: included due to post-2022 publication despite 2022 priority,Packaging bag laminate and spout packaging bag — Google Patents — https://patents.google.com/patent/EP4461534A1/en
P03-004,P&G has a recent European filing titled recyclable package for disposable wipes showing brand-owned claims around recyclable wipe-pack structures adjacent to beauty wipes and sheet-mask packaging,Publication family: EP4353619A1; Assignee: The Procter & Gamble Company; Priority year: 2022; Filing year: not fully shown; Publication year: 2024; Jurisdiction: EPO; Component: recyclable wipe package; Material route: recyclable package architecture for disposable wipes; Claimed invention: recyclable package for disposable wipes; Claim direction: recyclable wipe-pack platform in citation trail for wipe-dispensing flexible packs; Problem solved: replacing conventional non-recyclable wipe packs while retaining dispensing performance; Cosmetic relevance: personal-care wipes makeup-remover wipes cleansing wipes and sheet-mask or wipe-like beauty formats; Premium vs mass-market fit: strongest mass-market wipes; Mapped topics: S13 S18 S20; IP risk: Brand-owned route and monitor claims; White space: mono-material beauty-wipe packs with lotion compatibility and premium aesthetics; Caution: claim summary is directional because source was not fully opened,Recyclable package for disposable wipes — Google Patents — https://patents.google.com/patent/EP4353619A1/en
P03-005,Huhtamaki has a PCT filing on a flexible film composition usable in stick packs pouches standing pouches and flow-packs for recycle-ready beauty sachets and refills,Publication family: WO2023144834A1; Assignee: Huhtamaki India Ltd; Priority year: 2022; Filing year: 2022; Publication year: 2023; Jurisdiction: WIPO/PCT; Legal status: Google Patents shows ceased as indicative only; Component: film composition for pouches standing pouches stick packs and flow-packs; Material route: mono-material or recycle-oriented flexible film composition; Claimed invention: film composition for multiple flexible packaging applications; Claim direction: format-spanning film composition; Problem solved: broader pouch and flow-wrap performance from recyclable/simplified construction; Cosmetic relevance: sachets sample packs refill pouches and wet-wipe overwraps; Premium vs mass-market fit: strongest mass-market; Mapped topics: S13 S20; IP risk: Supplier-owned route and monitor claims; White space: cosmetic sealing aroma retention oil resistance and alcohol resistance; Caution: included due to post-2022 publication despite 2022 priority,A film composition — Google Patents — https://patents.google.com/patent/WO2023144834A1/en
P03-006,Dow has an MDO-sealable-structures family targeting low seal-initiation temperature and workable sealing windows for recyclable PE laminates,Publication family: WO2023028432A1 / EP4392248A1; Assignee: Dow Global Technologies LLC; Priority year: 2021; Filing year: 2022; Publication year: 2023 WO and 2024 EP; Jurisdiction: WIPO/EPO and national phases; Legal status: EP pending; Component: multilayer sealable films for flexible packaging; Material route: MDO film with metal layer plus PE-based first layer and PE sealant layer; Claimed invention: machine-direction-oriented multilayer structure improving sealability while retaining barrier-film benefits; Claim direction: MDO multilayer film with PE sealant having heat-seal initiation temperature of 95 degrees C or less; Problem solved: poor sealing performance limiting MDO recyclable structures; Cosmetic relevance: enabling platform for mono-PE refill pouches and sachets; Premium vs mass-market fit: high-transfer mass-market route; Mapped topics: S13 S20; IP risk: High patent density and possible partnership or licensing; White space: beauty-specific barrier and seal systems for fragrance alcohol and actives; Caution: included due to post-2022 publication despite older priority,Machine direction oriented MDO sealable structures — Google Patents — https://patents.google.com/patent/EP4392248A1/en
P03-007,Dow has a companion family on MDO multilayer films with metallized/barrier functionality and PE-based sealant architecture reinforcing the active MDO barrier-film cluster,Publication family: WO2023027987A1; Assignee: Dow Global Technologies LLC; Priority year: 2021; Filing year: 2022; Publication year: 2023; Jurisdiction: WIPO/PCT; Legal status: Google Patents shows ceased as indicative only; Component: multilayer packaging structures; Material route: MDO multilayer film with metal layer EVOH/PVOH or PE-interpolymer layer acid-functional first layer and PE sealant; Claimed invention: multilayer structures using MDO multilayer film plus sealant architecture; Problem solved: barrier plus sealability in recyclable-oriented laminates; Cosmetic relevance: refill pouches where barrier and machinability matter; Premium vs mass-market fit: strongest mass-market pouches and sachets; Mapped topics: S13 S20; IP risk: High patent density and supplier-owned route; White space: application-level beauty pouch dispense systems; Caution: older-priority family with post-2022 publication,Multilayer structures that include machine direction oriented multilayer films — Google Patents — https://patents.google.com/patent/WO2023027987A1/en
P03-008,TotalEnergies has a recent BOPE film family aimed at making biaxially oriented polyethylene workable for recyclable flexible packaging,Publication family: WO2023139201A1; Assignee: TotalEnergies Onetech SAS; Priority year: 2022; Filing year: 2023; Publication year: 2023; Jurisdiction: WIPO/PCT; Legal status: Google Patents shows ceased as indicative only; Component: oriented PE film; Material route: BOPE or biaxially oriented PE; Claimed invention: PE resin composition and process for producing BOPE film for flexible packaging; Claim direction: BOPE processability and stretch-window improvement; Problem solved: recycling problem from mixed polymers and BOPE processability barriers; Cosmetic relevance: indirect enabler for mono-PE refill pouches flow-wraps and sachets; Premium vs mass-market fit: mass-market; Mapped topics: S13 S20; IP risk: Moderate patent density and material-owner route; White space: beauty-specific laminate recipes built on BOPE; Caution: film-platform patent not beauty-pack patent,Biaxially-oriented polyethylene film and method of production — Google Patents — https://patents.google.com/patent/WO2023139201A1/en
P03-009,Toppan has a gas-barrier multilayer-body family stating packaging material can reach 90 percent or more polyolefin content and realize mono-material packaging,Publication family: EP4234235A1 / US20230257172A1 plus 2025 US grant; Assignee: Toppan Inc / Toppan Holdings Inc; Priority year: 2020; Filing year: 2021 PCT and 2023 US national phase; Publication year: 2023 EP/US; Grant year: 2025 US; Jurisdiction: EP US WO; Legal status: EP pending and US active/granted; Component: gas-barrier laminate and packaging material; Material route: gas-barrier laminate plus sealant with high polyolefin fraction; Claimed invention: barrier laminate maintaining processability and enabling mono-material-oriented packaging through high polyolefin content; Claim direction: 90 mass percent or 95 mass percent polyolefin when substrate and sealant are polyolefin; Problem solved: barrier performance with recyclable polyolefin content; Cosmetic relevance: barrier-demanding refill or sample packs; Premium vs mass-market fit: mass-market and travel/sample formats; Mapped topics: S13 S20; IP risk: High patent density and possible partnership/licensing; White space: cosmetics-specific fragranced or alcohol-rich barrier packs need separate analysis; Caution: older-priority family included due to post-2022 publication/grant,Gas barrier multilayer body and packaging material — Google Patents — https://patents.google.com/patent/EP4234235A1/en
P03-010,Toppan has a newer Japanese family on retort-resistant gas-barrier laminates and packaging bags with mono-material-like polyolefin content,Publication family: JP2024007336A; Assignee: Toppan Holdings Inc; Priority year: 2022; Filing year: 2023; Publication year: 2024; Jurisdiction: Japan; Legal status: pending; Component: gas-barrier laminate and packaging bag; Material route: barrier-coated or vapor-deposited polyolefin laminate with adhesive and sealant layers; Claimed invention: gas-barrier laminate and packaging bag maintaining barrier after retort; Claim direction: barrier layer sealant layer adhesive layer plus thermal and hardness parameters and 90 percent or more polyolefin content; Problem solved: barrier loss after heat/retort exposure; Cosmetic relevance: hot-fill or harsh-process flexibles and barrier durability after thermal history; Premium vs mass-market fit: technical conditional route; Mapped topics: S13 S20; IP risk: High patent density and recent filing caution; White space: high-fragrance or essential-oil cosmetic pouches may remain less occupied; Caution: litigation flag in Google Patents metadata should be independently verified,Gas barrier laminates and packaging bags — Google Patents — https://patents.google.com/patent/JP2024007336A/en
