Source code,Summary of what was found,Detailed description of what was found,Source name
"S05-001","Petainer gives a practical density benchmark for PET and PP: PET about 1.38 g/cm³ and PP about 0.90 g/cm³, linking those values to packaging behavior.","Material covered: PET and PP. Density data found: PET ~1.38 g/cm³ and PP ~0.90 g/cm³. Unit: g/cm³. Packaging format relevance: useful for clear bottles, jars, and closures where PET is chosen for clarity/barrier and PP for lighter-weight rigid parts. This supports lightweighting evaluation by showing why PP is intrinsically lighter than PET for the same solid volume, while PET remains attractive when clarity and barrier matter. Limitation: directional comparison from a packaging explainer rather than a full resin-family datasheet.","What is PET Plastic? Engineering and Safety Guide — Petainer — https://www.petainer.com/insights/materials-sustainability/what-is-pet-plastic"
"S05-002","SpecialChem provides quantified density ranges for several packaging-relevant plastics: HDPE 0.940–0.970 g/cm³, LDPE 0.917–0.940 g/cm³, and ABS 1.020–1.210 g/cm³.","Material covered: HDPE, LDPE, ABS, plus general plastics density methodology. Density data found: HDPE 0.940–0.970 g/cm³; LDPE 0.917–0.940 g/cm³; ABS 1.020–1.210 g/cm³. Unit: g/cm³. Packaging format relevance: HDPE/LDPE are core bottle, tube, closure, and film materials in personal care; ABS is relevant for prestige caps, overcaps, and decorative components. This supports lightweighting evaluation by identifying polyethylene grades as intrinsically low-density candidates and showing ABS as a denser, more premium/decorative plastic that can add mass when used in thick-wall caps or shells. Limitation: cross-industry rather than cosmetics-specific, so actual pack weight still depends on wall thickness, part geometry, and multi-material assemblies.","Density of Plastics Material: Technical Properties Table — SpecialChem — https://www.specialchem.com/plastics/guide/density"
"S05-003","Eastman’s TDS for Eastar copolyester 6763 gives a PETG/copolyester density point of 1.27 g/cm³, placing PETG above PP/PE in density while remaining attractive for clarity and rigid packaging.","Material covered: PETG / copolyester. Density data found: 1.27 g/cm³; specific gravity 1.27. Unit: g/cm³. Packaging format relevance: relevant for clear rigid trays, packs, and some premium cosmetic bottles or jars. This supports lightweighting evaluation by placing PETG below glass and aluminum on density but above PP/PE, explaining why PETG can be heavier than commodity polyolefins before wall-thickness effects are considered. Limitation: grade-specific Eastman data, not a whole-family range, and positioned for medical/rigid packaging rather than beauty-specific packs.","Eastar copolyester 6763 | TDS — Eastman — https://productcatalog.eastman.com/tds/ProdDatasheet.aspx?pn=Eastar+676&product=71040786"
"S05-004","APC Packaging explains why beauty packaging still uses PETG, PMMA, AS/SAN, and ABS despite these not being the lightest options: clarity, gloss, rigidity, toughness, decoration performance, and glass-like aesthetics.","Material covered: PET, PE, PP, PETG/PCTA/PCTG, PMMA, AS/SAN, ABS, aluminum, and glass. Density/weight data found: no numeric density table, but strong cosmetics-specific evidence on material-selection logic. Packaging format relevance: prestige jars, outer bottles, overcaps, and decorative shells. This supports lightweighting evaluation by explaining why density alone is not enough: PMMA is used as plastic glass, PETG for superior clarity, SAN for rigidity/transparency, and ABS for high gloss, impact resistance, and decoration. These materials may survive a price/weight penalty in premium beauty because of sensory and branding value. Limitation: qualitative source that supports material-selection logic rather than numerical density benchmarking.","Packaging Materials For Cosmetic Containers — APC Packaging — https://apcpackaging.com/custom-services/materials/"
"S05-005","MatWeb’s soda-lime glass entry gives a packaging-relevant density anchor of about 2.50 g/cm³, confirming glass is intrinsically far denser than commodity plastics and most paper-based materials.","Material covered: soda-lime silicate glass. Density data found: 2.50 g/cc at 25°C. Unit: g/cm³. Packaging format relevance: cosmetic serum, fragrance, dropper, and molded-glass containers because container glass is typically soda-lime based. This supports lightweighting evaluation by quantifying why glass creates a high-mass baseline before decoration, thick bases, droppers, and overcaps are added. Limitation: material-property source rather than finished-pack source; practical pack mass depends on bottle design, wall thickness, and base thickness.","Schott AR-GLAS Soda Lime Silicate Glass — MatWeb — https://www.matweb.com/search/datasheet.aspx?matguid=c72a11187fb34d8cadb600a0706aba69&n=1"
"S05-006","Gerresheimer’s cosmetics and fragrance catalogue provides real glass pack-weight examples showing how quickly glass mass rises with capacity.","Material covered: cosmetic glass / moulded glass. Weight data found: 20 ml dropper 35 g; 30 ml dropper 47 g; 50 ml dropper 55 g; 100 ml dropper 100 g; 250 ml bottle 223 g. Unit: grams. Packaging format relevance: serum/dropper and premium cosmetic bottle formats. This supports lightweighting evaluation by showing that glass may be manageable on a raw-material-price basis but still becomes heavy per pack because empty container mass is high relative to filled volume. Limitation: SKU-specific catalogue weights and excludes system weight from droppers, pumps, collars, caps, labels, and secondary packaging.","Glass Packaging - Cosmetics & Fragrance - Products — Gerresheimer — https://www.gerresheimer.com/catalogue/products/cosmetics-fragrance/glass-packaging.html"
"S05-007","MatWeb’s aluminum data gives a packaging-relevant density baseline of about 2.70 g/cm³, lower than glass but far above commodity plastics and paperboard on a solid-material basis.","Material covered: aluminum. Density data found: 2.7 g/cc. Unit: g/cm³. Packaging format relevance: aluminum bottles, shells, caps, aerosols, and luxe trim. This supports lightweighting evaluation by explaining why aluminum can still be attractive despite higher density than plastics: it is lighter than glass for the same solid volume, yet dense enough that thick or decorative metal components can add noticeable pack mass. Limitation: pure-material property reference; practical cosmetic-pack weights depend strongly on gauge, forming method, and component design.","Aluminum, Al — MatWeb — https://www.matweb.com/search/datasheet.aspx?bassnum=AMEAL00"
"S05-008","Metsä Board’s FBB specifications provide grammage and thickness ranges that infer an apparent-density range of roughly 0.58–0.81 g/cm³ for FBB used in beautycare and point-of-sale applications.","Material covered: folding boxboard (FBB). Data found: grammage 170–380 g/m² and thickness 210–650 µm. Unit: g/m² and µm; inferred apparent density ≈ 0.58–0.81 g/cm³ calculated from grammage divided by thickness. Packaging format relevance: folding cartons, sleeves, covers, cards, and display materials for beautycare and consumer applications. This supports lightweighting evaluation by showing FBB achieves low apparent density because of its bulky multilayer structure, making it a strong lightweight secondary-pack option versus denser premium boards and rigid structures. Limitation: density is inferred from published specifications, not directly stated, and applies to board sheet structure rather than an assembled carton.","MetsäBoard Prime FBB Bright Product Sheet — Metsä Board — https://www.metsagroup.com/contentassets/89d536cbb9ea42bea02aef4516212389/metsaboard-prime-fbb-bright-en-us.pdf"
"S05-009","Stora Enso’s Ensocoat SBS specifications imply an apparent-density range of about 0.78–0.95 g/cm³ and position the board for luxury packaging, including cosmetics and perfume applications.","Material covered: SBS / solid bleached sulphate board. Data found: grammage 190–380 g/m² and thickness 200–485 µm. Unit: g/m² and µm; inferred apparent density ≈ 0.78–0.95 g/cm³. Packaging format relevance: folding cartons and premium cartons for cosmetics, perfume, displays, and luxury printed packs. This supports lightweighting evaluation by showing SBS is denser than many FBB options and optimized for surface smoothness, whiteness, print quality, embossing, hot foil stamping, and luxury presentation. Limitation: inferred density from supplier specs; assembled pack weight can rise further with foils, coatings, inserts, and extra structure.","Ensocoat — Stora Enso — https://www.storaenso.com/-/media/documents/download-center/documents/product-specifications/paperboard-materials/ensocoat-en_n.pdf"
"S05-010","WestRock’s CustomKote CNK guide provides grammage and thickness data implying an apparent-density range of roughly 0.73–0.82 g/cm³ and lists beauty and personal care among uses.","Material covered: coated natural kraft / CNK. Data found: thickness 356–762 µm and nominal basis weight 293–557 g/m². Unit: µm and g/m²; inferred apparent density ≈ 0.73–0.82 g/cm³. Packaging format relevance: cartons requiring strength, wet/cold performance, or natural-kraft aesthetics, including beauty and personal care. This supports lightweighting evaluation because CNK offers stiffness-to-weight routes at a given strength target, making it a candidate to replace heavier boards where high strength is still needed. Limitation: calculated density is board-sheet level only; high-barrier treatments or premium decoration can still raise total pack mass.","WestRock CustomKote Paperboard — WestRock — https://shop.igepa.be/media/19/0e/f9/1659914368/H-602-5361-1_CustomKoteProductGuiderevJan2020.pdf"
