Source code,Summary of what was found,Detailed description of what was found,Source name
"S03-001","Metsä Board shows that folding boxboard is a core secondary-packaging material in beautycare and is used for cartons as well as premium decorative effects.","This source supports folding boxboard as a mainstream secondary-packaging substrate for cosmetics and personal care. It states that beautycare folding boxboards are suitable for multi-layer embossing, foil laminations, holograms, 3D special effects, high-quality printing on both sides, and sturdy packaging that creates an unboxing experience. For later lightweighting work, it helps distinguish standard lightweight paperboard use from premium paperboard use with added decorative treatments that can increase material intensity.","Beautycare — Paperboard end uses — Metsä Board — https://www.metsagroup.com/metsaboard/products-and-services/paperboard-applications/beautycare/"
"S03-002","Stora Enso establishes folding boxboard as a mainstream material base for cosmetics and personal care while showing lighter-weight FBB as a market direction.","This source supports the baseline for secondary packs built from folding carton board. It identifies Performa as a premium folding-boxboard family and describes Performa Lumi as a GC1 folding boxboard designed for premium visual impact and efficient material use, while also noting that the platform is robust yet lightweight. It also shows broader folding-carton options including luxury-board and brown-fiber board families, which is useful for comparing mass-market cartons, premium cartons, and material-efficient luxury-board options.","Premium folding carton boards for packaging — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/folding-cartons"
"S03-003","Stora Enso provides an explicit SBS baseline for luxe beauty packaging and ties SBS to demanding finishes and tactile premium effects.","This source identifies solid bleached sulfate as a luxury-board portfolio for high-end packaging, including cosmetics and perfumes. It says SBS boards are engineered for premium folding cartons and high-end packs, provides coated and uncoated SBS examples, and says these boards tolerate embossing, foil stamping, metallized foils, and other demanding finishing treatments while maintaining stiffness and sharp folds. This is strong evidence that premium/luxe beauty often uses high-spec SBS for secondary cartons when tactile feel, whiteness, print quality, and decorative finishing are central.","Coated and uncoated carton boards for luxury packaging — Stora Enso — https://www.storaenso.com/en/products/paperboard-materials/folding-cartons/carton-boards-for-luxury-packaging"
"S03-004","Smurfit Westrock shows that paperboard secondary packaging includes boxes, trays, and carton sleeves, not only standard tuck cartons.","This source supports mapping paperboard-based secondary formats. It states that folding cartons are part of a broader paperboard packaging portfolio that includes carton sleeves and multipack solutions, and that folding-carton systems can be delivered in different styles such as boxes and trays. It also notes that folding cartons can carry varnishes, foil-type embellishments, textured effects, window patches, and a range of board grades, making it useful for mapping mainstream and upgraded secondary formats before lightweighting evaluation.","Folding Cartons — Smurfit Westrock — https://www.smurfitwestrock.com/products/packaging/paperboard/folding-cartons"
"S03-005","Smurfit Westrock confirms coated recycled board as a current paperboard option for folding cartons and custom applications.","This source supports the baseline for recycled paperboard in secondary beauty and personal-care packaging. It states that coated recycled board is made with recycled fibers and has a smooth clay coating that supports printability for folding cartons and custom applications. This is useful as a mass-market and scale-oriented baseline because it is paper-based, scalable, and often more aligned with lower-cost secondary packaging than rigid-box constructions.","Coated Recycled Board — Smurfit Westrock — https://www.smurfitwestrock.com/products/paper-and-board/paperboard/coated-recycled-board-crb"
"S03-006","WestRock provides a coated natural kraft paperboard baseline for secondary packaging.","The source identifies coated natural kraft paperboard as a current board option and states that it delivers crisp graphics while retaining the natural-kraft substrate character. For baseline purposes, CNK is relevant where brands want a natural or rustic premium look without moving to much heavier rigid formats. It should be included as a paperboard alternative to SBS and CRB when appearance, strength, and material positioning differ.","Coated Natural Kraft Paperboard — WestRock — https://www.westrock.com/products/paperboard/customkote"
"S03-007","GPA Global’s Sugarpill case shows a premium/luxe rigid-box construction using rigid greyboard, decorative outer wrap, film treatment, foil, magnets, and ribbon.","This is strong evidence for the premium/luxe secondary-packaging baseline. The case states that the pack used a rigid greyboard structure, wrapped exterior paper, soft-touch film coating, foils, spot UV, concealed magnets, and a ribbon lift. For later lightweighting work, this type of pack is a material-intensive target because the structural board, decorative wrap, closure hardware, and embellishments all layer material and weight onto a non-primary beauty package.","Sugarpill 10th Anniversary Collection — GPA Global — https://www.gpaglobal.net/packaging/case-studies/sugarpill-10th-anniversary-collection/"
"S03-008","Smurfit Westrock says rigid boxes are often used for luxury packaging and that choosing a lower board weight can reduce cost and material use.","This source directly supports the premium-versus-mass split. It states that paperboard comes in various weights and that choosing a lower weight reduces cost, while also noting that rigid boxes are often used for luxury packaging and that their quality brings a higher price point. This is useful evidence for why mass-market packs tend to favor lighter board and why later lightweighting work should treat board-weight optimization and rigid-to-folding-carton substitution as important material-based pathways.","Ways to adjust your luxury packaging to meet your business goals — Smurfit Westrock — https://www.smurfitwestrock.com/blog/ways-to-adjust-your-luxury-packaging-to-meet-your-business-goals"
"S03-009","Fedrigoni provides a direct material taxonomy for labels: paper or plastic-film facestock, adhesive layer, and release liner.","This source supports the label baseline for secondary and tertiary packaging where pressure-sensitive labels are used on cartons, sleeves, gift packs, shippers, and related formats. It states that self-adhesive labelstock has three main components and that the printed facestock can be paper or plastic film, including PP, PE, PET, and PVC. This is useful because labels can add mixed-material complexity and affect recyclability when filmic constructions or heavy laminations are used.","Self-adhesive material: what it is and how it is made — Fedrigoni — https://fedrigoni.com/en/news/self-adhesive-material-what-it-is-and-how-it-is-made/"
"S03-010","CCL confirms shrink sleeves as a current beauty and personal-care packaging format and signals polyolefin sleeve development for recycling compatibility.","This source supports the baseline for sleeve materials in beauty packaging. The product page states that beauty and personal-care shrink sleeves provide 360-degree decoration, confirming their continued use as high-graphics sleeve formats. CCL’s beauty-market information also references floatable polyolefin shrink sleeves that support PET recycling, helping distinguish conventional plastic sleeve systems from improved sleeve-material options that may reduce recycling interference.","Beauty & Personal Care Shrink Sleeves — CCL Label — https://ccllabel.com/product/beauty-personal-care-shrink-sleeves/"
