Source code,Summary of what was found,Detailed description of what was found,Source name
"S10-001","Aluminium is used across packaging and electronics because it is light, protective, and associated with premium devices; electronics makers use aluminium because it is lighter than steel and signals premium quality.","Material/technology route covered: lightweight aluminium and recycled/circular aluminium logic. Original industry use case: electronics bodies, packaging, aerosol cans, foil, and closures. Possible cosmetic transfer use case: aluminium bottles, caps, outer refill shells, lipstick cases, compact shells, decorative sleeves, and mono-material aerosol/deodorant components. Weight/material reduction relevance: aluminium is light for transport and lighter than steel in electronics. Premium versus mass-market fit: strongest for premium/luxe shells and selective masstige applications where tactile feel and metal aesthetics matter. Limitations/caution: credible transfer route but should still pass price-first screening versus commodity plastics for mass-market beauty because it is a performance/premium material, not the cheapest solution.","Aluminium in Use — European Aluminium — https://european-aluminium.eu/about-aluminium/aluminium-in-use/"
"S10-002","BASF’s automotive examples show continuous-fiber thermoplastic composite structures can deliver large part-mass reductions: a seat pan 45% lighter and BASF formulations giving 30% savings in an oil pan and engine front cover.","Material/technology route covered: continuous-fiber-reinforced thermoplastic laminates and structural composite substitution. Original industry use case: structural automotive parts. Possible cosmetic transfer use case: highly engineered reusable outer shells, refill compacts, prestige closures, or durable refill frames where designers want structural stiffness at lower mass than metal-heavy parts. Weight/material reduction relevance: large weight-saving figures justify inclusion in the longlist. Premium versus mass-market fit: likely premium/luxe only. Limitations/caution: evidence comes from structural automotive applications, so this is an exploratory high-performance option rather than a near-term mass cosmetic route; screen early for cost, decoration complexity, and processing practicality.","Automotive lightweighting: 3 industry-leading innovations — BASF — https://automotive-transportation.basf.com/global/en/stories/automotive-lightweighting--3-industry-leading-innovations"
"S10-003","SABIC’s STAMAX long-glass-fiber PP is positioned as a lightweight structural thermoplastic with high stiffness, impact resistance, structural performance, and easy flow for thin walls.","Material/technology route covered: long-glass-fiber reinforced polypropylene. Original industry use case: structural automotive parts, metal-replacement applications, and thin-wall components. Possible cosmetic transfer use case: non-product-contact refill shells, compact bases, overcaps, high-stiffness secondary components, or robust e-commerce-ready outer parts where standard PP may be too flexible. Weight/material reduction relevance: reinforced PP can substitute heavier or thicker structural parts while still processing into thin walls. Premium versus mass-market fit: more realistic for premium/luxe or selected high-abuse mass-market components than very low-cost disposable packs. Limitations/caution: property package is structural, so screen mainly for non-contact or high-stiffness parts, not as a universal bottle/jar resin.","STAMAX Resins: Automotive Thermoplastic Solutions — SABIC — https://www.sabic.com/en/industries/automotive/polymers/materials/stamax"
"S10-004","SABIC says its automotive PP compounds feature low density, foamability for weight-out, stiffness via mineral or glass reinforcement, chemical resistance, and cost-efficient processing.","Material/technology route covered: lightweight PP compounds and foamed/reinforced PP families. Original industry use case: interior and exterior automotive polymers. Possible cosmetic transfer use case: closures, overcaps, compacts, outer jars/cases, refill housings, trays, and other non-contact rigid components. Weight/material reduction relevance: strong mass-market transfer route because the source combines low density, foamability, and cost-efficient processing. Premium versus mass-market fit: attractive for both, especially mass-market where PP’s cost/process profile matters. Limitations/caution: reinforced or foamed variants still need screening for aesthetics, decoration, and recyclability by pack architecture.","SABIC PP compounds - Automotive — SABIC — https://www.sabic.com/en/industries/automotive/polymers/materials/sabic-ppc"
"S10-005","Trexel’s MuCell microcellular foaming technology reduces plastic-part density and reports part-weight reductions of 5%–40%, with raw-material savings and cycle-time benefits.","Material/technology route covered: microcellular foamed plastics. Original industry use case: automotive, aerospace, and consumer electronics. Possible cosmetic transfer use case: thick-walled injection-molded closures, overcaps, compact shells, refill cases, trays, pump collars, and accessory parts where material can be removed internally without switching resin families. Weight/material reduction relevance: direct quantified part-weight reduction and reduced material usage. Premium versus mass-market fit: strong for mass-market and premium if surface-quality standards can be met. Limitations/caution: requires package-specific qualification for visible-surface beauty parts, but it is a commercially proven weight-out route.","MuCell Technology — Trexel — https://trexel.com/mucell/"
"S10-006","Trexel says its MuCell blow-molding technology can offer 20% weight reductions without compromising impact strength and product performance, with rapid implementation and no significant machine or die-head modifications.","Material/technology route covered: microcellular foaming in blow molding. Original industry use case: extension of foaming technology beyond automotive into blow-molded parts. Possible cosmetic transfer use case: blow-molded personal-care bottles, lightweight refill containers, and potentially tube-style or handled pack architectures where blow molding is used. Weight/material reduction relevance: directly transferable bottle/container process rather than only a structural molded-part process. Premium versus mass-market fit: especially attractive for large-volume mass-market personal care where double-digit material cuts compound across high unit volumes. Limitations/caution: validate top load, dispensing compatibility, decoration, and shelf appearance, but evidence makes it a high-priority shortlist candidate.","Trexel brings its MuCell blow molding technology to markets beyond traditional automotive applications — Trexel — https://trexel.com/trexel-brings-its-mucell-blow-molding-technology-to-markets-beyond-traditional-automotive-applications/"
"S10-007","LyondellBasell’s BMW bumper example shows a PP foaming material that reduced vehicle weight while meeting requirements for scratch resistance, surface finish, performance, and aesthetics.","Material/technology route covered: foamed polypropylene for visible exterior parts. Original industry use case: automotive bumpers. Possible cosmetic transfer use case: visible PP outer shells, cap shrouds, refill cases, compacts, and durable overcaps requiring cosmetic-grade appearance and lighter weight. Weight/material reduction relevance: appearance-sensitive and performance-critical use case makes it relevant to beauty packaging, where finish matters. Premium versus mass-market fit: relevant to both, especially masstige/premium components where tactile and visual quality cannot collapse. Limitations/caution: packaging-specific tooling and finish trials are needed, but this source supports foamed PP beyond hidden industrial parts.","LYB helps BMW build a better bumper — LyondellBasell — https://www.lyondellbasell.com/en/media-insights/lyb-helps-bmw-build-a-better-bumper"
"S10-008","LyondellBasell says its polypropylene compounds for exterior automotive use include low-density grades and support molding of large thin-walled components that contribute to part-weight reduction.","Material/technology route covered: low-density, high-flow PP compounds for thin-wall molding. Original industry use case: automotive exterior parts such as bumpers, mirrors, grilles, wheel covers, and trim. Possible cosmetic transfer use case: thin-wall jars, tray components, cap skirts, compact shells, secondary pack trays, and display parts where lower-mass polypropylene is preferable to ABS or heavier engineered plastics. Weight/material reduction relevance: high-flow, low-density PP can be used in large molded skins while reducing weight. Premium versus mass-market fit: strongest near-term fit for mass-market beauty and personal care because PP is scalable. Limitations/caution: transfer should focus first on non-contact or compatibility-cleared parts, but the family is practical.","Exterior automotive applications — LyondellBasell — https://www.lyondellbasell.com/en/our-solutions/products/polymers/application/exterior-automotive-applications/"
"S10-009","Covestro says its polycarbonate and PC-blend resins are used in consumer electronics housings and are suitable for thin-wall designs, with impact resistance, heat resistance, dimensional stability, and high-gloss/custom-color aesthetics.","Material/technology route covered: thin-wall polycarbonate and PC blends. Original industry use case: electronics housings, smart devices, security camera housings, and power-device enclosures. Possible cosmetic transfer use case: premium outer cases, clear caps, durable compact shells, device-like refill housings, and glass-replacement decorative shells. Weight/material reduction relevance: value comes from thin-wall capability plus premium appearance rather than lowest mass alone. Premium versus mass-market fit: primarily premium/luxe and device-packaging logic, not commodity body-care bottles. Limitations/caution: supports PC as a premium transfer route, not a universal substitute for PP/PE; focus on visual value-added and non-contact parts first.","Housing & insulation: Rugged polycarbonates for safer power applications — Covestro — https://solutions.covestro.com/en/highlights/articles/theme/applications/housing-and-insulation"
"S10-010","SABIC’s consumer-electronics structural-solutions page shows thin-wall materials for phones, tablets, and laptops that can support design integration, process simplification, elimination of painting, and NCVM/PVD metallizing for metallic looks.","Material/technology route covered: thin-wall engineering plastics and metallizable electronics resins. Original industry use case: mobile-phone, tablet, and laptop housings/frames. Possible cosmetic transfer use case: metal-look compact cases, cap shrouds, lipstick shells, refillable outer packs, and prestige accessories where brands want a metallic effect without fully metal parts. Weight/material reduction relevance: can replace heavier metal shells or multi-step painted parts with lighter molded plastics plus thin metallic deposition. Premium versus mass-market fit: strongest for premium/luxe; selective masstige use if appearance value is high. Limitations/caution: screen carefully for recyclability and coating/finish compatibility because metallic-look plastics can add complexity.","Structural Solutions — SABIC — https://www.sabic.com/en/industries/electrical-and-electronics/industrial-applications/structural-solutions"
