Patent code,Summary of what was found,Detailed patent mapping,Source name
P01-001,Aptar has an older cosmetic dropper family covering a screw-on dropper where tightening or loosening also drives axial pusher movement for repeatable chamber filling and easier actuation,Publication family: US20140020789A1 / US9221048B2. Assignee: Aptar France SAS. Priority year: 2011. Publication year: 2014 application and 2015 US grant. Jurisdiction: US with likely broader family equivalents. Legal status: US case shown as Expired - Fee Related. Component: cosmetic dropper / closure / pusher assembly. Material route: mechanism integration rather than mono-material claim. Claimed invention: fastener ring on bottle neck cooperates with mover means so closure rotation moves a pusher axially and controls variable-volume chamber. Problem solved: repeatable filling and easier actuation and accidental actuation prevention and consistent drop formation. Cosmetic relevance: direct use in perfumery cosmetics and pharmacy. Premium vs mass-market fit: stronger premium or dermocosmetic fit. Mapped topic: S18. IP risk signal: Moderate patent density / monitor claims. White space: glass-free mono-material recyclable or simplified droppers rather than rotationally actuated premium pipette systems. Caution: actuation architecture more than explicit lightweighting,Dropper dispenser — Google Patents — https://patents.google.com/patent/US20140020789A1/en
P01-002,L’Oréal has a recent premium pipette/dropper actuation family centered on push-button plus bulb-pinching for care products oils serums and perfumes,Publication family: FR3115770A1 / FR3115770B1. Assignee: L’Oréal SA. Priority year: 2020. Publication year: 2022 application and 2023 grant. Jurisdiction: France. Legal status: Granted and active on French record. Component: pipette/dropper actuation assembly. Material route: not mono-material. Claimed invention: movable push button and pinching member around bulb where flexible axial leg deforms toward bulb to actuate dispensing. Problem solved: controlled ergonomic bulb actuation in premium dropper format. Cosmetic relevance: direct for care products cosmetic oils serums and perfumes. Premium vs mass-market fit: strong premium/luxe fit. Mapped topic: S18. IP risk signal: Brand-owned route / competitor-specific caution. White space: lower-cost mono-resin glass-free or non-bulb dispensing alternatives. Caution: not explicit lightweighting but relevant to premium dropper constraints,Sampling and dispensing pipette actuation assembly — Google Patents — https://patents.google.com/patent/FR3115770A1/en
P01-003,APC Packaging has a recent recyclable dropper family directed at replacing conventional mixed-material or glass-based droppers with a recyclable plastic dropper aligned to beauty-pack recycling logic,Publication family: US11148131B1 / WO2022220871A1. Assignee: APC Packaging LLC. Priority year: 2021. Publication year: 2021 US grant and later international filings. Jurisdiction: US with WO EP CA CN KR activity shown. Legal status: active US status. Component: dropper including bulb/cap/pipette system. Material route: recyclable plastic dropper with polypropylene and polyolefin language. Claimed invention: recyclable dropper to overcome glass pipettes non-recyclable bulbs and dissimilar materials. Problem solved: recyclability glass breakage haze/visual quality and small-part recycling issues. Cosmetic relevance: direct beauty/cosmetic droppers. Premium vs mass-market fit: both with strong premium skincare/serum relevance. Mapped topics: S18 S19. IP risk signal: High patent density / FTO review recommended and supplier-owned route. White space: non-pipette dispensing substitutes simplified one-piece applicators or refill systems. Caution: record does not prove all same-recycle-code implementations are open,Dropper — Google Patents — https://patents.google.com/patent/US11148131B1/en
P01-004,Guangzhou Shanggong has an active all-plastic pump family showing active filing around metal-free lotion and emulsion pump architectures,Publication family: US12240006B2 / WO2022036772A1. Assignee: Guangzhou Shanggong Plastic Co. Ltd. Priority year: 2020. Publication year: 2025 US grant and 2022 WO. Jurisdiction: US CN WO. Legal status: active US status. Component: all-plastic pump. Material route: full-plastic pump with polymeric springing function. Claimed invention: pump entirely of plastic with actuator stem piston pump body check valve and elastic polymer spring-type architecture. Problem solved: metal elimination recyclability and full-plastic pump compatibility. Cosmetic relevance: lotion serum and personal-care pumps. Premium vs mass-market fit: stronger mass-market fit. Mapped topics: S18 S20. IP risk signal: Moderate-to-high patent density / monitor claims. White space: mono-polymer material harmonization lower-part-count assemblies or decoration-compatible premium pump shells. Caution: crowded category with Chinese and Western supplier overlap,All-plastic pump — Google Patents — https://patents.google.com/patent/US12240006B2/en
P01-005,APackaging Group has a recent all-plastic airless pump family relevant to skincare because it combines airless dispensing with all-plastic construction and a polymer spring,Publication family: US11471905B1 / WO2023048848A1. Assignee: APackaging Group LLC. Priority year: 2021. Publication year: 2022 US grant and 2023 WO. Jurisdiction: US plus PCT EP CA continuations shown. Legal status: active US status. Component: airless dispenser / airless pump. Material route: all-plastic airless pump with dome-shaped elastic polymer spring. Claimed invention: manually operated airless pump dispenser using all-plastic construction instead of mixed materials. Problem solved: recyclability metal elimination and lighter/recyclable airless dispensing. Cosmetic relevance: very high for skincare and premium personal care. Premium vs mass-market fit: strongest premium and masstige. Mapped topics: S18 S19 S20. IP risk signal: High patent density / FTO review recommended. White space: simplified refill cartridges partial mono-material subassemblies or non-airless refill dispensers. Caution: patent does not establish commercial robustness or compatibility,All plastic airless pump dispenser — Google Patents — https://patents.google.com/patent/US11471905B1/en
P01-006,Silgan has a significant polymer compression spring pump family indicating concentrated supplier IP around replacing metal springs with polymeric spring assemblies,Publication family: US10794445B2 / WO2021034739A1 with priority chain from 2018. Assignee: Silgan Dispensing Systems Corp. Priority year: 2018. Publication year: 2020 US grant and 2021 WO. Jurisdiction: US EP CN WO. Legal status: active US status. Component: dispensing pump spring assembly. Material route: polymer compression spring replacing metal spring. Claimed invention: dispensing pump using polymer compression spring assembly integrated into pump architecture. Problem solved: metal elimination recyclability and pump redesign around polymeric biasing. Cosmetic relevance: high for lotion pumps and skincare dispensers. Premium vs mass-market fit: both especially mainstream lotion pumps. Mapped topics: S18 S20. IP risk signal: Dominant assignee concentration / partnership or licensing may be needed and high patent density / FTO review recommended. White space: application-specific compatibility mono-polymer retail formats or downstream recyclable shell/overcap simplification. Caution: core engine family signals congestion but not all implementations are blocked,Dispensing pump with polymer compression spring assembly — Google Patents — https://patents.google.com/patent/US10794445B2/en
P01-007,A later Silgan continuation expands the polymer-spring strategy with base venting and flow-baffle features showing a layered portfolio around metal-free recyclable pump engines,Publication family: US11236794B2 / WO2021222043A1. Assignee: Silgan Dispensing Systems Corp. Priority year: 2018 via parent chain. Publication year: 2022 US grant and 2021 WO. Jurisdiction: US EP CN WO. Legal status: active US grant plus continuation activity. Component: dispensing pump with polymer spring venting and flow management. Material route: polymer spring plus venting and flow-baffle architecture. Claimed invention: slotted tubular spring element with base venting / flow-baffle configuration. Problem solved: polymer-spring pump performance including venting and fluid-path behavior. Cosmetic relevance: high for lotion pumps and skincare/fragrance dispensers. Premium vs mass-market fit: broad engine-level relevance. Mapped topics: S18 S20. IP risk signal: High patent density / FTO review recommended. White space: bottle/pack integration recyclable collars or external presentation shells. Caution: continuation claims require review before design-around,Dispensing pump with polymer spring base venting and flow baffle — Google Patents — https://patents.google.com/patent/US11236794B2/en
P01-008,Silgan also has an active removable-chaplet family aimed at making pump systems easier to recycle after use through disassembly or tear-away features,Publication family: US11059064B2 / WO2019183074A1. Assignee: Silgan Dispensing Systems Corp. Priority year: 2018. Publication year: 2021 US grant and 2019 WO. Jurisdiction: US and WO. Legal status: active US grant and ceased WO application. Component: pump system / chaplet / recycling-enabling tear-away structure. Material route: removable chaplet and frangible structure rather than pure mono-material claim. Claimed invention: pump system where chaplet or wall portion can be removed using tear-away features secured by frangible elements. Problem solved: post-use separation and recycling issues in mixed-component pump dispensers. Cosmetic relevance: high for lotion pumps and dispensers. Premium vs mass-market fit: mass-market and implementation-oriented. Mapped topics: S18 S20. IP risk signal: Supplier-owned route / accessible through partnership and moderate patent density / monitor claims. White space: non-tear disassembly methods simplified pump-to-neck interfaces or recyclability without removable chaplet. Caution: feature may not be low-cost or easy for consumers,Dispensing pump system with removable chaplet — Google Patents — https://patents.google.com/patent/US11059064B2/en
P01-009,Raepak has a fluid-dispenser family using a non-metal spring made from polyolefin-related materials and extending to airless containers,Publication family: WO2021058959A1 with GB US EP related filings. Assignee: Raepak Ltd. Priority year: 2019. Publication year: 2021. Jurisdiction: WO with GB US EP activity. Legal status: WO application ceased but national filings may persist. Component: fluid dispenser / spring element. Material route: spring from TPO TPV POP POE and other thermoplastic polyolefin-related materials. Claimed invention: fluid dispenser using polymeric spring routed through specific dispenser architecture and capable of use in airless container. Problem solved: metal elimination and compatibility with recyclable plastic strategies. Cosmetic relevance: strong for liquid soap personal care and possible cosmetic pumps. Premium vs mass-market fit: mass-market strongest with possible premium airless transfer. Mapped topics: S18 S19 S20. IP risk signal: Moderate patent density / monitor claims. White space: resin-family harmonization with bottle materials dose-specific engines or visible premium overcaps. Caution: do not infer low risk from ceased WO status because national rights may persist,Fluid dispenser — Google Patents — https://patents.google.com/patent/WO2021058959A1
P01-010,Rieke has a recent all-polymer helical biasing-member family relevant to lightweighting because perforated wall geometry provides resilience while reducing weight and material use,Publication family: WO2022038199A1 / US12364995B2. Assignee: Rieke Packaging Systems Ltd. Priority year: 2020. Publication year: 2022 WO with national grants/applications continuing. Jurisdiction: WO US EP CN. Legal status: WO ceased but national rights active/pursued. Component: pump spring / biasing member / reciprocating pump engine. Material route: all-polymer helical biasing member with perforated and thinned wall sections. Claimed invention: polymeric double-helical perforated biasing member and pump dispenser incorporating it. Problem solved: metal elimination recyclability and material reduction in pump spring architecture. Cosmetic relevance: high for lotion pumps foamers and sprayers. Premium vs mass-market fit: broad with stronger mass-market implementation potential. Mapped topics: S18 S20. IP risk signal: High patent density / FTO review recommended. White space: different spring geometries external-shell simplification or bottle-fitment integration. Caution: ceased WO does not remove national-rights concern,All-polymer helical biasing member and pump dispenser incorporating same — Google Patents — https://patents.google.com/patent/WO2022038199A1/en
