Source code,Summary of what was found,Detailed description of what was found,Source name
"S19-001","Garnier’s sustainability report states that PCR can affect the color and transparency of packaging, so recycled-content use in beauty packs has an explicit aesthetics trade-off, especially for clear or premium-looking formats.","Material/technology route covered: PCR plastics in beauty packaging. Packaging format relevance: beauty bottles and other plastic packs where appearance matters. Weight/material/virgin-material reduction evidence: supports PCR as a virgin-plastic-reduction route, not automatic lightweighting; relevant when PCR is combined with already-light formats such as PET bottles or flexible packs. Cosmetic/personal-care relevance: Garnier describes active work toward 100% PCR materials. Premium versus mass-market fit: strongest for mass-market opaque or tinted formats; premium clear packs need caution because PCR can affect appearance. Limitation notes: use as screening caution for premium skincare/fragrance and clear-color cosmetics because appearance impacts on colour and transparency are explicitly flagged.","Sustainability Progress Report 2020 — Garnier / L’Oréal — https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/documents-media/publications/brands/garniersustainabilityprogressreport2020-final-ldcompressed.pdf"
"S19-002","L’Oréal Paris reports that since 2020, 100% of Elvive shampoo and conditioner bottles in Europe have been made from recycled PET, making rPET a scaled mass-market beauty-packaging route rather than a niche pilot.","Material/technology route covered: rPET / recycled PET. Packaging format relevance: shampoo and conditioner bottles. Weight/material/virgin-material reduction evidence: supports rPET as a virgin-material-reduction route within a standard lightweight plastic bottle format; relevant because rPET can preserve an already-light pack architecture instead of shifting back to heavier substrates. Cosmetic/personal-care relevance: direct mass-market haircare example from a global beauty brand. Premium versus mass-market fit: strong mass-market proof point and evidence that large-scale beauty bottle conversion to recycled PET is operationally feasible. Limitation notes: demonstrates scale and material substitution, but does not claim rPET itself reduces pack weight versus virgin PET.","2023 Sustainability Report — L’Oréal Paris / L’Oréal Groupe — https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/4-brands/consumer-products-division/loreal-paris/prlorealparis-2023.pdf"
"S19-003","ALPLA’s standard 100 ml HDPE bottle for household/personal care can be produced with up to 100% rHDPE, weighs 10 g, and shows a much lower displayed CO2 footprint than glass in the supplier comparison.","Material/technology route covered: rHDPE / recycled HDPE. Packaging format relevance: small EBM bottles for personal care. Weight/material/virgin-material reduction evidence: empty bottle weight is 10 g; PCR content can reach 100% rHDPE, making this a practical route for keeping bottle weight low while reducing virgin polymer use. Cosmetic/personal-care relevance: bottle is mainly used for household and personal care and can be decorated. Premium versus mass-market fit: strongest for mass-market and travel-size/personal-care bottles; potentially usable in premium only where opacity is acceptable. Limitation notes: source does not state cosmetic-formula compatibility by formula family; brands still need compatibility and appearance checks.","100 ml HDPE Bottle — ALPLA — https://product-catalogue.alpla.com/product/100-ml-hdpe-bottle"
"S19-004","Albéa offers a PCR PP Slight Cap made with 70% PCR PP, showing recycled PP is already commercial in beauty closure systems.","Material/technology route covered: rPP / PCR PP. Packaging format relevance: tube caps and low-profile caps for beauty tubes. Weight/material/virgin-material reduction evidence: virgin-material-reduction route for a component that typically remains PP; no lighter-weight claim, but relevant because high-volume caps can be converted without changing pack format. Cosmetic/personal-care relevance: direct beauty-packaging component example from a major supplier. Premium versus mass-market fit: stronger near-term fit for mass-market tubes and functional closures; premium use depends on color and finish acceptance. Limitation notes: supplier product example; further screen hinge durability, appearance, and recycling-system fit at full pack level.","PCR PP Slight Cap — Albéa — https://www.albea-group.com/products/pcr-pp-slight-cap"
"S19-005","Neopac’s Polyfoil EcoPro tube is fully recyclable in the HDPE stream and contains up to 60% PCR, including product-contact-compliant PCR in the shoulder and cap.","Material/technology route covered: PCR tube structure, PCR shoulder, and PCR cap. Packaging format relevance: laminate/polyfoil cosmetic and personal-care tubes. Weight/material/virgin-material reduction evidence: reduces virgin polymer within a tube format already typically lighter than many bottle/jar alternatives. Cosmetic/personal-care relevance: directly applicable to creams, gels, and other tube-packed beauty products. Premium versus mass-market fit: good mass-market route and relevant to dermocosmetics and premium tubes where recyclability and barrier are needed. Limitation notes: brands still need formulation compatibility screening and confirmation that premium look/feel remains acceptable at the chosen PCR level.","At Luxe Pack NY, Neopac to Debut Mono-Material Double Barrier Tubes with High-Percentage PCR — Hoffmann Neopac — https://www.hoffmann-neopac.com/en/news-events/neopac-pr%C3%A4sentiert-auf-der-luxe-pack-ny-erstmals-polyfoil-ecopro-tuben-mit-hohem-pcr-anteil"
"S19-006","Huhtamaki states that its beauty/personal-care offer includes wicketed bags with PCR content and PE stand-up pouches and sachets for lotions, scrubs, and body washes.","Material/technology route covered: PCR-containing flexible films plus mono-PE-oriented pouch structures. Packaging format relevance: sachets, stand-up pouches, bundle packs, and refill-type flexibles. Weight/material/virgin-material reduction evidence: flexible PE pouches are inherently lower-material formats than rigid bottles/jars, and PCR content further reduces virgin polymer demand. Cosmetic/personal-care relevance: page references lotions, scrubs, body washes, and deodorant wet wipes. Premium versus mass-market fit: strong mass-market and refill/reserve-pack route; conditional premium relevance if used as refill-only or back-of-house reserve pack. Limitation notes: source does not quantify PCR percentage or barrier trade-offs; sealing, fragrance retention, and leak performance must still be screened.","Beauty Packaging — Huhtamaki — https://www.huhtamaki.com/en/flexible-packaging/market-segments/home-and-personal-care/beauty/"
"S19-007","Aptar’s Color Code PCR fragrance pump contains up to 67% mechanical PCR and is positioned as the first fragrance pump with PCR content that still preserves a strong customization/aesthetics offer.","Material/technology route covered: PCR dispensing component. Packaging format relevance: fragrance pumps and dispensing systems. Weight/material/virgin-material reduction evidence: supports virgin-resin reduction in a high-complexity component that is normally difficult to convert; not a direct lightweighting claim, but relevant because pumps often constrain sustainable material adoption. Cosmetic/personal-care relevance: direct fragrance-packaging example. Premium versus mass-market fit: especially important for premium/luxe because fragrance pumps are appearance-sensitive and customization-sensitive. Limitation notes: verify color consistency, actuator performance, and end-of-life recyclability at full-pack level.","Aptar Beauty Introduces the First Fragrance Pump Available with PCR Content — Aptar Beauty — https://aptar.com/en-us/news-events/aptar-beauty-introduces-first-pcr-fragrance-pump"
"S19-008","Berry’s CleanStream process is designed to produce contact-sensitive mechanically recycled PP suitable for cosmetics/personal care, with testing for odor, taint, and low migration, opening opportunities in Europe for cosmetics and personal care.","Material/technology route covered: mechanically recycled PP / PCR PP for sensitive applications. Packaging format relevance: PP jars, tubs, closures, and other contact-sensitive beauty packs. Weight/material/virgin-material reduction evidence: virgin-material-reduction enabler for packs already using lightweight PP; important where recycled PP quality has historically constrained use. Cosmetic/personal-care relevance: source explicitly discusses contact-sensitive cosmetics and personal care. Premium versus mass-market fit: strongest for mass-market jars/tubs/closures; premium fit depends on color/clarity expectations. Limitation notes: improves circularity, but application-specific appearance, odor, and processing validation are needed; high-purity PCR PP requires substantial sorting/decontamination infrastructure.","CleanStream – The Future for Contact-Sensitive Mechanically Recycled Plastic — Berry Global / Amcor Packaging Solutions — https://packagingsolutions.amcor.com/en/news/articles/cleanstream-the-future-for-contact-sensitive-mechanically-recycled-plastic"
"S19-009","L’OCCITANE reports a pilot in which its Almond Shower Oil bottle used 100% recycled PET made through Loop’s depolymerization process; the brand says the new bottles look identical to the standard ones.","Material/technology route covered: chemically recycled / depolymerized PET. Packaging format relevance: PET shower-oil bottle. Weight/material/virgin-material reduction evidence: replaces virgin PET with recycled, virgin-quality PET in an existing lightweight bottle format. Cosmetic/personal-care relevance: direct beauty example, not food/beverage. Premium versus mass-market fit: important for premium or appearance-sensitive packs because bottles are described as identical to standard bottles. Limitation notes: pilot / mini-series example rather than category-wide scale proof; does not claim lower bottle weight than standard PET.","L’OCCITANE en Provence and Loop Industries Pilot Project: A new bottle from 100% recycled PET using groundbreaking technology — Groupe L’OCCITANE — https://group.loccitane.com/group/news/loccitane-en-provence-and-loop-industries-pilot-project-new-bottle-100-recycled-pet"
"S19-010","Braskem states that I’m green bio-based polyethylene is a drop-in substitute for fossil PE, with HDPE, LLDPE, and LDPE grades for rigid and flexible applications without new machinery.","Material/technology route covered: bio-based PE / bio-PE. Packaging format relevance: bottles, tubes, caps, films, and pouches using PE-family resins. Weight/material/virgin-material reduction evidence: no lighter-weight claim versus fossil PE; supports bio-PE as lower-fossil/renewable substitution that can be combined with already-light routes such as flexible pouches, lightweight tubes, or PE closures. Cosmetic/personal-care relevance: relevant to hygiene/cleaning and transferable to beauty/personal-care PE formats. Premium versus mass-market fit: broad fit because drop-in conversion avoids pack redesign and preserves processing. Limitation notes: not evidence of automatic lightweighting; move forward only when paired with a lightweight format or downgauged design.","Enabling Brands in Their Sustainability Journey — Braskem — https://www.braskem.com/portal/imgreen/newimgreen/img/portifolio-pdf-en.pdf"
