Source code,Summary of what was found,Detailed description of what was found,Source name
"S04-001","PET resin sits in a low-to-mid commodity packaging cost band versus engineering plastics, with June 2026 regional prices around USD 0.94–1.55/kg.","Material covered: PET. Price/trend found: June 2026 PET prices were reported at Africa USD 0.94/kg, Northeast Asia USD 1.17/kg, Europe USD 1.55/kg, India USD 1.04/kg, Southeast Asia USD 1.11/kg, and North America USD 1.41/kg. Geography/date/period: multiple regions, June 2026. Unit: USD/kg. This supports price-first filtering because PET remains commercially practical and scalable for cosmetic bottles and jars compared with higher-cost PMMA, SAN, and ABS. Limitation: resin benchmarks do not include grams per pack, conversion, decoration, scrap, transport, or grade-specific requirements.","Polyethylene Terephthalate (PET) Price Index & Chart 2026 — IMARC Group — https://www.imarcgroup.com/polyethylene-terephthalate-pricing-report"
"S04-002","HDPE is a low-cost commodity packaging resin, with Q2 2026 prices around USD 0.99–1.33/kg across major regions.","Material covered: HDPE. Price/trend found: Q2 2026 prices reached USA USD 1,194/MT, China USD 1,023/MT, Germany USD 991/MT, United Kingdom USD 1,327/MT, and Brazil USD 1,042/MT. Geography/date/period: major global regions, Q2 2026 and Q1 2026. Unit: USD/MT. This supports price-first filtering because HDPE is clearly in the low-cost, scalable bucket and suitable as a baseline for mass-market personal care bottles and closures. Limitation: prices vary by grade, supplier contract, and region, and downstream conversion costs are excluded.","High Density Polyethylene (HDPE) Price Trend & Forecast 2026 — IMARC Group — https://www.imarcgroup.com/hdpe-pricing-report"
"S04-003","LDPE sits in a low-cost commodity band, with Q4 2024 public benchmarks around USD 1.12–1.33/kg across key markets.","Material covered: LDPE. Price/trend found: Q4 2024 prices were United States USD 1,140/MT, Japan USD 1,125/MT, England USD 1,160/MT, Saudi Arabia USD 1,153/MT, and Brazil USD 1,330/MT. Geography/date/period: selected global markets, Q4 2024. Unit: USD/MT. This supports price-first filtering because LDPE is directionally low-cost and relevant for tubes, flexible components, and film applications. Limitation: source period is older than 2026 snapshots, so it should be used as directional benchmark only.","LDPE Prices, Chart, Index, Graph, Trend and Forecast — IMARC Group — https://www.imarcgroup.com/low-density-polyethylene-pricing-report"
"S04-004","PP remained a commodity-to-lower-mid cost resin in June 2026, with prices around USD 1.28–2.34/kg depending on region.","Material covered: PP. Price/trend found: June 2026 PP prices were Northeast Asia USD 1.42/kg, Europe USD 2.34/kg, India USD 1.28/kg, and North America USD 1.45/kg. Geography/date/period: multiple regions, June 2026. Unit: USD/kg. This supports price-first filtering because PP remains commercially practical for caps, closures, jars, and molded components where cost and broad processing compatibility matter. Limitation: Europe was materially higher than Asia and North America; pack economics still need weight-per-pack and molding-cost translation.","Polypropylene Prices, Index, Trend, Chart & Forecast 2026 — IMARC Group — https://www.imarcgroup.com/polypropylene-pricing-report"
"S04-005","Recycled PET was broadly similar to or lower than virgin PET in several 2026 public benchmarks, but price depends heavily on feedstock quality and region.","Material covered: rPET / recycled PET. Price/trend found: Q2 2026 prices were USA USD 1,018/MT, China USD 749/MT, Germany USD 941/MT, India USD 763/MT, and Brazil USD 1,033/MT. Geography/date/period: Q2 2026. Unit: USD/MT. This supports price-first filtering because rPET can be commercially feasible and not automatically premium-priced versus virgin PET. Limitation: public benchmarks may not distinguish food-grade, cosmetic-grade, flake versus pellet, certification, color, odor, or quality premiums.","Recycled PET Prices, Chart, Trend, Index and Demand 2026 — IMARC Group — https://www.imarcgroup.com/recycled-pet-pricing-report"
"S04-006","Recycled HDPE can be competitive with virgin HDPE in some markets but higher in others, showing PCR premiums and discounts are regional and quality-driven.","Material covered: rHDPE / recycled HDPE. Price/trend found: Q1 2026 prices were USA USD 1,180/MT, China USD 955/MT, Germany USD 1,281/MT, Saudi Arabia USD 802/MT, and India USD 930/MT. Geography/date/period: Q1 2026. Unit: USD/MT. This supports price-first filtering because rHDPE is viable for PCR tracks, but it cannot be assumed cheaper than virgin HDPE. Limitation: regulatory grade, odor, color, contamination, certification, and supply consistency can materially affect real procurement pricing.","Recycled High Density Polyethylene Prices, Chart, Demand — IMARC Group — https://www.imarcgroup.com/recycled-high-density-polyethylene-pricing-report"
"S04-007","Recycled PP can carry a material premium over commodity PP in some markets, implying PCR PP may fail a strict mass-market cost filter unless recycled-content value is strategic.","Material covered: rPP / recycled PP. Price/trend found: March 2026 prices were Japan USD 1,028/MT, Germany USD 1,736/MT, and Saudi Arabia USD 1,020/MT. Geography/date/period: March 2026. Unit: USD/MT. This supports price-first filtering because rPP can be more expensive in certain regions, especially Europe, and may fit premium or sustainability-target-led programs better than pure cost-down briefs. Limitation: grades and purity are not fully specified and the data should be validated before procurement use.","Recycled Polypropylene Prices, Trend, Chart, News and Forecast — ChemAnalyst — https://www.chemanalyst.com/Pricing-data/recycled-polypropylene-1277"
"S04-008","ABS prices materially exceed PET, HDPE, and PP, supporting its classification as a mid-to-high cost engineering resin for premium cosmetics components.","Material covered: ABS. Price/trend found: Q2 2025 prices were USA USD 1,824/MT, China USD 1,486/MT, Germany USD 2,132/MT, Brazil USD 1,721/MT, and India USD 1,668/MT. Geography/date/period: Q2 2025. Unit: USD/MT. This supports price-first filtering because ABS is more expensive than commodity packaging resins and should be treated as a premium-feature or performance/aesthetic material rather than a default lightweight substitute for mass-market formats. Limitation: 2025 data is older than some 2026 commodity snapshots, but directionally useful.","Acrylonitrile Butadiene Styrene (ABS) Price Trend, Index and Forecast — IMARC Group — https://www.imarcgroup.com/acrylonitrile-butadiene-styrene-pricing-report"
"S04-009","SAN sits in a relatively high price band, especially in the U.S. and Europe, reinforcing that transparent engineering plastics can be premium-priced.","Material covered: SAN / styrene acrylonitrile. Price/trend found: Q1 2026 prices were USA USD 2,610/MT, China USD 1,414/MT, Germany USD 1,821/MT, Brazil USD 1,443/MT, and France USD 2,089/MT. Geography/date/period: Q1 2026. Unit: USD/MT. This supports price-first filtering because SAN is not a low-cost substitution candidate for mainstream cosmetic packaging and fits better where transparency and premium appearance justify higher costs. Limitation: real cosmetic-packaging economics also depend on molding yield, color/clarity specs, and decoration.","Styrene Acrylonitrile Resin Prices, Trend, Index and Forecast 2026 — IMARC Group — https://www.imarcgroup.com/styrene-acrylonitrile-resin-pricing-report"
"S04-010","PMMA is one of the most expensive polymers in the baseline set, with June 2026 prices around USD 2.25–3.78/kg.","Material covered: PMMA / acrylic. Price/trend found: June 2026 PMMA prices were Northeast Asia USD 2.25/kg, Europe USD 3.54/kg, Southeast Asia USD 3.10/kg, and North America USD 3.78/kg. Geography/date/period: multiple regions, June 2026. Unit: USD/kg. This supports price-first filtering because PMMA should generally be reserved for luxe or high-visibility components where aesthetics justify the premium and should fail most mass-market price-first filters. Limitation: decoration, polishing, rejects, and conversion costs can widen the final pack-cost gap further.","Polymethyl Methacrylate (PMMA) Prices, News and Demand — IMARC Group — https://www.imarcgroup.com/polymethyl-methacrylate-pricing-report"
