Source code,Summary of what was found,Detailed description of what was found,Source name
"S02-001","Berlin Packaging’s resin guide shows why PET, HDPE, LDPE, and PP form the mainstream rigid and squeezable-material baseline for beauty and personal care primary packs.","The source states that PET offers gloss, clarity, impact resistance, and is desirable for clear bottles and jars; LDPE is flexible and suitable for squeezable packaging such as shampoo, conditioners, and lotions; HDPE is widely used for extrusion-blown bottles because it is economical, impact resistant, and offers a moisture barrier; and PP provides moisture barrier and high-temperature stability. This supports using PET, HDPE, LDPE, and PP as baseline material families for later lightweighting comparisons in bottles, jars, tubes, and closures.","About Plastic Resins for Packaging — Berlin Packaging — https://www.berlinpackaging.com/about-plastic-resins/"
"S02-002","APC Packaging confirms the current beauty primary-packaging material set: PP, PE, PET, PETG/PCTA/PCTG, PMMA/acrylic, AS/SAN, ABS, aluminum, and glass.","This source maps materials directly to cosmetic packaging use. It explains PP as heat and chemical resistant; PE as ranging from soft and flexible to hard and sturdy; PET as clear and chemically resistant; PETG/PCTA/PCTG as offering above-average chemical resistance and clarity compared with clarified PP; PMMA/acrylic as lightweight, shatter-resistant plastic glass commonly used as an outer jar or bottle; AS/SAN as rigid, strong, tough, and transparent; ABS as high-gloss, impact resistant, and easy to decorate; aluminum as luxurious and protective; and glass as highly chemically resistant with strong barrier properties. It supports the report’s format-material baseline and premium-versus-mass distinction.","Packaging Materials For Cosmetic Containers — APC Packaging — https://apcpackaging.com/custom-services/materials/"
"S02-003","Quadpack explains that PET injection molding enables greater wall thickness than blow molding to create rigid beauty packs with a luxurious look and feel.","This source connects PET to premium-style execution rather than only mass-market packaging. Quadpack states that blow molding is used for thin-walled products, while injection molding allows greater wall thicknesses to create products with a luxurious look and feel. It also notes PET compatibility with many formulations and describes constraints when moving to rPET due to shape and aesthetic factors. This makes heavy-wall PET a major premium primary-packaging baseline and a likely lightweighting target.","The art of PET injection moulding — Quadpack — https://www.quadpack.com/assets/13873460/the-art-of-pet-injection-moulding/"
"S02-004","Quadpack’s Cloud Jars show that premium skincare jars still use heavy, thick-wall glass to deliver a high-end aesthetic.","Quadpack describes Cloud Jars as single-wall glass jars with a premium look, heavy glass construction, and thick-wall glass for a high-end finish. It also mentions compatibility with creams and moisturizers and multiple decoration options. This is strong evidence that heavy glass jars remain a current baseline in prestige skincare and represent a high-weight starting point for lightweight-material substitution analysis.","Cloud Jars — Quadpack — https://catalogue.quadpack.com/product/14128079/cloud-jars"
"S02-005","Ball’s Infinity aluminum bottle line confirms that aluminum bottles are used in beauty and personal care and can combine lightweighting, monomateriality, customization, and a premium aesthetic.","Ball states that its impact-extruded aluminum bottle line is customizable for beauty and personal care products, monomaterial, and lightweight, saving transport energy. The product positioning also frames aluminum bottles as sophisticated and high-end. This supports including aluminum bottles in the primary-packaging baseline for selected beauty and personal care applications, especially as a lighter alternative to glass with premium design cues.","A Circular Alternative to Plastic Packaging — Ball Corporation — https://investors.ball.com/news-presentations/press-releases/detail/165/a-circular-alternative-to-plastic-packaging"
"S02-006","Quadpack’s Trap PET Jar shows a common mixed-material jar architecture: PET jar, PP cap, and PE shive.","This source gives an explicit beauty jar bill of materials: jar in PET, cap in PP, and shive in PE. It also states that virgin PET is ideal for highlighting formula texture, while PCR PET is more convenient for solid-color applications such as supplements and nutricosmetics. This is strong evidence that many current jars are not mono-material and that PET/PP/PE combinations are common in beauty jars, which matters for both weight and recyclability trade-offs.","Trap PET Jar — Quadpack — https://catalogue.quadpack.com/product/13974131/trappet-jars"
"S02-007","Quadpack’s Regula Airless shows that premium-looking airless packs often combine multiple rigid plastics, including SAN, PET or rPET, and PP, plus a pump system.","Quadpack describes Regula Airless as popular among beauty brands because of its premium look and high-quality performance. It specifies a double-wall architecture with the outer bottle and cap in SAN, PET, or rPET and the inner in PP, plus a metal-free pump. This supports using multi-resin airless packs as a current baseline format for premium skincare and highlights where lightweighting or material simplification efforts may focus.","Regula Airless — Quadpack — https://catalogue.quadpack.com/pack-types/airless/14020807/regula-airless"
"S02-008","Aptar’s GSA Advance shows a recyclable next-generation lotion pump made as an all-polyolefin system using PP and PE for skin care, personal care, and color cosmetics.","Aptar describes GSA Advance as an all-plastic lotion pump and all-polyolefin pump made from polypropylene and polyethylene, designed to maximize recyclability while maintaining performance and design options from premium to lifestyle. This clarifies dispenser material reality: many dispensers are multi-component systems, while the future direction is PP/PE-based mono-family construction aligned with bottle materials.","GSA Advance — Aptar Beauty — https://beauty.latamcatalog.aptar.com/en/product/gsaadvance/"
"S02-009","Silgan Dispensing states that conventional dispensers contain non-recyclable metals and materials and contrasts them with 100% polyolefin, no-metal-spring systems.","Silgan says its LifeCycle technology removes non-recyclable metals and materials used in conventional dispensers, enabling packs to be made nearly completely from a single polyolefin. It also says ReVive 2cc has no metal spring and improves compatibility with PET, HDPE, and PP bottle recycling, while Pearl 2 uses a patented plastic spring and 100% polyolefin design. This supports treating pumps and dispenser mechanisms as a distinct hotspot in lightweighting and mono-material redesign.","CMPL Expo 2026 — Silgan Dispensing Systems — https://silgandispensing.com/cmpl-expo/"
"S02-010","Gerresheimer’s cosmetic glass dropper catalogue confirms glass as a current standard for serum/oil droppers and provides actual pack weights by capacity.","Gerresheimer lists cosmetic glass dropper bottles from 5 ml to 100 ml and shows weights rising from 20 g at 5 ml to 47 g at 30 ml, 55 g at 50 ml, and 100 g at 100 ml. This provides concrete evidence that glass droppers are weight-intensive primary packs and should be priority candidates for lightweighting analysis, especially in prestige skincare categories where glass droppers are common.","Dropper bottle for specialities made of moulded glass — Gerresheimer — https://www.gerresheimer.com/catalogue/products/cosmetics-fragrance/glass-packaging/others/dropper-bottles.html"
