Source code,Summary of what was found,Detailed description of what was found,Source name
"S11-001","Thin-wall injection molding is described as packaging with wall thickness often below 1 mm; it is positioned as a lightweight, precise, cost-efficient route and is explicitly linked to cosmetic jars, lipstick tubes, and compact cases.","Material or technology route covered: thin-wall injection molding. Packaging format relevance: cosmetic jars, lipstick tubes, compact cases, and rigid beauty components. Weight/material reduction evidence: thin-wall molding reduces plastic usage and can shorten cooling times while supporting complex shapes. Cosmetic/personal care transfer relevance: supports rigid beauty packs as realistic thin-wall candidates rather than purely food-packaging transfers. Premium versus mass-market fit: strongest for mass-market rigid components, with premium use possible if finish and haptics are maintained. Performance/limitation notes: equipment-supplier technical overview, not a pack-by-pack commercial case study. Use in screening: define thin-wall molding as a viable process route for cream jars, lipstick tubes, and compact cases.","Thin Wall Injection Molding for Consumer Packaging: Trends & Innovations — YIZUMI — https://www.yizumi.com/en/news/product/industry-trend/thin-wall-injection-molding-for-consumer-packaging-trends-innovations"
"S11-002","Graham’s AccuStrength technology uses targeted material placement to make containers up to 15% lighter while retaining structural integrity.","Material or technology route covered: targeted material placement for rigid bottles. Packaging format relevance: primary rigid bottles, especially oval or rectangular plastic bottles. Weight/material reduction evidence: up to 15% lighter while retaining structural integrity. Cosmetic/personal care transfer relevance: viable for PET/HDPE-style cosmetics and personal-care bottles where grams can be removed from the body while preserving performance. Premium versus mass-market fit: strongest for mass-market and high-volume personal-care bottles; possible masstige use if appearance is unchanged. Performance/limitation notes: source does not publish exact cosmetic SKUs or full pack-weight data. Use in screening: shortlist for rigid-bottle lightweighting without changing pack size or overall format.","Graham Packaging Optimizes Lightweighting and Sustainability with AccuStrength Technology — Graham Packaging — https://www.grahampackaging.com/insights/graham-packaging-optimizes-lightweighting-and-sustainability-with-accustrength-technology/"
"S11-003","Amcor’s Quantum PET finish technology removes more than 50% of the material and weight from the bottle finish while maintaining a premium look and feel and allowing up to 100% recycled material use.","Material or technology route covered: lightweight PET neck/finish technology. Packaging format relevance: PET bottles and bottle-finish/thread areas. Weight/material reduction evidence: more than 50% material and weight removed from the bottle finish. Cosmetic/personal care transfer relevance: supports a same-function, less-resin route for personal-care PET bottles, especially where finish weight is significant. Premium versus mass-market fit: relevant to masstige or prestige PET packs because the source says premium look and feel can be maintained. Performance/limitation notes: focused on finish optimization, not a full-bottle weight reduction figure. Use in screening: include neck/finish optimization as a separate lightweighting lever, not just bottle-body downgauging.","Lightweighting Technology Launches Quantum Leap for Packaging — Amcor — https://www.amcor.com/media/news/lightweighting-technology-quantum"
"S11-004","ENGEL states material can account for up to 70% of total cost of ownership in thin-wall molding; reducing wall thickness to 0.4 mm cut part weight/material use by 20% to 21.56 g, with cycle times below 2 seconds.","Material or technology route covered: ultra-thin-wall injection molding. Packaging format relevance: PP tubs, jars, pails, lids, and high-volume rigid packs. Weight/material reduction evidence: 20% part weight/material reduction to 21.56 g in an example; material can represent up to 70% of TCO; cycle times below 2 seconds are possible. Cosmetic/personal care transfer relevance: supports high-volume beauty and personal-care tubs/jars where small gram savings scale across continuous production. Premium versus mass-market fit: core mass-market scalability source. Performance/limitation notes: example is food pail rather than cosmetics; high injection speed, consistency, and tight machine control are needed to avoid rejects. Use in screening: treat as evidence that thin-wall PP can be economically compelling but process-sensitive.","Reduced wall-thickness for thin-walled packaging: From the thin-wall to the ultra-thin-wall pail — ENGEL — https://www.engelglobal.com/en/blog/reduced-wall-thickness-for-thin-wall-packaging"
"S11-005","SABIC’s thin-wall packaging platform highlights good flow behavior, fast crystallization, top-load performance, down-gauging possibilities, and lower cost via shorter production cycles for PP and PE packaging.","Material or technology route covered: high-flow PP/PE resins for thin-wall packaging. Packaging format relevance: PP jars/tubs, lids, caps, closures, and stackable packaging. Weight/material reduction evidence: supports downgauging through flow, crystallization, top-load performance, and shorter cycles. Cosmetic/personal care transfer relevance: high-flow PP/PE grades are foundational for mass-market thin-wall conversion in beauty packaging. Premium versus mass-market fit: strongest for mass-market; selected premium secondary/internal parts possible. Performance/limitation notes: supplier overview and does not provide pack-specific gram savings. Use in screening: use as material-enabler evidence for thin-wall PP/PE rigid components.","Thin Wall Packaging — SABIC — https://www.sabic.com/en/industries/packaging/consumer-non-food/thin-wall-packaging"
"S11-006","Trexel’s P-Series MuCell thin-wall packaging system reports 3% material reduction on a 6 oz cup and enables thinner base and sidewalls while keeping a thicker sealing rim, with less resin use and lower energy consumption.","Material or technology route covered: MuCell microcellular foaming for thin-wall packaging. Packaging format relevance: tubs, refill cups, lids, and selected plastic secondary components. Weight/material reduction evidence: 3% material reduction on a 6 oz cup and selective thinning of base/sidewalls while preserving a thicker sealing rim. Cosmetic/personal care transfer relevance: useful where reducing resin mass is important but local rigidity/sealing areas must be preserved. Premium versus mass-market fit: mass-market and selected premium internal/refill components if surface quality passes. Performance/limitation notes: examples are not beauty packs; premium-surface acceptance needs validation. Use in screening: shortlist as a process/material-structure route where standard wall thinning would weaken functional areas.","Packaging Molding with Thin Walls / P-300 SCF Delivery System — Trexel — https://trexel.com/industries/packaging-molding/ ; https://trexel.com/wp-content/uploads/2025/02/Trexel_P-300_datasheet_2019_FINAL.pdf"
"S11-007","Amcor’s Function of Beauty case used 100% premium-grade rPET for custom shampoo and conditioner bottles while maintaining consumer experience and saving about 350,000 pounds of virgin resin annually.","Material or technology route covered: 100% rPET beauty bottles. Packaging format relevance: shampoo and conditioner bottles. Weight/material reduction evidence: source focuses on virgin resin displacement rather than explicit wall-gauge thinning; PET/rPET remains a lightweight shatter-resistant bottle route compared with heavier materials. Cosmetic/personal care transfer relevance: direct beauty-sector example that rPET bottles can preserve consumer experience. Premium versus mass-market fit: mass-market and masstige; possible premium where rPET appearance meets requirements. Performance/limitation notes: recycled-content evidence rather than explicit downgauging. Use in screening: keep rPET bottles as a commercially acceptable beauty-pack route alongside thin-wall PET work.","Amcor designed the bottle, the consumer designs the shampoo — Amcor — https://www.amcor.com/insights/case-studies/function-of-beauty"
"S11-008","Neopac’s Eco-Stripped Tube uses 30% less plastic than standard versions; it builds on a lightweight tube with sleeve wall thickness reduced from 0.5 mm to 0.35 mm without sacrificing product protection, haptics, esthetics, or key qualities.","Material or technology route covered: lightweight/downgauged tubes. Packaging format relevance: PE, PP, and coextruded skincare, sunscreen, hand cream, and personal-care tubes. Weight/material reduction evidence: 30% less plastic and sleeve wall reduction from 0.5 mm to 0.35 mm. Cosmetic/personal care transfer relevance: direct commercial tube lightweighting relevant to beauty and personal care. Premium versus mass-market fit: useful for both; valuable for premium caution analysis because haptics and aesthetics are explicitly addressed. Performance/limitation notes: no detailed filling-line or formula matrix provided. Use in screening: shortlist downgauged tubes as a core route where consumer pack size remains unchanged.","Neopac Introduces Eco-Stripped Tube with 30% Less Plastics, Including Slimmed-Down Shoulder & Cap — Hoffmann Neopac — https://www.hoffmann-neopac.com/hu/hirek-esemenyek/neopac-introduces-eco-stripped-tube-with-30-less-plastics-including-slimmed-down-shoulder-cap"
"S11-009","Albéa’s EcoFusion Top is a two-in-one solution that delivers more than 80% weight reduction in the top solution and about 55% weight reduction for the whole tube versus standard tubes.","Material or technology route covered: lightweight tube top/shoulder/closure architecture. Packaging format relevance: cosmetic and personal-care tubes. Weight/material reduction evidence: more than 80% top-solution weight reduction and around 55% whole-tube weight reduction versus standard tubes. Cosmetic/personal care transfer relevance: shows that tube head/cap systems can hold large plastic-saving potential beyond sleeve thickness. Premium versus mass-market fit: strong for mass-market and premium if decoration/formula/filling compatibility are validated. Performance/limitation notes: proprietary design and may not fit every decoration, formula, or filling combination. Use in screening: evaluate tubes by sleeve plus shoulder/cap/top system, not sleeve gauge alone.","Albéa’s EcoFusion Top – unrivalled weight reduction — Albéa — https://www.albea-group.com/article/market-first-albeas-ecofusion-top-unrivalled-weight-reduction"
"S11-010","Aptar’s Disc Top Lite closure is 23% lighter than a standard alternative and is positioned as combining lightweight efficiency with a premium look and feel.","Material or technology route covered: lightweight disc-top closure. Packaging format relevance: shampoo, body wash, lotion, and personal-care bottles. Weight/material reduction evidence: 23% lighter than Aptar’s standard closure alternative. Cosmetic/personal care transfer relevance: closure grams can be reduced without visibly degrading appearance. Premium versus mass-market fit: especially relevant for masstige and premium brands because premium look and feel are preserved. Performance/limitation notes: comparison is against Aptar’s standard closure, not a market-wide benchmark. Use in screening: create a closure-lightweighting workstream alongside bottle-body and tube-body lightweighting.","2 in. Disc Top Lite | 24mm Custom Thread, Logo Insertable Closure — Aptar — https://aptar.com/en-us/products/2-disc-top-lite-closure"
